project,site,year,plotid,pre_post_fire,postFire,tag_id,status,species,dbh_cm,ht_m,ht2crown_m,livecrownratio_perc,crownclass,crownwidth_m,decay,scorch_ht_m,torch_ht_m,bolechar_m,healthCode,notes,ht2dead_m,scorch_percent,torch_percent,healthCode2,resprout,stump_diameter_cm,stump_ht_m,presentPostThin,StatusPostThin,samplingTime,Beetles2019,DeadPriorFire
CPFMP,Antelope,2020,Antelope01,prefire,"",1460,live,PIJE,26.45,7.9,4.5,97,"",4,na,,,,pitching on bole of tree,"",1.5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope01,prefire,"",1461,live,PIJE,21.5,8.3,4.3,100,"",1.8,na,,,,na,"",3.2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope01,prefire,"",1462,live,PIJE,24.5,10.4,3.4,97,"",4,na,,,,na,"",1.2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope01,prefire,"",1463,live,PIJE,24.24,9.9,4.3,98,"",5,na,,,,pitching on bole of tree,"",2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope01,prefire,"",1464,live,PIJE,24.1,9.5,4.4,99,"",2,na,,,,na,"",2.6,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope01,prefire,"",1465,live,PIJE,32.1,12.4,5,97,"",4.8,na,,,,na,"",2.2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope01,prefire,"",1466,live,PIJE,22.1,8.5,3.3,100,"",3,na,,,,na,"",1.2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope01,prefire,"",1467,live,PIJE,31.5,10.8,4.8,95,"",3,na,,,,na,"",4,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope01,prefire,"",1468,live,PIJE,27.9,12,4.2,96,"",5,na,,,,na,"",0.9,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope01,prefire,"",1469,live,PIJE,28.35,11.2,5.8,98,"",4,na,,,,na,"",2.2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope01,prefire,"",1470,live,PIJE,24.8,9.1,5,98,"",4.2,na,,,,na,"",1.4,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope02,prefire,"",1471,live,PIJE,35.4,11,5.4,98,"",5.2,na,,,,na,"",3.2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope02,prefire,"",1472,live,PIJE,17.1,6.3,2.7,96,"",2,na,,,,na,"",0.7,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope02,prefire,"",1473,live,PIJE,31.4,9.6,2.6,97,"",4,na,,,,na,"",0.7,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope02,prefire,"",1474,live,PIJE,28.6,10.7,4,98,"",3.5,na,,,,na,"",2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope02,prefire,"",1475,live,PIJE,24.6,9.1,2.3,98,"",2.6,na,,,,na,"",0.9,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope02,prefire,"",1476,live,PIJE,32.3,13.3,5,99,"",3.2,na,,,,na,"",1.6,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope02,prefire,"",1477,live,PIJE,33.8,13.2,6,99,"",3.1,na,,,,na,"",2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope02,prefire,"",1478,live,PIJE,49.5,14.4,6,95,"",6,na,,,,na,"",3.5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope02,prefire,"",1479,live,PIJE,36.4,13.7,5.6,95,"",6,na,,,,na,"",2.5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope02,prefire,"",1480,live,PIJE,31.8,10.2,5,93,"",4,na,,,,na,"",2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope02,prefire,"",1481,live,PIJE,44.5,12.4,3.9,98,"",6,na,,,,na,"",1.8,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope02,prefire,"",1482,live,PIJE,51.8,15.4,6.4,98,"",5.8,na,,,,na,"",3.2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope03,prefire,"",2448,live,PIJE,45.3,14,4.2,85,"",3.5,na,,,,na,WT 3.5m az135,1.8,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope03,prefire,"",2449,live,PIJE,31.3,10,3,88,"",3.5,na,,,,na,"",0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope03,prefire,"",2450,live,PIJE,22.1,7.3,2.3,93,"",2.5,na,,,,na,"",0.4,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope04,prefire,"",2601,live,PIJE,8.3,2.5,0.5,99,"",2,na,,,,na,"",0.2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope04,prefire,"",2602,live,PIMONO,12.1,4.8,0.5,95,"",3,na,,,,na,"",0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope04,prefire,"",2603,live,PIMONO,9.2,3.1,0.6,96,"",3,na,,,,na,"",0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope04,prefire,"",2604,live,PIMONO,10,3.7,0.3,95,"",2.5,na,,,,na,"",0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope04,prefire,"",2605,live,PIJE,23.1,6.2,2.3,95,"",3.2,na,,,,na,"",0.4,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope04,prefire,"",2606,live,PIJE,30,8.5,2.5,95,"",4.6,na,,,,na,"",0.6,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope04,prefire,"",2607,live,PIJE,14.7,4.1,1.7,90,"",2.5,na,,,,na,"",0.6,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope04,prefire,"",2608,live,PIJE,28.4,8.1,2,97,"",3.2,na,,,,na,"",0.8,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope04,prefire,"",2609,live,PIJE,14.2,5.1,2,65,"",2.5,na,,,,na,"",0.8,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope04,prefire,"",2610,live,PIMONO,8.8,4.2,1,99,"",1.7,na,,,,na,"",0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope04,prefire,"",2611,live,PIMONO,18,5.3,0.5,99,"",2.4,na,,,,na,"",0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope04,prefire,"",2612,live,PIMONO,17.3,6.3,0.5,99,"",2.4,na,,,,na,"",0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope05,prefire,"",2451,live,PIJE,42.9,12.3,2.8,95,"",3,na,,,,na,WT 11m az2,1.8,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope05,prefire,"",2452,live,PIJE,42.3,11.3,4.3,90,"",5,na,,,,na,"",1.5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope05,prefire,"",2453,live,PIJE,19.1,5.6,2.1,80,"",2.2,na,,,,na,"",1,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope06,prefire,"",2614,live,PIJE,35,7,3,98,"",4.2,na,,,,na,"",2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope06,prefire,"",2615,dead,PIJE,72.2,18,,0,"",9,1,,,,na,most needles retained,2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope07,prefire,"",2454,live,PIJE,27,6.6,1,95,"",4.5,na,,,,na,WT 6m az24,0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope07,prefire,"",2455,live,PIJE,9.2,3.7,1.2,95,"",2,na,,,,na,tree stake,0.1,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope07,prefire,"",2456,live,PIJE,17.8,4.6,1,90,"",2.7,na,,,,pitching on bole of tree,"",0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope07,prefire,"",2457,live,PIJE,28.5,7.5,2.5,80,"",5.2,na,,,,pitching on bole of tree,"",0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope07,prefire,"",2458,live,PIJE,16.9,5.2,1,87,"",3,na,,,,na,tree stake,0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope07,prefire,"",2459,live,PIJE,17.6,4.3,2.3,60,"",3.5,na,,,,na,tree stake,0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope07,prefire,"",2460,live,PIJE,12.2,4.5,2,70,"",2,na,,,,na,"",0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope07,prefire,"",2461,live,PIJE,20,5.6,0.7,80,"",2,na,,,,na,"",0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope07,prefire,"",2462,live,PIJE,16.8,4.5,1.5,85,"",2,na,,,,na,"",0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope07,prefire,"",2463,live,PIJE,19.6,5.4,1.5,88,"",2,na,,,,na,"",0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope07,prefire,"",2464,live,PIJE,7.8,2.7,1.1,88,"",1.2,na,,,,na,"",0.1,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope07,prefire,"",2465,live,PIJE,20.7,5.7,1.8,80,"",2.2,na,,,,na,"",0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope07,prefire,"",2466,live,PIJE,9.6,3.4,1,95,"",1.2,na,,,,na,red ants,0.1,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope07,prefire,"",2467,live,PIJE,16.5,4,1.3,90,"",2,na,,,,pitching on bole of tree,"",0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope08,prefire,"",2616,live,PIJE,45.8,12.3,4.9,99,"",7,na,,,,na,"",4,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope08,prefire,"",2617,live,PIJE,39.8,12.1,3,95,"",5,na,,,,na,"",2.9,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope08,prefire,"",2618,live,PIJE,50.4,17.5,6.4,90,"",7,na,,,,na,"",6,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope08,prefire,"",2619,live,PIJE,43.85,14,6.6,85,"",5.5,na,,,,na,"",2.2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope08,prefire,"",2620,live,PIJE,49,13,4.3,97,"",8,na,,,,split top,"",2.4,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope08,prefire,"",2621,live,PIJE,58,13.7,7.5,95,"",7,na,,,,na,"",7,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope09,prefire,"",2468,live,PIJE,10.3,4.5,2,70,"",2,na,,,,na,WT 11m az4,0.1,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope09,prefire,"",2469,live,PIJE,19.3,6,2.5,80,"",2,na,,,,na,"",0.3,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope09,prefire,"",2470,live,PIJE,40.7,12,3.7,90,"",4,na,,,,na,"",1.5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope09,prefire,"",2471,live,PIJE,8.5,3,1.7,98,"",1.5,na,,,,na,"",0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope09,prefire,"",2472,live,PIJE,12.2,3.6,1.5,98,"",1.5,na,,,,na,"",1.2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope09,prefire,"",2473,live,PIJE,16.7,4,2,75,"",2,na,,,,na,"",1.5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope09,prefire,"",2474,live,PIJE,20.3,6.3,2,85,"",2.2,na,,,,na,"",0.7,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope09,prefire,"",2475,live,PIJE,9,3.3,0.5,95,"",1.5,na,,,,na,"",0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope09,prefire,"",2476,live,PIJE,15.4,8.7,2,95,"",2,na,,,,na,"",0.5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope09,prefire,"",2477,live,PIJE,28,8,2.7,75,"",3,na,,,,na,"",0.7,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope09,prefire,"",2478,live,PIJE,20.8,7.5,3.3,75,"",3,na,,,,na,"",1.1,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope09,prefire,"",2479,live,PIJE,20.5,4.8,2.2,80,"",2.3,na,,,,na,"",0.8,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope09,prefire,"",2480,live,PIJE,14.5,5,2,85,"",2.2,na,,,,na,"",0.6,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope09,prefire,"",2481,live,PIJE,22.3,6.7,2.2,75,"",2,na,,,,na,"",1,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope09,prefire,"",2482,live,PIJE,31.5,9.6,3.4,75,"",2.4,na,,,,na,"",1,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope09,prefire,"",2483,live,PIJE,48.6,14.5,4.2,70,"",4,na,,,,na,"",1.2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope09,prefire,"",2484,live,PIJE,30,8.5,2.2,95,"",2,na,,,,na,"",0.3,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope10,prefire,"",2622,live,PIJE,16.7,6.7,4.3,60,"",1.7,na,,,,na,"",3.2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope10,prefire,"",2623,live,PIJE,110.9,22.3,6.1,95,"",10.5,na,,,,na,"",2.8,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope11,prefire,"",2485,live,PIJE,33.1,9.3,1.9,95,"",3.2,na,,,,na,"",0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope11,prefire,"",2486,live,PIJE,31,9,2.2,90,"",3.5,na,,,,na,"",1,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope11,prefire,"",2487,live,PIJE,29,8,2,95,"",3,na,,,,pitching on bole of tree,"",1.5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope11,prefire,"",2488,live,PIJE,54.6,12.2,2,98,"",6,na,,,,na,"",1.1,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope11,prefire,"",2489,live,PIJE,54.3,14.8,5,90,"",4,na,,,,pitching on bole of tree,"",2.1,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope11,prefire,"",2490,live,PIJE,26.3,9.6,1.5,95,"",3,na,,,,na,"",0,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope11,prefire,"",2491,live,PIJE,22.1,4,1.5,98,"",2.5,na,,,,split top,"",0.1,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope11,prefire,"",2492,live,PIJE,70,23,4.8,95,"",6.5,na,,,,na,"",2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope11,prefire,"",2493,live,PIJE,44.4,13.3,4,93,"",3,na,,,,na,"",2.3,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope11,prefire,"",na,dead,PIJE,62.2,13.7,,0,"",,"",,,,OTHER-seenotes,woodpecker,2.1,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2624,live,PIJE,28,10.2,3.6,90,"",2.8,na,,,,na,"",2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2625,live,PIJE,29.3,7.2,2.7,98,"",3.5,na,,,,na,"",2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2626,live,PIJE,22,5.2,3,90,"",3,na,,,,na,"",1.1,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2627,live,PIJE,30.7,10.4,5.4,60,"",4,na,,,,na,"",1.9,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2628,live,PIJE,28.5,11,3.5,95,"",4,na,,,,na,"",1.9,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2629,live,PIJE,23.6,8.4,5.2,85,"",4,na,,,,na,"",2.3,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2630,live,PIJE,33.3,11.6,7,60,"",4.8,na,,,,na,"",5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2631,live,PIJE,24.2,9.2,5.7,85,"",3.2,na,,,,na,"",3.2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2632,live,PIJE,27.6,10,6,75,"",3.5,na,,,,na,"",4.5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2633,live,PIJE,23.4,8,6,90,"",5,na,,,,na,"",2.5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2634,live,PIJE,27,8,6,70,"",5,na,,,,na,"",2.1,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2635,live,PIJE,21.8,10.2,6.5,95,"",4,na,,,,na,"",6,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2636,live,PIJE,24.55,9.5,6,95,"",3.5,na,,,,na,"",4,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2637,live,PIJE,28.5,9.5,6.5,80,"",6,na,,,,na,"",4.2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2638,live,PIJE,22.2,9.2,6,80,"",4,na,,,,na,"",4,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2639,live,PIJE,22.95,7.5,4,95,"",3.5,na,,,,na,"",1.7,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2640,live,PIJE,29.9,10,6,9,"",5.8,na,,,,na,"",5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2641,live,PIJE,27,11,5,90,"",3.5,na,,,,na,"",4.7,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2642,live,PIJE,35.5,10.3,6.3,90,"",3.5,na,,,,na,"",3.5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2643,live,PIJE,22.2,10.2,5.5,90,"",2,na,,,,na,"",5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2644,live,PIJE,24.6,12.4,6.3,90,"",3.5,na,,,,na,"",5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2645,live,PIJE,23.3,9.6,4.3,95,"",3,na,,,,na,"",2.5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope12 ,prefire,"",2646,live,PIJE,32.4,11,7,70,"",4,na,,,,na,"",2.5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope13,prefire,"",2494,live,PIJE,33.8,11.5,4.2,98,"",3,na,,,,na,WT 8m az45,2.2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope13,prefire,"",2495,live,PIJE,48.7,13,6.4,65,"",4,na,,,,na,"",2.2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope13,prefire,"",2496,live,PIJE,48.5,13.5,3.5,95,"",2.5,na,,,,na,"",2.5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope13,prefire,"",2497,live,PIJE,46.2,16.6,4.3,90,"",4,na,,,,pitching on bole of tree,"",2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope13,prefire,"",2498,live,PIJE,47.5,15.4,6.9,85,"",5,na,,,,pitching on bole of tree,"",4,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope14,prefire,"",1301,live,PIJE,49,14.2,4.1,90,"",6.5,na,,,,na,"",1.6,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope14,prefire,"",1302,live,PIJE,23.6,6.6,2.2,95,"",3.8,na,,,,na,"",0.2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope14,prefire,"",1303,live,PIJE,62.7,16.9,4.8,85,"",8,na,,,,na,"",2.4,,,na,distance,angle 1,angle2,"","",,,
CPFMP,Antelope,2020,Antelope15,prefire,"",1483,live,PIJE,23.8,7,2,90,"",3,na,,,,na,WT 7m az101,0.5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope15,prefire,"",1484,live,PIJE,73.1,18.9,2.3,93,"",6,na,,,,na,"",2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope15,prefire,"",1485,live,PIJE,88.2,21.2,5,93,"",7,na,,,,na,"",0.3,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope16,prefire,"",1304,live,PIJE,35.4,9,3.5,70,"",4.1,na,,,,na,"rangefinder ran out of battery, heights calculated later from distance/angles",1.6,,,na,12.7,32,-6,"","",,,
CPFMP,Antelope,2020,Antelope16,prefire,"",1308,live,PIJE,28.6,6,2.3,70,"",3.2,na,,,,na,"rangefinder ran out of battery, heights calculated later from angles",0.6,,,na,9.3,27.5,-9,"","",,,
CPFMP,Antelope,2020,Antelope16,prefire,"",1309,live,PIJE,34.1,9,3.8,,"",4.8,na,,,,na,"rangefinder ran out of battery, heights calculated later from angles",0.8,,,na,10.26,36,-7,"","",,,
CPFMP,Antelope,2020,Antelope16,prefire,"",na,dead,PIJE,23.9,5,,0,"",,1,,,,na,"rangefinder ran out of battery, heights calculated later from angles",0.3,,,na,8.08,18,-18.5,"","",,,
CPFMP,Antelope,2020,Antelope17,prefire,"",1486,live,PIJE,42,14.5,3.2,93,"",5,na,,,,na,WT 9m az50,1.5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope18,prefire,"",1310,live,PIJE,42.6,13,2,98,"",5.2,na,,,,na,"rangefinder ran out of battery, heights calculated later from angles",1.5,,,na,16.5,35,-6,"","",,,
CPFMP,Antelope,2020,Antelope18,prefire,"",1311,live,PIJE,35.1,12,3.8,60,"",4.1,na,,,,na,"rangefinder ran out of battery, heights calculated later from angles",0.1,,,na,10.8,42,-13.5,"","",,,
CPFMP,Antelope,2020,Antelope19,prefire,"",1487,live,PIJE,74.8,17.7,5,98,"",7,na,,,,catface,WT 6.5m az75,3,,,Woodpecker,"","","","","",,,
CPFMP,Antelope,2020,Antelope19,prefire,"",1488,live,PIJE,37.7,10.5,3.7,90,"",4,na,,,,na,"",2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope19,prefire,"",1489,live,PIJE,29.8,10.2,2.8,93,"",4,na,,,,na,"",1.8,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope19,prefire,"",1490,live,PIJE,33.2,11.1,2.7,95,"",2.5,na,,,,pitching on bole of tree,"",1.2,,,na,"","","","","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",dead,cade,8.2,3.1,,,"",,2,,,0.2,"","",,,,"","","","","","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",dead,cade,12.9,5,,,"",1.4,1,,,,"","",3,,,"","","","","","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",dead,cade,58.1,6.7,,,"",,4,,,,"","",,,,"","","","","","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",live,cade,34.5,16.2,5.9,,CO,2.9,2,,,1.2,"","",2,,,"","","","","","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",live,cade,39.1,16.3,5.9,,CO,5,2,,,1.7,"","",4,,,"","","","","","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",live,cade,39.5,10,5,,IN,2.1,1,,,1.3,"","",,,,"","","","","","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",live,cade,40.6,14,4,,IN,2.25,2,,,1.75,"","",2,,,"","","","","","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",live,pipo,41,20.5,7,,CO,4.5,1,,,0.5,"",possible hybrid,1.5,,,"","","","","","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",stump,cade,,,,,"",,"",,,,"","",,,,"","",24,0.1,"","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",stump,cade,,,,,"",,2,,,,"","",,,,"","",23,0.32,"","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",stump,cade,,,,,"",,2,,,,"","",,,,"","",18,0.18,"","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",stump,cade,,,,,"",,2,,,,"","",,,,"","",13,0.7,"","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",stump,cade,,,,,"",,2,,,,"","",,,,"","",42,0.24,"","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",stump,cade,,,,,"",,2,,,,"","",,,,"","",22,0.8,"","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",stump,cade,,,,,"",,2,,,,"","",,,,"","",28,0.21,"","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",stump,cade,,,,,"",,3,,,,"","",,,,"","",15,0.4,"","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",stump,cade,,,,,"",,3,,,,"","",,,,"","",22,0.13,"","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",stump,cade,,,,,"",,3,,,,"","",,,,"","",14,0.1,"","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",stump,cade,,,,,"",,3,,,,"","",,,,"","",60,0.65,"","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",stump,cade,,,,,"",,3,,,,"","",,,,"","",8,0.13,"","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",stump,pipo,,,,,"",,2,,,,"","",,,,"","",15,0.1,"","",,,
CPFMP,bearmountain,2019,BM 1,prefire,"","",stump,pipo,,,,,"",,3,,,,"","",,,,"","",10,0.8,"","",,,
