project,site,plot_id,year,pre_post_fire,postTime,azimuth,intersect_cm,species,large_cm,small_cm,distance_m,length_m,decay,FieldNotes
CPFMP,springsfire,springs13,2019,postfire,immediate,90,8.5,,2,8.5,,0.17,3,
CPFMP,springsfire,springs13,2019,postfire,immediate,90,8,,10,4,,1.3,2,
CPFMP,springsfire,springs14,2019,postfire,immediate,0,32.6,,20.2,5.7,,10.35,2,
CPFMP,springsfire,springs16,2019,postfire,immediate,90,15,,19,10,,0.66,4,
CPFMP,springsfire,springs17,2019,postfire,immediate,0,11.5,,15,6,,2,2,
CPFMP,springsfire,springs17,2019,postfire,immediate,0,12,,13.5,3,,1.05,2,
CPFMP,springsfire,springs18,2019,postfire,immediate,270,10,,14,5,,0.6,3,
CPFMP,springsfire,springs18,2019,postfire,immediate,270,14,,14,4,,1.6,2,
CPFMP,springsfire,springs18,2019,postfire,immediate,90,22,,24,9,,1.3,2,
CPFMP,springsfire,springs19,2019,postfire,immediate,180,8,,8,6,,28,4,
CPFMP,springsfire,springs19,2019,postfire,immediate,270,13.5,,14,3,,0.9,2,
CPFMP,springsfire,springs19,2019,postfire,immediate,270,12,,14,3,,0.45,3,
CPFMP,springsfire,springs22,2019,postfire,immediate,180,20,,22,11,,2.9,2,
CPFMP,springsfire,springs24,2019,postfire,immediate,0,9,,4,11,,0.8,3,
CPFMP,springsfire,springs25,2019,postfire,immediate,270,10,,11,8,,0.33,3,
CPFMP,springsfire,springs26,2019,postfire,immediate,0,13,,10,8,,1.55,2,
CPFMP,springsfire,springs26,2019,postfire,immediate,0,6.8,,6.9,6.8,,1.18,2,
CPFMP,springsfire,springs26,2019,postfire,immediate,90,11,,10,8,,1.88,3,
CPFMP,springsfire,springs26,2019,postfire,immediate,270,9,,13,9,,0.25,3,
CPFMP,springsfire,springs26,2019,postfire,immediate,270,13,,13,9,,2.45,3,
CPFMP,springsfire,springs4,2019,postfire,immediate,0,12,,12,8,,1.15,3,
CPFMP,BurtonSP,burton07,2020,postfire,1yr,N,na,,na,na,,na,na,nocwd
CPFMP,BurtonSP,burton14,2020,postfire,1yr,N,na,,na,na,,na,na,nocwd
CPFMP,BurtonSP,burton19,2020,postfire,1yr,W,39,,56,34,,11.5,4,
CPFMP,BurtonSP,burton20,2020,postfire,1yr,W,29,,34,12,,7,5,
CPFMP,BurtonSP,burton20,2020,postfire,1yr,W,48,,44,15,,4,3,
CPFMP,BurtonSP,burton25,2020,postfire,1yr,N,33,,34,5,,2,3,
CPFMP,BurtonSP,burton25,2020,postfire,1yr,E,27,,30,10,,3,4,
CPFMP,BurtonSP,burton25,2020,postfire,1yr,E,20,,20,18,,8,5,
CPFMP,BurtonSP,burton25,2020,postfire,1yr,E,18,,23,8,,6,5,
CPFMP,BurtonSP,burton25,2020,postfire,1yr,E,25,,18,15,,5,5,
CPFMP,BurtonSP,burton25,2020,postfire,1yr,N,na,,na,na,,na,na,nocwd
CPFMP,BurtonSP,burton26,2020,postfire,1yr,N,27,,22,10,,5,5,
CPFMP,BurtonSP,burton26,2020,postfire,1yr,N,36.6,,77,34.3,,13,4,
CPFMP,BurtonSP,burton28,2020,postfire,1yr,N,42,,40,36,,6,5,
CPFMP,BurtonSP,burton28,2020,postfire,1yr,S,10,,10,6,,2,5,
CPFMP,BurtonSP,burton28,2020,postfire,1yr,E,12,,12,10,,1,5,
CPFMP,BurtonSP,burton29,2020,postfire,1yr,N,23,,25,12.5,,6,5,
CPFMP,BurtonSP,burton29,2020,postfire,1yr,W,13,,15,12,,3,4,
CPFMP,BurtonSP,burton29,2020,postfire,1yr,W,20,,20,18,,1,4,
CPFMP,BurtonSP,burton29,2020,postfire,1yr,W,9.6,,31,2,,11,1,1
CPFMP,BurtonSP,burton29,2020,postfire,1yr,W,32,,45,23,,13,1,
CPFMP,BurtonSP,burton29,2020,postfire,1yr,S,28,,31,2,,11,1,
CPFMP,BurtonSP,burton29,2020,postfire,1yr,S,39,,45,23,,13,1,
CPFMP,BurtonSP,burton29,2020,postfire,1yr,S,17,,18,4,,1.5,4,
CPFMP,BurtonSP,burton29,2020,postfire,1yr,E,12.4,,5,2,,1,3,
CPFMP,BurtonSP,burton29,2020,postfire,1yr,E,15,,20,6,,5.5,3,
CPFMP,BurtonSP,burton30,2020,postfire,1yr,E,18,,18.8,9.8,,7,4,
CPFMP,BurtonSP,burton32,2020,postfire,1yr,N,na,,na,na,,na,na,nocwd
CPFMP,BurtonSP,burton33,2020,postfire,1yr,E,11.2,,12,9,,1,4,
CPFMP,BurtonSP,burton33,2020,postfire,1yr,E,23,,18,11,,0.5,5,
CPFMP,BurtonSP,burton35,2020,postfire,1yr,N,na,,na,na,,na,na,nocwd
CPFMP,BurtonSP,burton36,2020,postfire,1yr,N,na,,na,na,,na,na,nocwd
CPFMP,BurtonSP,burton38,2020,postfire,1yr,N,12,,12.5,11,,1,5,
CPFMP,BurtonSP,burton38,2020,postfire,1yr,W,18,,10,9,,0.5,5,
CPFMP,BurtonSP,burton38,2020,postfire,1yr,E,18,,19,11,,1,4,
CPFMP,BurtonSP,burton39,2020,postfire,1yr,N,10,,13,1,,3,2,
CPFMP,BurtonSP,burton39,2020,postfire,1yr,N,10.2,,18,1,,6,2,
CPFMP,BurtonSP,burton41,2020,postfire,1yr,N,11.2,,13,3,,1,3,
CPFMP,BurtonSP,burton41,2020,postfire,1yr,N,18,,15,14,,1.5,3,
CPFMP,BurtonSP,burton41,2020,postfire,1yr,N,22,,24,11,,2,3,
CPFMP,BurtonSP,burton41,2020,postfire,1yr,N,23,,25,23,,1,2,
CPFMP,BurtonSP,burton42,2020,postfire,1yr,N,na,,na,na,,na,na,nocwd
CPFMP,BurtonSP,burton43,2020,postfire,1yr,W,30,,37.6,7.3,,15,3,
CPFMP,BurtonSP,burton43,2020,postfire,1yr,E,16.9,,20,15,,4,3,
CPFMP,BurtonSP,burton44,2020,postfire,1yr,E,30,,30,27,,1,5,
CPFMP,BurtonSP,burton47,2020,postfire,1yr,N,SEwPete;NWnocwd,,,,,,,
CPFMP,DryCreek,DryCreek32,2020,postfire,2yr,180,10.1,,8,7,,1.2,2,
CPFMP,DryCreek,DryCreek32,2020,postfire,2yr,270,45,,18,8,,14.2,3,
CPFMP,DryCreek,DryCreek33,2020,postfire,2yr,270,30,,28,20,,4,3,
CPFMP,DryCreek,DryCreek33,2020,postfire,2yr,180,13.3,,15,12,,0.8,3,
CPFMP,DryCreek,DryCreek33,2020,postfire,2yr,90,26,,26,21.2,,2,3,
CPFMP,DryCreek,DryCreek34,2020,postfire,2yr,270,20,,20,7,,1,5,
CPFMP,DryCreek,DryCreek34,2020,postfire,2yr,0,20,,20,23,,5,5,
CPFMP,DryCreek,DryCreek35,2020,postfire,2yr,na,na,,na,na,,na,na,
CPFMP,DryCreek,DryCreek36,2020,postfire,2yr,270,10.5,,11.1,6.7,,1.5,3,
CPFMP,DryCreek,DryCreek36,2020,postfire,2yr,270,12.8,,13,11.2,,1.1,3,
CPFMP,DryCreek,DryCreek36,2020,postfire,2yr,270,28,,34,8.4,,15,3,
CPFMP,DryCreek,DryCreek37,2020,postfire,2yr,180,12,,12,11.5,,0.4,2,
CPFMP,DryCreek,DryCreek37,2020,postfire,2yr,180,11.5,,11.5,9,,0.3,2,
CPFMP,DryCreek,DryCreek37,2020,postfire,2yr,180,12,,110,5,,34.7,5,
CPFMP,DryCreek,DryCreek37,2020,postfire,2yr,270,16.5,,16,11,,2.8,2,
CPFMP,DryCreek,DryCreek38,2020,postfire,2yr,0,13,,15,6,,0.4,2,
CPFMP,DryCreek,DryCreek38,2020,postfire,2yr,0,16,,16.5,14,,1.9,2,
CPFMP,DryCreek,DryCreek38,2020,postfire,2yr,0,18.5,,23,16,,2.5,3,
CPFMP,DryCreek,DryCreek38,2020,postfire,2yr,270,12,,13.5,10,,2.8,2,
CPFMP,DryCreek,DryCreek39,2020,postfire,2yr,na,na,,na,na,,na,na,
CPFMP,DryCreek,DryCreek40,2020,postfire,2yr,na,na,,na,na,,na,na,
CPFMP,DryCreek,DryCreek41,2020,postfire,2yr,na,na,,na,na,,na,na,
CPFMP,DryCreek,DryCreek43,2020,postfire,2yr,na,na,,na,na,,na,na,
CPFMP,springsfire,springs1,2020,postfire,1yr,0,nocwd,,,,,,,:)
CPFMP,springsfire,springs10,2020,postfire,1yr,0,nocwd,,,,,,,:)
CPFMP,springsfire,springs11,2020,postfire,1yr,0,nocwd,,,,,,,:)
CPFMP,springsfire,springs12,2020,postfire,1yr,0,10.5,,5,3.5,,0.3,3,
CPFMP,springsfire,springs12,2020,postfire,1yr,270,8.5,,9,4,,0.2,2,
CPFMP,springsfire,springs13,2020,postfire,1yr,90,10,,15,9,,0.8,3,
CPFMP,springsfire,springs14,2020,postfire,1yr,0,nocwd,,,,,,,:)
CPFMP,springsfire,springs15,2020,postfire,1yr,0,nocwd,,,,,,,:)
CPFMP,springsfire,springs16,2020,postfire,1yr,90,15.5,,20,9,,0.67,3,
CPFMP,springsfire,springs17,2020,postfire,1yr,0,9,,8.5,3,,1.35,3,
CPFMP,springsfire,springs17,2020,postfire,1yr,0,8,,9,8,,1.6,3,
CPFMP,springsfire,springs17,2020,postfire,1yr,0,11,,13,3.5,,1.45,3,
CPFMP,springsfire,springs18,2020,postfire,1yr,90,22.5,,23.5,22,,1.5,3,
CPFMP,springsfire,springs19,2020,postfire,1yr,270,11.8,,11,10.8,,0.5,4,
CPFMP,springsfire,springs2,2020,postfire,1yr,90,4.2,,18,4,,7.6,4,
CPFMP,springsfire,springs20,2020,postfire,1yr,180,11.2,,14.2,10.1,,2.7,3,
CPFMP,springsfire,springs21,2020,postfire,1yr,270,10.5,,9.5,5,,2.7,2,
CPFMP,springsfire,springs22,2020,postfire,1yr,180,18.5,,21,16.5,,2.8,2,
CPFMP,springsfire,springs23,2020,postfire,1yr,0,nocwd,,,,,,,:)
CPFMP,springsfire,springs24,2020,postfire,1yr,0,nocwd,,,,,,,:)
CPFMP,springsfire,springs25,2020,postfire,1yr,0,nocwd,,,,,,,:)
CPFMP,springsfire,springs26,2020,postfire,1yr,0,17.5,,20,6,,1.5,2,
CPFMP,springsfire,springs26,2020,postfire,1yr,0,10.5,,9,1,,0.8,2,
CPFMP,springsfire,springs26,2020,postfire,1yr,90,11,,6,5,,2.4,2,
CPFMP,springsfire,springs26,2020,postfire,1yr,180,8,,7,3,,0.75,3,
CPFMP,springsfire,springs26,2020,postfire,1yr,270,9,,6,1.5,,2,2,
CPFMP,springsfire,springs27,2020,postfire,1yr,0,nocwd,,,,,,,:)
CPFMP,springsfire,springs28,2020,postfire,1yr,0,nocwd,,,,,,,:)
CPFMP,springsfire,springs29,2020,postfire,1yr,180,9.3,,12.5,7,,0.5,3,
CPFMP,springsfire,springs3,2020,postfire,1yr,0,nocwd,,,,,,,:)
CPFMP,springsfire,springs30,2020,postfire,1yr,0,nocwd,,,,,,,:)
CPFMP,springsfire,springs31,2020,postfire,1yr,90,17.5,,30.5,3,,7.8,2,
CPFMP,springsfire,springs33,2020,postfire,1yr,270,24,,24,12,,6.7,3,
CPFMP,springsfire,springs34,2020,postfire,1yr,270,16,,16,14.5,,1.1,3,
CPFMP,springsfire,springs35,2020,postfire,1yr,270,8,,8.5,1,,2,1,
CPFMP,springsfire,springs35,2020,postfire,1yr,270,9.5,,10,1,,3,1,
CPFMP,springsfire,springs35,2020,postfire,1yr,270,12,,13,1,,3,1,
CPFMP,springsfire,springs35,2020,postfire,1yr,270,10.5,,9,1,,4,1,
CPFMP,springsfire,springs37,2020,postfire,1yr,0,nocwd,,,,,,,:)
CPFMP,springsfire,springs38,2020,postfire,1yr,0,nocwd,,,,,,,:)
CPFMP,springsfire,springs39,2020,postfire,1yr,0,nocwd,,,,,,,:)
CPFMP,springsfire,springs4,2020,postfire,1yr,0,17,,18,13,,6.7,4,
CPFMP,springsfire,springs4,2020,postfire,1yr,0,4.8,,5,3.5,,7.8,4,
CPFMP,springsfire,springs4,2020,postfire,1yr,270,8.5,,7.8,7.5,,4,3,
CPFMP,springsfire,springs40,2020,postfire,1yr,0,nocwd,,,,,,,:)
CPFMP,springsfire,springs41,2020,postfire,1yr,0,6.6,,6.6,6.3,,0.28,3,
CPFMP,springsfire,springs41,2020,postfire,1yr,180,3.9,,5.8,2.6,,1.51,2,
CPFMP,springsfire,springs42,2020,postfire,1yr,270,8.5,,10.5,5,,1,2,
CPFMP,springsfire,springs42,2020,postfire,1yr,270,10,,6.5,2,,1.2,2,
CPFMP,springsfire,springs42,2020,postfire,1yr,270,9,,11,6,,1.1,2,
CPFMP,springsfire,springs42,2020,postfire,1yr,270,12,,16,10,,0.4,3,
CPFMP,springsfire,springs42,2020,postfire,1yr,270,13.5,,13,8.5,,1.9,2,
CPFMP,springsfire,springs42,2020,postfire,1yr,180,12,,27,7,,4.3,3,
CPFMP,springsfire,springs43,2020,postfire,1yr,0,nocwd,,,,,,,:)
CPFMP,springsfire,springs44,2020,postfire,1yr,0,nocwd,,,,,,,:)
