site,PlotID,year,pre_post_fire,postTime,OBS,Species,Status,Lifeform,TSE#(by plot by sp.),TSE_HT_m(Of Tallest),TSE_Age(Of Tallest),TSA_DBH,TSA_Age,TSA_HT(m),TSA_cohort_ct,#resp,TRE# (by plot by sp.),TRE_HT_m(of tallest),TRE_Age(Of Tallest),NOTES,
independence,Indy09,2020,prefire,NA,,PICO,live,TSA,na,na,na,,,4.5,,,na,na,na,,
independence,Indy09,2020,prefire,NA,,PICO,live,TSA,na,na,na,,,4,,,na,na,na,,
independence,Indy09,2020,prefire,NA,,PICO,live,TSA,na,na,na,,,2.1,,,na,na,na,,
independence,Indy09,2020,prefire,NA,,PICO,live,TSA,na,na,na,,,4.5,,,na,na,na,,
independence,Indy09,2020,prefire,NA,,PICO,live,TSA,na,na,na,,,4.3,,,na,na,na,,
independence,Indy09,2020,prefire,NA,,PICO,live,TSA,na,na,na,,,4.7,,,na,na,na,,
independence,Indy09,2020,prefire,NA,,PICO,live,TSA,na,na,na,,,1.8,,,na,na,na,,
independence,Indy10,2020,prefire,NA,,na,na,na,na,na,na,na,na,na,,,na,na,na,"PIJE tse @ d 30m, h 4m, a 10; ABCO tse @ d 11m, h .1m, a 6",
independence,Indy11,2020,prefire,NA,,na,na,na,na,na,na,na,na,na,,,na,na,na,"ABCO tse @ d 11.2m, .5m h, ac 10; ABMA tsa - none in vicinity; PIJE tse @ d 39m, .5m h, ac 10 ",
independence,Indy12,2020,prefire,NA,,ABCO,live,TSE,16,na,0,na,na,na,,,na,na,na,,
independence,Indy12,2020,prefire,NA,,ABCO,live,TSE,24,na,1,na,na,na,,,na,na,na,,
independence,Indy12,2020,prefire,NA,,ABCO,live,TSE,1,na,1,na,na,na,,,na,na,na,,
independence,Indy12,2020,prefire,NA,,ABCO,live,TSE,11,na,2,na,na,na,,,na,na,na,,
independence,Indy12,2020,prefire,NA,,ABCO,live,TSE,2,na,3,na,na,na,,,na,na,na,,
