project,site,year,plotid,obs,pre_post_fire,pre_post_thin,postTime,burn_y/n,FireSeverity,slope_percent,aspect_degree,Horz_Shape,Ver_Shape,ExistingVeg,WTreeDistance_m1,WTreeAzimuth_deg1,WTreeTagNo1,TOT_VEG_percent,TOT_all_percent,TOT_HT_m,DT_all_percent,DT_HT_m,TOV_percent,TOV_HT_m,TSA_percent,TSA_HT_m,TSE_percent,TSE_HT_m,TRE_percent,TRE_HT_m,TOS_percent,TOS_HT_m,DS_percent,DS_HT_m,ST_percent,ST_HT_m,SM_percent,SM_HT_m,SL_percent,SL_HT_m,TOF_percent,TOF_HT_m,TOG_percent,TOG_HT_m,BARESOIL,LITTER,BlackLitter,ASH,CWD,stumps,CONES,Boulder/Bedrock,ROCK,SMROCK,BASALVEG,CRYPTOGRAMS,RD,BURNPILE,TOT_Black_percent,PRE % SHRUB COVER,%FORB SCORCH,%GRAM SCORCH,shrub_scorch_percent,shrub_torch_percent,shrub_unburn_percent,%UNDERSTORY TORCH,%UNDERSTORY SCORCH,history,NOTES,
CPFMP,BlissSP,2019,bliss02,rh.ms.nr.ag,prefire,,NA,no,0,15,297,LL,LL,"abco, cade, pila",11,2,,65,45,15,0.05,7,45,15,0.05,2,0.05,0.4,0,0,30,0.5,1,0.4,0,,20,0.7,30,0.4,0.05,0.25,0,,1,84,0,0,5,,0.05,0,6,3,1,0.05,0,,,,,,,,,,,,,
CPFMP,BlissSP,2019,bliss03,rh.ms.nr.ag,prefire,,NA,no,0,25,358,LL,LL,"abco, cade, pila",1.7,34,,63,35,15,0.05,7,35,15,0,0,0.05,0.2,0,0,35,0.8,0.05,0.5,0.05,2.2,29,1,35,0.35,0.05,0.2,0,,1,71,0,0,5,,0.05,0,20,2,1,0,0,,,,,,,,,,,,,
CPFMP,BlissSP,2019,bliss04,rh.ms.nr.ag,prefire,,NA,no,0,30,358,LL,LL,"pila, abco, cade",11.25,78,,45,25,15,0.05,7,25,15,0,0,0.05,0.3,0,,35,1,0.05,0.6,0.05,2,34,1,35,0.4,0.05,0.2,0,,2,73,0,0,7,,0.05,0,15,2,1,0,0,,,,,,,,,,,,,
CPFMP,BlissSP,2019,bliss05,rh.ms.nr.ag,prefire,,NA,no,0,30,324,LL,LL,"pila, pije, abco",8.9,30,,75,40,25,0,0,40,25,0,0,0.05,0.4,0,0,43,0.8,0,0,0.05,2.1,35,0.7,43,0.4,0.05,0.2,0,,0.05,93,0,0,2,,0.05,0,3,1,1,0.05,0,,,,,,,,,,,,,
CPFMP,BlissSP,2019,bliss06,rh.ms.nr.ag,prefire,,NA,no,0,15,313,LL,LL,"pila,abco,quva",7.2,93,,80,12,25.5,0.05,2.5,12,25.5,0.05,3.25,0.05,0.3,0,0,70,,1,1.5,0,,63,1.4,69,0.3,0,,0,,0.05,81,0,0,2,,0.05,0,15,1,1,0.05,0,,,,,,,,,,,,,
CPFMP,BlissSP,2019,bliss07,rh.ms.nr.ag,prefire,,NA,no,0,14,314,LL,LL,"pije,abco,pila",11.2,11,,65,12,12,0.05,10,12,12,0.05,3.5,0.05,0.3,0,0,46,0.3,0.05,,0,,0,,0.05,0.3,0.05,0.5,0,,0.05,97,0,0.05,0.05,,0.05,0,1,0.05,2,0,0,,,,,,,,,,,pile burn last fall with slop over / scorch on trees,,
CPFMP,BlissSP,2019,bliss08,rh.ms.nr.ag,prefire,,NA,no,0,28,278,LL,LL,"pije,abco,pila",6,5,,56,10,15,0.05,10,10,15,0.05,1.5,0.05,0.4,0,0,53,0.5,0,,4,2.2,43,0.75,46,0.3,0.05,0.3,0,,1,98,0,0.05,1,,0.05,0,0.05,0.05,0.05,0.05,0,,,,,,,,,,,,,
CPFMP,BlissSP,2019,bliss09,rh.ms.nr.ag,prefire,,NA,no,0,30,278,LL,LL,"abco,pipo,arpa",3.2,146,,90,10,12,0.05,2,10,12,0.05,2,0.05,0.3,0,0,80,1.3,3,0.2,3,2,80,1.3,80,0.4,0.05,0.2,0,,0.05,94,0,0.05,2,,0.05,0,3,0.05,1,0,0,,,,,,,,,,,,plot center at clearing near abcos surrounded by shrubs ,
CPFMP,BearMountain,2021,BM01,"ag, jw, km, mm, mv",postfire,,2yr,yes,,6,348,LL,LL,"pipo, cade, vulmyu",4.2,205,975,100,30,0.13,0.25,,30,14,0,na,0.25,0.1,0,na,18,0.25,0.25,0.6,0,na,0,na,18,0.25,15,0.1,60,0.2,0.5,98.25,tr,0,tr,,0.5,0,0,tr,0.75,tr,0,,,,,,,,,,,,,
CPFMP,BearMountain,2019,BM01,nr rh la ms,postfire,,immediate,yes,2,6,348,LL,LL,"pipo,cade,quke",4.1,18,975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,62.5,35,0.5,0.5,,0.05,,,,,,,,,,,,70,30,tr,,,,some seedlings appear to have little to no scorch (pipo) ,
