project,site,year,plotid,obs,pre_post_fire,pre_post_thin,postTime,burn_y/n,FireSeverity,slope_percent,aspect_degree,Horz_Shape,Ver_Shape,ExistingVeg,WTreeDistance_m1,WTreeAzimuth_deg1,WTreeTagNo1,TOT_VEG_percent,TOT_all_percent,TOT_HT_m,DT_all_percent,DT_HT_m,TOV_percent,TOV_HT_m,TSA_percent,TSA_HT_m,TSE_percent,TSE_HT_m,TRE_percent,TRE_HT_m,TOS_percent,TOS_HT_m,DS_percent,DS_HT_m,ST_percent,ST_HT_m,SM_percent,SM_HT_m,SL_percent,SL_HT_m,TOF_percent,TOF_HT_m,TOG_percent,TOG_HT_m,BARESOIL,LITTER,BlackLitter,ASH,CWD,stumps,CONES,Boulder/Bedrock,ROCK,SMROCK,BASALVEG,CRYPTOGRAMS,RD,BURNPILE,TOT_Black_percent,PRE % SHRUB COVER,%FORB SCORCH,%GRAM SCORCH,shrub_scorch_percent,shrub_torch_percent,shrub_unburn_percent,%UNDERSTORY TORCH,%UNDERSTORY SCORCH,history,NOTES,
CPFMP,Antelope,2020,Antelope02,"ag, mm, km, pm",prefire,,NA,no,0,18,285,LL,LL,"PIJE, ARTR, PURTRI",9,30,1471,55,30,13,0,na,30,13,0,na,0.05,1,0,na,25,0.8,0.05,0.7,0,na,25,0.8,25,0.5,0.05,0.3,18,0.3,1,95.5,0.05,0,3,,0.05,0,0,0.05,0.5,0,0,,,,,,,,,,,,slope originally recorded as 10 degrees and later converted to percent,
CPFMP,Antelope,2020,Antelope03,"vs, mm",prefire,,NA,no,0,15,350,LL,LL,"PIJE, PURTRI, ARTTRI",3.5,135,2448,52,9,10,0,na,9,10,0.05,,1,0.5,0,na,34,0.9,0.05,0.8,0,na,31,0.9,34,0.5,0,na,11,0.1,41,16,0,0,0.5,,0.05,0,0,42,0.5,0,0,,,,,,,,,,,,sm mammal burrows; midslope,
CPFMP,Antelope,2020,Antelope04,"ag, km, pm",prefire,,NA,no,0,42,208,LL,LL,"PIJE, PIMONO, ARTR",8,62,2601,55,26,4.5,0,na,20,4.5,6,3,0.05,0.6,0,na,25,0.6,0.25,0.2,0,na,24,0.6,25,0.5,2,0.4,5,0.35,62.5,33,0,0,0.05,,0.05,2,0.5,1.5,0.5,0.05,0,,,,,,,,,,,,slope originally recorded as 23 degrees and later converted to percent,
CPFMP,Antelope,2020,Antelope05,"vs, mm",prefire,,NA,no,0,12,170,LL,CV,"PIJE, PURTRI, ARTTRI",11,2,2451,33,9,11,0,na,9,11,0,na,0,na,0,na,20,0.9,3,0.4,0,na,16,0.7,20,0.5,0,na,4,0.2,32.5,24,0.05,0.05,3,,0.05,0,0,40,0.5,0,0,,,,,,,,,,,,"sm mammal burrows, rabbit n deer poop, cut stumps, char0 campfire likely",
CPFMP,Antelope,2020,Antelope06,"ag, km, pm",prefire,,NA,no,0,45,224,LL,LL,"PIJE, ARTR, PURTRI",10,85,2614,43,3,7,15,18,3,7,0,na,0.05,0.8,0,na,30,0.7,0.05,0.3,0,na,30,0.7,30,0.5,0.05,0.4,10,0.3,25,67.5,0,0,0.5,,0.05,6,0.05,1,0.05,0.05,0,,,,,,,,,,,,slope originally recorded as 24 degrees and later converted to percent,
CPFMP,Antelope,2020,Antelope07,"vs, mm",prefire,,NA,no,0,5,315,LL,LL,"PIJE, PURTRI, ARTTRI",6,24,2454,55,17,5,0,na,17,5,5,2,0.05,0.5,0,na,47,0.7,6,0.7,0,na,44,0.7,47,0.5,0,na,2,0.3,60,10,0.05,0.05,0.05,,0.05,0,0,29,1,0,0,,,,,,,,,,,,"tree stakes found, plantation; small mammal burrows, deer poop, anthills; fire ring char, undulating microtopo",
CPFMP,Antelope,2020,Antelope08,"ag, km, pm",prefire,,NA,no,0,21,26,LL,LL,"PIJE, ARTR, CEVE",5.5,39,2616,75,45,13,0,na,45,13,0,na,0,na,0,na,30,0.7,0.05,0.2,0,na,30,0.7,30,0.5,0.05,0.3,0.5,0.3,1,97.25,0.05,0.05,0.05,,0.5,0,0.5,0.05,0.75,0.05,0,,,,,,,,,,,,pile burnt edge of plot,
CPFMP,Antelope,2020,Antelope09,"vs, mm",prefire,,NA,no,0,4,45,CC,CC,"PIJE, PURTRI, ARTTRI",11,4,2468,32,25,5,0,na,25,5,3,2,0.05,0.3,0,na,18,0.9,4,0.9,0,na,17,0.9,18,0.5,0,na,1,0.2,53,37,0,0,1,,1,0,0,6,2,0,0,,,,,,,,,,,,"cut stumps, ant hills",
CPFMP,Antelope,2020,Antelope10,"ag, km, pm",prefire,,NA,no,0,51,211,LL,LL,"PIJE, ARTR, PURTRI",6.9,130,2622,45,25,7,0,na,25,7,0,na,0.05,0.5,0.05,0.1,20,0.7,0.05,0.3,0,na,20,0.7,20,0.5,0.05,0.3,0.05,0.3,35,48.5,0,0,0.5,,5/PIJE,0,10,1,0.05,0,0,,,,,,,,,,,,slope originally recorded as 27 degrees and later converted to percent,
CPFMP,Antelope,2020,Antelope11,"vs, mm",prefire,,NA,no,0,34,175,LL,LL,"PIJE, PURTRI, ARTTRI",,,2485,60,51,9,1,13.7,51,9,4,2,0.05,0.8,0,na,9,0.7,1,0.7,0,na,9,0.7,9,0.5,0.05,0.2,0.05,0.3,16,81,0,0,0.05,,0.05,0,0,2,1,0,0,,,,,,,,,,,,"deer tracks, ant hills",
CPFMP,Antelope,2020,Antelope12,"ag, km, pm",prefire,,NA,no,0,12,332,LL,LL,"PIJE, ARTR, PURTRI",5.9,29,2624,70,55,10,0,na,55,10,0,na,0.05,0.3,0,na,30,0.7,0.05,0.2,0,na,30,0.7,30,0.5,0.05,0.2,17,0.2,0.05,96,0,0,1.5,,0.05,0,0,1,1.5,0,0,,,,,,,,,,,,slope originally recorded as 7 degrees and later converted to percent,
CPFMP,Antelope,2020,Antelope13,"vs, mm",prefire,,NA,no,0,2,35,CC,CC,"PIJE, PURTRI, ARTTRI",8,45,2494,40,21,14,0,na,21,14,0.05,1,0.05,0.5,0,na,28,1,2,0.2,0,na,26,1,28,0.5,0.05,0.2,2,0.2,48,40,1,r,2,,1,0,0,7,1,0,0,,,,,,,,,,,,"sm mammal burrows, cut stumps, possible camp fire",
CPFMP,Antelope,2020,Antelope14,"km, pm",prefire,,NA,no,0,14,311,LL,LL,"PIJE, ARTR, PURTRI",10.7,12,1301,50,23,14,0,na,23,14,0,na,0,na,0,na,28,0.7,1,0.5,0,na,28,0.7,28,0.5,0.05,0.2,12,0.1,0.5,96.5,0,0,2,,0.25,0,0,0.05,0.75,0.05,0,,,,,,,,,,,,coordinates originally taken in decimal degress and converted to UTM later,
CPFMP,Antelope,2020,Antelope15,"vs, mm",prefire,,NA,no,0,23,180,CV,LL,"PIJE, PURTRI, ARTTRI",7,101,1483,42,26,19,0,na,26,19,0,na,0,na,0,na,14,1,0.05,0.5,0,na,14,1,14,0.5,0.05,0.3,1,0.2,8,49.5,0,0,0.05,,0.05,38,4,0.05,0.5,0,0,,,,,,,,,,,,sm mammal burrows,
CPFMP,Antelope,2020,Antelope16,"km, pm",prefire,,NA,no,0,27,279,LL,LL,"PIJE, PURTRI, ARTR",10.5,5,1304,75,12,9,2,5,12,9,1,2,0,na,0.05,0.3,70,0.7,2,0.5,0,na,60,0.7,70,0.5,1,0.2,4,0.15,53,45,0,0,0.75,,0.05,0,0,0.75,0.5,0,0,,,,,,,,,,,,coordinates originally taken in decimal degress and converted to UTM later,
CPFMP,Antelope,2020,Antelope17,"vs, mm",prefire,,NA,no,0,1,,LL,LL,"PIJE, PURTRI, ARTTRI",9,50,1486,18,7,15,0,na,7,15,0,na,0.05,1.1,0,na,16,0.6,2,0.2,0,na,11,0.6,16,0.5,0.05,0.1,0.05,0.3,75,25,0,0,0,,0.05,0,0,0.05,0.05,0,0,,,,,,,,,,,,"very disturbd, mixed sage samples, lizard!small mammal burrows, motorbike playground",
CPFMP,Antelope,2020,Antelope18,"km, pm",prefire,,NA,no,0,16,202,LL,LL,"PIJE, ARTR, PURTRI",5.9,12,1310,55,10,12.5,0,na,10,12.5,0,na,0,na,0.05,0.3,45,0.7,3,0.3,0,na,45,0.7,45,0.5,0.5,0.3,3,0.3,40.25,49.5,0,0,7.5,,0.25,0,0.05,2,0.5,0,0,,,,,,,,,,,,coordinates originally taken in decimal degress and converted to UTM later,
CPFMP,Antelope,2020,Antelope19,"vs, mm",prefire,,NA,no,0,3,,LL,LL,"PIJE, PURTRI, ARTTRI",6.5,75,1487,38,22,11,0,na,22,11,1,2,0,na,0,na,19,0.7,0.05,0.7,0,na,15,0.05,19,0.5,1,0.1,3,0.1,53,42,0.05,0.05,1,,0.05,0,0.05,3,1,0,0,,,,,,,,,,,,"toe of rocky outcrop, shoulder of hilltop, campfire ring",
CPFMP,calaveras,2022,BTN01,"bk, kw",postfire,,immediate,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,94,4,2,NA,,NA,NA,tr,NA,1,NA,,,,,tr,tr,tr,NA,NA,,,,,
CPFMP,calaveras,2020,BTN01,"ag, pm, km",prefire,,NA,no,0,30,341,LL,CC,"CONU, COCO, ABCO",6.3,138,ABCO,100,20,46,0.05,30,20,7,3,1.5,5,0.8,0,na,98,2.5,0,na,90,2.5,98,1.8,98,0.5,12,0.1,0,na,0.05,89.25,0,0,10,,0.05,0,0,0,0.75,0.05,0,,,,,,,,,,,,,
CPFMP,calaveras,2022,BTN02,"zmz, bk, kw, mm",postfire,,immediate,yes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tr,tr,89,10,0.5,,0,0,0,tr,0.5,0,,,,,NA,NA,60,40,0,,,,tree data didnt save,
CPFMP,calaveras,2020,BTN02,"jw, vs, mm",prefire,,NA,no,0,12,275,UN,UN,"CONU, PILA, ABCO",8,41,ABCO,26,13,33,0.05,24,13,32,24,2.4,6,0.4,0,na,9,2,0,na,2,4,9,1.6,9,0.5,0.05,0.2,0.05,0.7,0.05,96,0.05,0,2,,0.05,0,0,0.05,2,0.05,0,,,,,,,,,,,,deer trail,
CPFMP,calaveras,2022,BTN03,"hazard trees, did not remeasure",postfire,,immediate,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,,,,"hazard trees, did not remeasure",
CPFMP,calaveras,2020,BTN03,"vs, mm",prefire,,NA,no,0,3,280,CV,LL,"CADE, ABCO, PILA",9.7,65,ABCO,32,19,19.3,1,3,19,31,12,1.1,1,0.1,0,na,1,0,0,na,0.05,1.3,1,1.1,1,0.5,0,0,0.05,0.9,0.05,88,0.05,0,10,,0.05,0,0,0.05,1.5,0.05,0,,,,,,,,,,,,"treated, deer browse",
CPFMP,calaveras,2022,BTN04,"zmz, bk, kw, mm",postfire,,immediate,yes,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tr,tr,56,40,3,,tr,0,0,tr,1,0,,,,,NA,NA,50,50,0,,,,,
CPFMP,calaveras,2020,BTN04,"km, pm",prefire,,NA,no,0,16,347,CV,LL,"CADE, CONU, CEVE",6.2,151,ABCO,72,50,3,1,3,35,15,38,2,15,0.7,0,na,45,1.7,0,na,35,1.9,40,1.8,45,0.5,2,0.3,6,0.4,0.05,78,0.05,0,20,,0.05,0,0,0,2,0.05,0,,,,,,,,,,,,,
CPFMP,calaveras,2022,BTN05,"zmz, bk, kw, mm",postfire,,immediate,yes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,45.5,25,6,,tr,0,0,tr,1,0,,,,,NA,NA,95,5,0,,,,,
CPFMP,calaveras,2020,BTN05,"km, pm",prefire,,NA,no,0,7,205,LL,LL,"ABCO, CEVE, CADE",6.7,3,PIPO,75,60,22,3,12,25,22,36,2.6,17,1,0,na,27,3.7,0,na,25,3.7,25,1.8,27,0.5,0,na,0.05,0.1,0.5,69,0.05,0,28.5,,0.05,0,0,0,2,0.05,0,,,,,,,,,,,,south transect offset at 184° due to large dead CADE,
CPFMP,calaveras,2022,BTN06,"zmz, bk, kw, mm",postfire,,immediate,yes,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tr,tr,70,30,1.5,,tr,0,0,tr,1.5,0,,,,,NA,NA,100,95,0,,,,,
CPFMP,calaveras,2020,BTN06,"pm, km, vs, mm",prefire,,NA,no,0,4,281,LL,LL,"CEVE, CADE, QUKE",8.2,30,CADE,85,75,4,3,4,75,11,1,1.4,3,0.7,0,na,25,3.2,0,na,25,3.2,25,1.8,25,0.5,0.05,0.1,0,na,0.05,84.75,0.05,0,12.5,,0.05,0,0,0.05,2.75,0.05,0,,,,,,,,,,,,"plot had clear evidence of being burned (black litter, depression from burned out tree)",
CPFMP,calaveras,2022,BTN07,"zmz, bk, kw, mm",postfire,,immediate,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tr,tr,9.5,88,2,,tr,0,0,tr,0.5,0,,,,,NA,NA,85,3,15,,,,,
CPFMP,calaveras,2020,BTN07,"vs, mm",prefire,,NA,no,0,44,0,LL,LL,"PIPO, ABCO, PILA",,,ABCO,59,26,42,0.05,2,1.1,42,57,1.6,5,0.1,0,na,6,1.8,0,na,4,3.5,6,1.8,6,0.5,0.05,0.2,0.05,0.5,0.05,91,0.05,0,8,,0.05,0,0,0.05,1,0.05,0,,,,,,,,,,,,small mammal burrows,
CPFMP,calaveras,2022,BTN08,"zmz, bk, kw, mm",postfire,,immediate,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,75,10,2,,tr,0,0,tr,3,0,,,,,NA,NA,90,10,0,,,,,
CPFMP,calaveras,2020,BTN08,"jw, vs, mm",prefire,,NA,no,0,25,350,LL,LL,"CONU, PILA, ABCO",1.5,2,CADE,85,62,35.5,0.5,10.5,44,35.5,68,1.6,0.05,0.4,0,na,6,2,0,na,2,2,6,1.8,6,0.5,1,0.9,0,na,0,94,0.05,0,3,,1,0.05,0.05,0,2,0.05,0,,,,,,,,,,,,,
CPFMP,calaveras,2022,BTN09,"zmz, bk, kw, mm",postfire,,immediate,yes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tr,3,61,30,5,,tr,0,0,tr,1,0,,,,,NA,NA,90,20,tr,,,,,
CPFMP,calaveras,2020,BTN09,"jw, vs, mm",prefire,,NA,no,0,27,320,UN,UN,"CONU, PILA, CADE",8,37,CADE,45,31,24,0.05,,15,24,10,1.7,5,0.1,0,na,24,2,0,na,11,3.6,24,1.8,24,0.5,0.05,0.3,0.05,0.3,2,88,0.05,0,8,,0.05,0,0,0.05,2,0.05,0,,,,,,,,,,,,deer trail n browsing,
CPFMP,calaveras,2022,BTN10,"zmz, bk, kw, mm",postfire,,immediate,yes,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tr,10,70,19,0.5,,tr,0,0,tr,0.5,0,,,,,NA,NA,100,30,0,,,,,
CPFMP,calaveras,2020,BTN10,"vs, mm",prefire,,NA,no,0,18,0,UN,UN,"CADE, ABCO, PILA",8,50,PILA,60,54,13,1,4,49,5.5,3,0.6,2,0.1,0,na,6,1.8,0,na,1,3,5,1.8,6,0.5,0.05,0.2,0.05,0.5,1,91.5,1,0,4,,0.05,0,0,0.05,2.5,0.05,0,,,,,,,,,,,,pile and cut wood,
CPFMP,calaveras,2022,BTN11,"zmz, bk, kw, mm",postfire,,immediate,yes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tr,25,50,22.5,0.5,,tr,0,0,tr,2,tr,,,,,NA,NA,75,15,10,,,,,
CPFMP,calaveras,2020,BTN11,"vs, mm",prefire,,NA,no,0,5,22,LL,LL,"CADE, PIPO, QUKE",1.5,5,CADE,30,18,5.5,0,na,13,5,4,2,1,0.4,0,na,12,3,0.05,3,10,3,12,1.8,12,0.5,0.1,0.1,0.05,1.5,10,85,0.05,0,4,,0,0,0.05,0.05,1,0.05,0,,,,,,,,,,,,"deer track, bear scat, small mammal burrows; not 100% on DT Xref tree data jic",
CPFMP,calaveras,2022,BTN12,"zmz, bk, kw, mm",postfire,,immediate,yes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tr,66,15,15,1.5,,0,0,0,tr,2.5,0,,,,,NA,NA,100,100,0,,,,,
CPFMP,calaveras,2020,BTN12,"vs, mm",prefire,,NA,no,0,5,238,CV,CV,"CADE, ABCO, PILA",10,,CADE,46,32,6,0.05,4,32,7,34,1.7,8,0.3,0,na,2,2,0,na,1,3,2,1.8,2,0.5,0.05,0.3,0.05,1,1,92.5,0.05,0,4,,0.05,0,0.05,0.05,2.5,0.05,0,,,,,,,,,,,,"deer track, bear scat, small mammal burrows",
CPFMP,calaveras,2022,BTN13,"bk, kw, bb, tp, zmz",postfire,,immediate,yes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tr,0,20,79,NA,,NA,NA,tr,NA,1,NA,,,,,0,0,0,NA,NA,,,,,
CPFMP,calaveras,2020,BTN13,"vs, mm",prefire,,NA,no,0,19,220,LL,LL,"PIPO, ABCO, PILA",7.1,56,ABCO,55,39,41,0,na,39,40,4,1,0.05,0.5,0,na,5,3,0,na,5,3,5,1.8,5,0.5,0.05,0.3,0.05,0.8,1,89,0.05,0,5,,2.5,0,0,0,2.5,0.05,0,,,,,,,,,,,,,
CPFMP,calaveras,2022,BTN14,"hazard trees, did not remeasure",postfire,,immediate,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,,,,"hazard trees, did not remeasure",
CPFMP,calaveras,2020,BTN14,"km, pm",prefire,,NA,no,0,19,219,LL,LL,"CADE, ABCO, PIPO",10.9,16,PIPO,80,80,13,7,12,28,28,70,1.6,80,0.9,0,na,5,3,0,na,4,3,4,1.8,5,0.5,0,na,0,na,0,84.5,0,0,12.5,,0.05,0,0,0,3,0.05,0,,,,,,,,,,,"tree tag on dead PILA, not ours tag 235",,
CPFMP,calaveras,2022,BTN15,"zmz, bk, kw, mm",postfire,,immediate,yes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lots of bracken fern post fire/ firefighter trail ,
CPFMP,calaveras,2020,BTN15,"vs, mm",prefire,,NA,no,0,37,230,UN,UN,"PILA, ABCO, CADE",5.2,22,ABCO,63,58,7.5,0.05,47,40,7.5,18,2.5,0.05,0.7,0,na,16,1.8,0.05,3,0.05,2,16,1.8,16,0.5,0.05,0.2,0,na,0.05,96,0.05,0,3,,0.05,0,0.05,0.05,1,0.05,0,,,,,,,,,,,,"slash pile in plot & margins, ephemeral stream, mammal burrows",
CPFMP,calaveras,2020,BTN17,"jw, vs, mm",prefire,,NA,no,0,3,165,LL,LL,"CONU, PILA, CADE",10,26,CADE,45,49,20,0,na,49,20,10,0.9,0.05,0.1,0,na,23,2,0,na,6,2,20,1.8,23,0.5,6,0.5,0.05,0.5,0.05,91,0.05,0,6,,1,0,0,0.05,2,0.05,0,,,,,,,,,,,,"old cuts composting, not 100% on DT XRef tree data jic",
CPFMP,calaveras,2020,BTN18 ,"jw, vs, mm",prefire,,NA,no,0,2,225,LL,LL,"CONU, ABCO, CADE",10,64,ABCO,42,16,8,1,27.5,16,8,0.05,1,0.05,0.4,0,na,32,2,0,na,5,2.5,32,1.8,32,0.5,0.05,0.2,0.05,0.2,2,85,0.05,0.05,11,,0.05,0,0,0.05,2,0.05,0,,,,,,,,,,,,"slash pile, deer/bear tracks",
CPFMP,calaveras,2020,BTN19,"jw, vs, mm",prefire,,NA,no,0,4,180,UN,LL,"CONU, PILA, CADE",9,30,CADE,66,39,20,0.75,46,17,9,16,1.1,6,0.1,0,na,50,2.4,0.05,2,18,2.4,50,1.8,50,0.5,1,1,0,na,0.05,90,0.05,0,8,,0.05,0,0,0,2,0.05,0,,,,,,,,,,,,lots of cuts from small bits of bark,
CPFMP,calaveras,2020,BTN20,"jw, vs, mm",prefire,,NA,no,0,3,165,LL,LL,"CONU, PILA, CADE",10,47,PIPO,77,40,25,0,na,34,25,9,0.9,0.05,0.4,0,na,45,2,0,na,4,2,45,1.8,45,0.5,0.05,1,0.05,0.3,0.05,72,0.05,0,24,,3,0,0,0.05,0.5,0.05,0,,,,,,,,,,,,deer browsing,
CPFMP,calaveras,2020,BTN21,"jw, vs, mm",prefire,,NA,no,0,4,180,LL,LL,"CONU, PILA, ABCO",8,60,ABCO,58,31,20,4,24,22,19,3,2,0.05,0.3,0,na,78,2,0,na,0,na,78,1.8,78,0.5,0.05,0.1,0.05,0.4,0.05,90,0.05,0,7,,1,0,0.05,0.05,2,0.05,0,,,,,,,,,,,,frass on many fallen logs,
CPFMP,calaveras,2020,BTN22,"ag, pm, km, lh",prefire,,NA,no,0,8,124,LL,LL,"PILA, ABCO, CADE",6,44,ABCO,90,50,30,0.05,28.5,2,48,2,1.7,13,0.5,0,na,85,2.3,0,na,75,2.3,85,1.7,85,0.5,0.05,0.4,0,na,0,70.5,0,0,25,,.5 PILA,0,0,0,4,0.05,0,,,,,,,,,,,,,
CPFMP,calaveras,2020,BTN23,"jw, vs, mm",prefire,,NA,no,0,4,120,LL,LL,"CONU, PILA, CADE",5,7,SEGI,75,75,38,0,na,26,38,50,1.5,0.05,0.1,0,na,20,2,0,na,1,0,20,1.8,20,0.5,0.05,0.1,0,na,0,90,1,0,6,,1,0,0,0,2,0.05,0,,,,,,,,,,,,cut CWD,
CPFMP,calaveras,2020,BTN24,"ag, pm, km, lh",prefire,,NA,no,0,6,144,LL,LL,"SEGI, ABCO, CONU",8,178,SEGI,100,35,21.25,1,26.8,35,19.3,0.05,1.8,5,0.6,0,na,90,2,0,na,50,2,85,1.6,85,0.5,0.05,0.1,0,na,0,77.5,0.05,0,20,,0.05 PILA,0,0,0,2,0.05,0,,,,,,,,,,,burnt logs,,
CPFMP,calaveras,2020,BTN25,"ag, pm, km",prefire,,NA,no,0,10,140,LL,LL,"CONU, CADE, ABCO",4.1,54,ABCO,95,31,19,0.05,15.5,28,9,7,1.2,3,0.4,0,na,95,2.3,0,na,90,2.3,90,1.8,90,0.5,0.05,0.2,0,na,0.5,73.5,0,0,25,,0.05,0,0,0,1,0.05,0,,,,,,,,,,,,,
CPFMP,calaveras,2020,BTN27,"ag, pm, km, lh",prefire,,NA,no,0,8,68,LL,LL,"CONU, CADE, ABCO",10,80,CADE,95,19,2,3,19,19,20,8,0.8,20,0.4,0,na,75,1.8,0,na,73,1.9,75,1.8,75,0.5,2,0.3,0.05,0.5,0,91.5,0,0,7,,0.05,0,0,0,1.5,0.05,0,,,,,,,,,,,,,
CPFMP,calaveras,2020,BTN28,"jw, vs, mm",prefire,,NA,no,0,5,165,LL,LL,"CONU, ABCO, PTEAQU",10,81,ABCO,76,24,46,1,55,23,46,0.05,2.4,0.05,0.5,0,na,55,2,0.05,2,20,2.4,55,1.8,55,0.5,3,1,0,na,2,90,0.05,0,6,,0.05,0,0,0.05,2,0.05,0,,,,,,,,,,,,"slash pile, deer scat; pteridophytes are not forbs",
CPFMP,calaveras,2022,BTN29,"zm, tp",postfire,,immediate,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tr,15,80,5,NA,,NA,NA,tr,NA,tr,NA,,,,,15,0,100,NA,NA,,,,"scorch % is % of present plants scorched, not percent of plot scorched",
CPFMP,calaveras,2020,BTN29,"ag, pm, km",prefire,,NA,no,0,19,180,LL,LL,"PILA, CONU, ABCO",8,90,PILA,75,40,47.5,1,1.8,40,47.5,1,1.6,3,0.2,0,na,30,2.2,0,na,10,2.2,2.7,1.8,30,0.5,0.05,0.05,0.05,0.25,0,76,0,0,15,,8 PILA,0,0,0,1,0.05,0,,,,,,,,,,,,east transect offset at 80° due to large PILA,
CPFMP,calaveras,2022,BTN30,"zmz, bk, kw, mm",postfire,,immediate,yes,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tr,tr,31,60,8,,0,0,0,tr,1,0,,,,,NA,NA,95,100,0,,,,"2020 E mistaken for N, reestablished plot center/rebar not found, dogwood resprout ",
CPFMP,calaveras,2020,BTN30,"vs, mm",prefire,,NA,no,0,29,260,LL,CV,"CONU, PILA, CADE",10,108,CADE,50,43,20,2,19,40,25,3,0.9,0.05,0.5,0,na,40,2,0,na,20,3,40,1.8,40,0.5,0.05,0.1,0.05,1,2,77,0.05,0,18,,0.05,0,0,0.05,3,0.05,0,,,,,,,,,,,,deer present n browsing,
CPFMP,calaveras,2022,BTN31,"hazard trees, did not remeasure",postfire,,immediate,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,,,,"hazard trees, did not remeasure",
CPFMP,calaveras,2020,BTN31,"vs, mm",prefire,,NA,no,0,27,250,LL,CV,"CADE, PIPO, stipa",na,na,na,9,2,1.3,0.05,7,0.05,na,0.05,1.3,0.05,0.5,0,na,0.05,1,0,na,0,na,0.05,1,0.05,0.5,1,0.5,5,1,9,2,0,0,1,,0,0,0.05,87,0.05,1,0,,,,,,,,,,,,,
CPFMP,calaveras,2022,BTN32,"zm, tp",postfire,,immediate,yes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tr,5,85,5,NA,,NA,NA,5,NA,tr,NA,,,,,0,0,0,NA,NA,,,,100% of shrubs and trees torched/burned to ground,
CPFMP,calaveras,2020,BTN32,"km, pm",prefire,,NA,no,0,21,237,LL,LL,"CADE, ABCO, PIPO",7.6,125,ABCO,75,30,9,0.25,13,30,9,9,1.6,23,0.8,0,na,7,1,0,na,0.05,2,2,0.7,7,0.5,1,0.3,7,1.2,0.05,67,0,0,30,,0.05,0,1,0.5,1,0.5,0,,,,,,,,,,,,,
CPFMP,calaveras,2022,BTN33,"hazard trees, did not remeasure",postfire,,immediate,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,,,,"hazard trees, did not remeasure",
CPFMP,calaveras,2020,BTN33,"vs, mm",prefire,,NA,no,0,16,200,CV,LL,"PILA, ABCO, CADE",8,188,CADE,46,45,6,0.05,13,26,7,11,1.8,0.05,0.1,0,na,8,3,0,na,6,3,8,1.8,8,0.5,0.05,0.1,0.05,1.6,0.05,90,1,0,5,,0.05,0,0,0.05,4,0.05,0,,,,,,,,,,,,deer scat,
CPFMP,calaveras,2022,BTN34,"zmz, bk, kw, mm",postfire,,immediate,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,last quadrant for trees (after large cade) interrupted by chainsaw work,
CPFMP,calaveras,2020,BTN34,"km, pm",prefire,,NA,no,0,22,209,CC,LL,"CONU, acer, ABCO",8,13,ABCO,98,60,19,9,17,58,19,12,4.5,3,0.4,0,na,85,4.5,0,na,75,4.5,80,1.8,85,0.5,0.5,0.1,0,na,0.05,84.5,0,0,13,,0.05,0,0,0.05,2.5,0.05,0,,,,,,,,,,,,"plot between road and trail, garbage in plot",
CPFMP,calaveras,2022,BTN35,"bk, kw, bb",postfire,,immediate,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tr,67,30,tr,NA,,NA,NA,tr,NA,3,NA,,,,,tr,tr,tr,NA,NA,,,,,
