project,site,year,Plot ID,pre_post_fire,postTime,Regen1_m,Regen1_spp,Regen2_m,Regen2_spp,SS1_m,SS1_spp,SS2_m,SS2_spp,SS3_m,SS3_spp,SS4_m,SS4_spp,SS5_m,SS5_spp
CPFMP,BearMountain,2019,BM25,prefire,,,,,,13.5,PSME,22,CADE,16,ABCO,,,,
CPFMP,BearMountain,2019,BM26,prefire,,,,,,,,,,,,,,,
CPFMP,BearMountain,2019,BM27,prefire,,,,,,,,,,,,,,,
CPFMP,BlissSP,2019,bliss1,prefire,,,,,,35,CADE,,,,,,,,
CPFMP,BlissSP,2019,bliss2,prefire,,,,,,,,,,,,,,,
CPFMP,BlissSP,2019,bliss3,prefire,,,,,,35,PILA,43,CADE,,,,,,
CPFMP,BlissSP,2019,bliss4,prefire,,,,,,,,,,,,,,,
CPFMP,BlissSP,2019,bliss5,prefire,,,,,,53,CADE,,,,,,,,
CPFMP,BlissSP,2019,bliss6,prefire,,,,,,,,,,,,,,,
CPFMP,BlissSP,2019,bliss7,prefire,,,,,,53,CADE,,,,,,,,
CPFMP,BlissSP,2019,bliss8,prefire,,,,,,37,CADE,,,,,,,,
CPFMP,BlissSP,2019,bliss9,prefire,,,,,,,,,,,,,,,
CPFMP,BlissSP,2019,bliss10,prefire,,,,,,,,,,,,,,,
CPFMP,BlissSP,2019,bliss11,prefire,,,,,,,,,,,,,,,
CPFMP,BlissSP,2019,bliss12,prefire,,,,,,16,CADE,,,,,,,,
CPFMP,BlissSP,2019,bliss13,prefire,,,,,,16,CADE,,,,,,,,
CPFMP,BlissSP,2019,bliss14,prefire,,,,,,,,,,,,,,,
CPFMP,BlissSP,2019,bliss15,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2019,burton1,prefire,,,,,,14.6,PILA,29.1,PIJE,,,,,,
CPFMP,BurtonSP,2019,burton2,prefire,,,,,,33.1,PIJE,81,PILA,,,,,,
CPFMP,BurtonSP,2019,burton3,prefire,,,,,,16.1,PIJE,,,,,,,,
CPFMP,BurtonSP,2019,burton4,prefire,,,,,,20,ABMA,,,,,,,,
CPFMP,BurtonSP,2019,burton5,prefire,,,,,,25,ABMA,,,,,,,,
CPFMP,BurtonSP,2019,burton6,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2019,burton7,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2019,burton8,prefire,,,,,,16.5,PIJE,,,,,,,,
CPFMP,BurtonSP,2019,burton9,prefire,,,,,,14,PIJE,,,,,,,,
CPFMP,BurtonSP,2019,burton10,prefire,,,,,,12,ABMA,,,,,,,,
CPFMP,BurtonSP,2019,burton11,prefire,,,,,,40.2,PIJE,,,,,,,,
CPFMP,BurtonSP,2019,burton12,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2019,burton13,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2019,burton14,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2019,burton15,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2019,burton16,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2019,burton17,prefire,,,,,,69.7,ABMA,16.8,PIJE,,,,,,
CPFMP,BurtonSP,2019,burton18,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2019,burton19,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2019,burton20,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2019,burton21,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2019,burton22,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2019,burton23,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2019,burton24,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs1,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs2,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs3,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs4,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs5,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs6,prefire,,,,,,29.3,PIJE,,,,,,,,
CPFMP,springsfire,2019,springs7,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs8,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs9,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs10,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs11,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs12,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs13,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs14,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs15,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs16,prefire,,,,,,28.3,PICO,,,,,,,,
CPFMP,springsfire,2019,springs17,prefire,,,,,,35.6,PICO,,,,,,,,
CPFMP,springsfire,2019,springs18,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs19,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs20,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs21,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs22,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs23,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs24,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs25,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs26,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs27,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs28,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs29,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs30,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs37,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs38,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs39,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs40,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs31,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs32,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs33,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs34,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs35,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2019,springs36,prefire,,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs01,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs02,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs03,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs04,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs05,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs06,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs07,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs08,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs09,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs10,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs11,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs12,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs13,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs14,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs15,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs16,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs17,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs18,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs19,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs20,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs21,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs22,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs23,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs24,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs25,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs26,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs27,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs28,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs29,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs30,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs31,postfire,1yr,67.5,PICO,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs33,postfire,1yr,25.5,PIJE,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs34,postfire,1yr,25.5,PIJE,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs35,postfire,1yr,41.3,PIJE,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs37,postfire,1yr,15.5,PICO,25.5,PIJE,,,,,,,,,,
CPFMP,springsfire,2020,Springs38,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs39,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs40,postfire,1yr,"15, 15",PIJE,15,PICO,,,,,,,,,,
CPFMP,springsfire,2020,Springs41,postfire,1yr,21.3,PIJE,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs42,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs43,postfire,1yr,4.5,PIJE,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs44,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs45,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs46,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs47,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs48,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs49,postfire,1yr,,,,,22.2,PICO,,,,,,,,
CPFMP,springsfire,2020,Springs50,postfire,1yr,,,,,,,,,,,,,,
CPFMP,springsfire,2020,Springs51,postfire,1yr,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2019,fm10-1,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2019,fm10-10,prefire,,,,,,24,ABMA,,,,,,,,
CPFMP,frenchmeadows,2019,fm10-11,prefire,,,,,,30,PILA,45,ABMA,,,,,,
CPFMP,frenchmeadows,2019,fm10-12,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2019,fm10-13,prefire,,,,,,12,ABCO,,,,,,,,
CPFMP,frenchmeadows,2019,fm10-14,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2019,fm10-15,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2019,fm10-2,prefire,,,,,,32,PIJE,,,,,,,,
CPFMP,frenchmeadows,2019,fm10-3,prefire,,,,,,14.5,PILA,,,,,,,,
CPFMP,frenchmeadows,2019,fm10-4,prefire,,,,,,12,PILA,20,ABMA,,,,,,
CPFMP,frenchmeadows,2019,fm10-5,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2019,fm10-6,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2019,fm10-7,prefire,,,,,,12,ABMA,,,,,,,,
CPFMP,frenchmeadows,2019,fm10-8,prefire,,,,,,14.1,ABMA,,,,,,,,
CPFMP,frenchmeadows,2019,fm10-9,prefire,,,,,,13,PILA,42,ABMA,,,,,,
CPFMP,frenchmeadows,2019,fm19-1,prefire,,,,,,11.4,ABMA,40,PILA,,,,,,
CPFMP,frenchmeadows,2019,fm19-2,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2019,fm19-3,prefire,,,,,,26,ACGL,,,,,,,,
CPFMP,frenchmeadows,2019,fm19-4,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2019,fm19-5,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2019,fm19-6,prefire,,,,,,13,ABCO,,,,,,,,
CPFMP,frenchmeadows,2019,fm19-7,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2019,fm19-8,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2019,fm19-9,prefire,,,,,,21.3,ABCO,,,,,,,,
CPFMP,frenchmeadows,2019,fm19-10,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2019,fm19-11,prefire,,,,,,50,ABMA,,,,,,,,
CPFMP,frenchmeadows,2019,fm19-12,prefire,,,,,,55,ABMA,,,,,,,,
CPFMP,frenchmeadows,2019,fm19-13,prefire,,,,,,12.1,PIJE,100,CADE,,,,,,
CPFMP,frenchmeadows,2019,fm19-14,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2019,fm19-15,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2019,fm19-16,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2019,fm19-17,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2019,fm19-18,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2019,fm19-19,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2019,fm19-20,prefire,,28.7,ABCO,,,,,,,,,,,,
CPFMP,frenchmeadows,2019,fm19-21,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2020,FM55,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2020,FM40,prefire,,,,,,13,CADE,,,,,,,,
CPFMP,frenchmeadows,2020,FM39,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2020,FM46,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2020,FM47,prefire,, ,,,,>50,PILA,,,,,,,,
CPFMP,frenchmeadows,2020,FM57,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2020,FM69,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2020,FM68,prefire,,,,,,30,ABCO,30,ABMA,,,,,,
CPFMP,frenchmeadows,2020,FM62,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2020,FM44,prefire,,24,ABCO,,,,,,,,,,,,
CPFMP,frenchmeadows,2020,FM45,prefire,,,,,,>50,QUKE,,,,,,,,
CPFMP,frenchmeadows,2020,FM38,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2020,FM48,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2020,FM37,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2020,FM56,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2020,FM49,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2020,FM50,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2020,FM54,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2020,FM53,prefire,,,,,,>50,CADE,>50,QUKE,,,,,,
CPFMP,frenchmeadows,2020,FM52,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2020,FM51,prefire,,,,,,27,CADE,,,,,,,,
CPFMP,frenchmeadows,2020,FM43,prefire,,,,,,17.5,PILA,,,,,,,,
CPFMP,frenchmeadows,2020,FM42,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2020,FM41,prefire,,,,,,12.5,PILA,,,,,,,,
CPFMP,frenchmeadows,2020,FM64,prefire,,,,,,,,,,,,,,,
CPFMP,frenchmeadows,2020,FM63,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2020,Burton07,postfire,1yr,22,PIJE,,,,,,,,,,,,
CPFMP,BurtonSP,2020,Burton09,postfire,1yr,,,,,,,,,,,,,,
CPFMP,BurtonSP,2020,Burton08,postfire,1yr,,,,,,,,,,,,,,
CPFMP,BurtonSP,2020,Burton31,prefire,,,,,,12,PIJE,,,,,,,,
CPFMP,BurtonSP,2020,Burton27,prefire,,23.8,PIJE,,,,,,,,,,,,
CPFMP,BurtonSP,2020,Burton34,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2020,Burton37,prefire,,17,PIJE,,,12.2,ABCO,,,,,,,,
CPFMP,BurtonSP,2020,Burton45,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2020,Burton46,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2020,Burton40,postfire,1yr,,,,,35,PIJE,,,,,,,,
CPFMP,BurtonSP,2020,Burton14,postfire,1yr,,,,,,,,,,,,,,
CPFMP,BurtonSP,2020,Burton38,postfire,1yr,,,,,,,,,,,,,,
CPFMP,BurtonSP,2020,Burton39,postfire,1yr,,,,,,,35,,1,,,,,
CPFMP,BurtonSP,2020,Burton33,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2020,Burton32,prefire,,,,,,22,PIJE,,,,,,,,
CPFMP,BurtonSP,2020,Burton29,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2020,Burton28,prefire,,,,,,,,5,,1,,,,,
CPFMP,BurtonSP,2020,Burton30,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2020,Burton25,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2020,Burton35,prefire,,,,,,47,CADE,,,,,,,,
CPFMP,BurtonSP,2020,Burton36,prefire,,,,,,47,PIJE,,,,,,,,
CPFMP,BurtonSP,2020,Burton26,prefire,,11.5,PIJE,,,39,CADE,,,,,,,,
CPFMP,BurtonSP,2020,Burton43,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2020,Burton44,prefire,,30,PIJE,,,,,,,,,,,,
CPFMP,BurtonSP,2020,Burton47,prefire,,27,PIJE,,,,,,,,,,,,
CPFMP,BurtonSP,2020,Burton42,prefire,,,,,,,,,,,,,,,
CPFMP,BurtonSP,2020,Burton41,postfire,1yr,,,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc01,prefire,,,,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc03,prefire,,,,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc05,prefire,,,,,,38,cade,,,,,,,,
CPFMP,Modoc,2020,Modoc09,prefire,,,,,,20.5,cade,,,,,,,,
CPFMP,Modoc,2020,Modoc11,prefire,,24.5,pipo,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc13,prefire,,,,,,19,cade,,,,,,,,
CPFMP,Modoc,2020,Modoc15,prefire,,11.3,abco,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc17,prefire,,,,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc19,prefire,,,,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc21,prefire,,42,pinus,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc23,prefire,,,,,,44,cade,,,,,,,,
CPFMP,Modoc,2020,Modoc25,prefire,,,,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc27,prefire,,18,cade,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc02,prefire,,,,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc04,prefire,,,,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc06,prefire,,,,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc07,prefire,,,,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc08,prefire,,,,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc10,prefire,,,,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc12,prefire,,,,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc14,prefire,,,,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc16,prefire,,,,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc18,prefire,,,,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc20,prefire,,,,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc22,prefire,,,,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc24,prefire,,18,pipo,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc26,prefire,,,,,,,,,,,,,,,
CPFMP,Modoc,2020,Modoc28,prefire,,,,,,13,abco,,,,,,,,
CPFMP,slypark,2019,hcp1,prefire,,,,,,,,,,,,,,,
CPFMP,slypark,2019,hcp10,prefire,,,,,,,,,,,,,,,
CPFMP,slypark,2019,hcp11,prefire,,,,,,16,PIPO,18,ABCO,,,,,,
CPFMP,slypark,2019,hcp2,prefire,,,,,,15,PILA,11.2,PSME,15.4,QUKE,,,,
CPFMP,slypark,2019,hcp3,prefire,,21,QUKE,,,17,CADE,50,PILA,,,,,,
CPFMP,slypark,2019,hcp4,prefire,,,,,,,,,,,,,,,
CPFMP,slypark,2019,hcp5,prefire,,,,,,33,CADE,49,PSME,,,,,,
CPFMP,slypark,2019,hcp6,prefire,,,,,,,,,,,,,,,
CPFMP,slypark,2019,hcp7,prefire,,,,,,28,PSME,33,CADE,,,,,,
CPFMP,slypark,2019,hcp8,prefire,,,,,,41,CADE,,,,,,,,
CPFMP,slypark,2019,hcp9,prefire,,,,,,30,ABCO,,,,,,,,
CPFMP,slypark,2019,spi1,prefire,,,,,,,,,,,,,,,
CPFMP,slypark,2019,spi10,prefire,,,,,,35,CADE,,,,,,,,
CPFMP,slypark,2019,spi11,prefire,,,,,,,,,,,,,,,
CPFMP,slypark,2019,spi2,prefire,,,,,,30,ABCO,14,PSME,26,CADE,,,,
CPFMP,slypark,2019,spi3,prefire,,,,,,20,QUKE,24,PIPO,26,ABCO,,,,
CPFMP,slypark,2019,spi4,prefire,,,,,,48,QUKE,,,,,,,,
CPFMP,slypark,2019,spi5,prefire,,,,,,16,PIPO,,,,,,,,
CPFMP,slypark,2019,spi6,prefire,,,,,,,,,,,,,,,
CPFMP,slypark,2019,spi7,prefire,,,,,,13,PSME,36,CADE,,,,,,
CPFMP,slypark,2019,spi8,prefire,,,,,,,,,,,,,,,
CPFMP,slypark,2019,spi9,prefire,,,,,,,,,,,,,,,
