site,plotid,year,pre_post_fire,postTime,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,fuel1_cm,duff2_cm,litter2_cm,fuel2_cm,fuel3_cm,notes,project,observer,offset_dist_direction,burnpile_ht_m,ID,litter3_cm,duff3_cm
Antelope,Antelope17,2020,prefire,,180,,2,2,3,11.3,22,0,0,0,1.1,0,3.7,0,4,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope17,2020,prefire,,270,,2,2,3,11.3,2,0,2,4.2,3.4,0.3,7.3,0,15,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope17,2020,prefire,,90,,2,2,3,11.3,3,0,0,0,0,1.2,0.2,0,2.2,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope18,2020,prefire,,0,,2,2,4,11.3,5,3,0,0,1,1.5,13.5,7,22,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope18,2020,prefire,,180,,2,2,4,11.3,1,0,0,0,3.5,0.5,56.8,0,38.7,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope18,2020,prefire,,270,,2,2,4,11.3,0,1,3,1,8.5,3,12.7,0.25,10,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope18,2020,prefire,,90,,2,2,4,11.3,0,0,0,0,5.5,1.5,12.5,0,38.2,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope19,2020,prefire,,0,,2,2,3,11.3,6,4,0,0,2,2.7,1.8,0,3,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope19,2020,prefire,,180,,2,2,3,11.3,2,5,0,0,0.8,0.5,1.1,3.2,1.2,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope19,2020,prefire,,270,,2,2,3,11.3,0,1,0,0,0,2.4,0.8,3.2,4.5,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope19,2020,prefire,,90,,2,2,3,11.3,11,1,0,0.2,1.1,3.7,1,0.3,1.8,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM01,2019,postfire,immediate,0,,2,2,4,11.3,0,2,0,2,3,,0,4,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM01,2019,postfire,immediate,180,,2,2,4,11.3,3,3,1,0,0.05,,0.05,1.5,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM01,2019,postfire,immediate,270,,2,2,4,11.3,2,1,0,0,1,,0,2,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM01,2019,postfire,immediate,90,,2,2,4,11.3,5,4,0,0,2,,0,1,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM01,2019,prefire,,0,,2,2,4,11.3,0,3,0,0.5,3,,0.05,2,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM01,2019,prefire,,180,,2,2,4,11.3,0,0,2,0.05,0,,0.05,2,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM01,2019,prefire,,270,,2,2,4,11.3,3,0,0,0.05,2,,0.05,2,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM01,2019,prefire,,90,,2,2,4,11.3,3,3,0,0.05,2,,0.5,2,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM01,2021,postfire,2yr,E,,2,2,3,11.3,0,1,0,0,0.5,0.6,0,0.5,0.3,,,CPFMP,mv,,,NA,NA,NA
BearMountain,BM01,2021,postfire,2yr,N,,2,2,3,11.3,0,4,1,0,4.7,3.6,0,2,2.3,,,CPFMP,mv,,,NA,NA,NA
