site,plot_id,burn,preSurvey,postSurvey_immediate,postSurvey_1year,postSurvey_2year,X,Y,burn_unit
frenchmeadows,fm19-7,no,7.12.19,,,,723254,4340475,
frenchmeadows,fm19-8,no,7.17.19,,,,724078,4339760,
frenchmeadows,fm19-9,no,7.25.19,,,,723857,4340162,
frenchmeadows,fm19-10,no,7.25.19,,,,723330,4340078,
frenchmeadows,fm19-11,no,7.25.19,,,,723276,4339746,
frenchmeadows,fm19-12,no,7.26.19,,,,723605,4339861,
frenchmeadows,fm19-13,no,7.26.19,,,,723557,4339544,
frenchmeadows,fm19-14,no,10.15.19,,,,723942,4339489,
frenchmeadows,fm19-15,no,10.15.19,,,,723580,4339208,
frenchmeadows,fm19-16,no,10.15.19,,,,723139,4339219,
frenchmeadows,fm19-17,no,10.16.19,,,,724312,4339094,
frenchmeadows,fm19-18,no,10.16.19,,,,723882,4338972,
frenchmeadows,fm19-19,no,10.16.19,,,,723945,4338685,
frenchmeadows,fm19-20,no,10.17.19,,,,724057,4340010,
frenchmeadows,fm19-21,no,10.17.19,,,,723184,4338929,
frenchmeadows,FM55,no,10.21.2020,,,,723787,4340609,
frenchmeadows,FM40,no,10.21.2020,,,,723618,4340577,
frenchmeadows,FM39,no,10.21.2020,,,,723480,4340401,
frenchmeadows,FM46,no,10.23.2020,,,,723670,4340165,
frenchmeadows,FM47,no,10.24.2020,,,,723805,4340029,
frenchmeadows,FM57,no,10.24.2020,,,,723925,4339646,
frenchmeadows,FM69,no,10.25.2020,,,,722807,4338744,
frenchmeadows,FM68,no,10.25.2020,,,,722882,4338905,
frenchmeadows,FM62,no,10.25.2020,,,,723046,433953,
frenchmeadows,FM44,no,10.20.2020,,,,724239,4340113,
frenchmeadows,FM45,no,10.20.2020,,,,724147,4340172,
frenchmeadows,FM38,no,10.21.2020,,,,723172,4340558,
frenchmeadows,FM48,no,10.21.2020,,,,723258,4340218,
frenchmeadows,FM37,no,10.21.2020,,,,723331,4340711,
frenchmeadows,FM56,no,10.21.2020,,,,723561,4340954,
frenchmeadows,FM49,no,10.21.2020,,,,723472,4339957,
frenchmeadows,FM50,no,10.21.2020,,,,723482,4339803,
frenchmeadows,FM54,no,10.21.2020,,,,723485,4339653,
frenchmeadows,FM53,no,10.21.2020,,,,723313,4339583,
frenchmeadows,FM52,no,10.21.2020,,,,723101,4339613,
frenchmeadows,FM51,no,10.22.2020,,,,723236,4339935,
frenchmeadows,FM43,no,10.22.2020,,,,724056,4340478,
frenchmeadows,FM42,no,10.22.2020,,,,723933,4340411,
frenchmeadows,FM41,no,10.22.2020,,,,723967,4340616,
frenchmeadows,FM64,no,10.22.2020,,,,723040,4339058,
frenchmeadows,FM63,no,10.22.2020,,,,722947,4339156,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
