site,plot_id,year,pre_post_fire,azimuth,intersect_cm,large_cm,small_cm,length_m,decay,FieldNotes
springsfire,SPRING5,2019,prefire,W,20,11,9,3.3,5,
springsfire,SPRING5,2019,prefire,N,29,5,10.75,3,3,
springsfire,SPRING9,2019,prefire,E,80,100,90,2.89,4,
springsfire,SPRING9,2019,prefire,E,12,18,8,1.6,3,
springsfire,springs 2,2019,prefire,W,9.7,10.9,9.7,0.91,3,
springsfire,springs 2,2019,prefire,W,15,15,12,0.46,4,
springsfire,springs 2,2019,prefire,W,14,14,14,0.55,4,
springsfire,springs 2,2019,prefire,W,14,34,14,0.49,4,
springsfire,springs 2,2019,prefire,W,29,29,29,0.25,4,
springsfire,springs18 ,2019,prefire,E,22,22,15,1.7,3,
springsfire,springs29,2019,prefire,S,10,10,3,0.47,3,
springsfire,springs29,2019,prefire,S,11,12,4,0.27,2,
springsfire,springs30,2019,prefire,S,8,10.5,8,1.85,2,
springsfire,springs38,2019,prefire,S,7,7,4,1.4,2,
springsfire,springs32,2019,prefire,E,11,17,3,5.8,3,
springsfire,springs32,2019,prefire,W,27,33,25,1.1,4,
Antelope,Antelope01,2020,prefire,na,na,na,na,na,na,
Antelope,Antelope02,2020,prefire,N,59,90,9.5,19.8,5,
Antelope,Antelope04,2020,prefire,na,na,na,na,na,na,
Antelope,Antelope06,2020,prefire,N,25,29.5,2.5,6.2,2,
Antelope,Antelope08,2020,prefire,na,na,na,na,na,na,
Antelope,Antelope10,2020,prefire,N,49,50,1,1.2,4,
Antelope,Antelope10,2020,prefire,S,35,33,28,53,4,
Antelope,Antelope12,2020,prefire,W,19,24.5,16.5,28,2,
Antelope,Antelope14,2020,prefire,E,40.5,105,11,18,5,
Antelope,Antelope14,2020,prefire,W,21.5,35.5,17.5,5.6,2,
Antelope,Antelope16,2020,prefire,E,32.5,37,2,6.5,1,
Antelope,Antelope18,2020,prefire,N,24.5,26.5,23,2,3,
Antelope,Antelope18,2020,prefire,N,22.5,14,13.5,2,3,
Antelope,Antelope18,2020,prefire,W,26,90,16,17.1,4,
Antelope,Antelope18,2020,prefire,E,30,20.5,16.5,1.9,3,
Antelope,Antelope18,2020,prefire,E,26,35,10.5,15.2,4,
DryCreek,DryCreek29,2020,prefire,N,95,135,11,35.7,5,
DryCreek,DryCreek29,2020,prefire,E,12,14.5,7,1.2,4,
DryCreek,DryCreek29,2020,prefire,E,17,9,8,39.1,4,
DryCreek,DryCreek29,2020,prefire,E,10,9,7,39.1,4,
DryCreek,DryCreek29,2020,prefire,E,8,9,1,39.1,4,
DryCreek,DryCreek29,2020,prefire,E,12,9,2.5,39.1,4,
DryCreek,DryCreek29,2020,prefire,E,17,2,1,1.9,3,
DryCreek,DryCreek29,2020,prefire,E,19,9,2,40,4,
DryCreek,DryCreek29,2020,prefire,E,13,9,2,39.1,4,
DryCreek,DryCreek29,2020,prefire,E,14,9,2,39.1,4,
DryCreek,DryCreek29,2020,prefire,E,8,9,2,39.1,4,
DryCreek,DryCreek29,2020,prefire,W,30,11.5,10,4,3,
DryCreek,DryCreek29,2020,prefire,W,72,23,9,1.5,3,
DryCreek,DryCreek26,2020,prefire,S,11.5,13.5,4,2.3,2,
DryCreek,DryCreek26,2020,prefire,S,12,22,10,4.7,2,
DryCreek,DryCreek26,2020,prefire,S,9,13,10,1.4,2,
DryCreek,DryCreek23,2020,prefire,N,14.5,31,12.5,10.2,2,
DryCreek,DryCreek23,2020,prefire,W,19,31,12.5,10.2,2,
DryCreek,DryCreek22,2020,prefire,E,90,125,53,25.7,4,
DryCreek,DryCreek22,2020,prefire,N,8,8,11,1.7,2,
DryCreek,DryCreek22,2020,prefire,N,18,32,5.5,15,2,
DryCreek,DryCreek22,2020,prefire,W,11.5,12,8,1.6,3,
DryCreek,DryCreek25,2020,prefire,na,na,na,na,na,na,
DryCreek,DryCreek21,2020,prefire,na,na,na,na,na,na,
DryCreek,DryCreek38,2020,postfire,N,13,15,6,0.4,2,
DryCreek,DryCreek38,2020,postfire,N,16,16.5,14,1.9,2,
DryCreek,DryCreek38,2020,postfire,N,18.5,23,16,2.5,3,
DryCreek,DryCreek38,2020,postfire,W,12,13.5,10,2.8,2,
DryCreek,DryCreek43,2020,postfire,na,na,na,na,na,na,
DryCreek,DryCreek39,2020,postfire,na,na,na,na,na,na,
DryCreek,DryCreek41,2020,postfire,na,na,na,na,na,na,
DryCreek,DryCreek40,2020,postfire,na,na,na,na,na,na,
DryCreek,DryCreek50,2020,prefire,na,na,na,na,na,na,
DryCreek,DryCreek37,2020,postfire,S,12,12,11.5,0.4,2,
DryCreek,DryCreek37,2020,postfire,S,11.5,11.5,9,0.3,2,
DryCreek,DryCreek37,2020,postfire,S,12,110,5,34.7,5,
DryCreek,DryCreek37,2020,postfire,W,16.5,16,11,2.8,2,
DryCreek,DryCreek46,2020,prefire,N,40,36,4.8,19.3,5,
DryCreek,DryCreek46,2020,prefire,N,35,36,8,7,5,
Antelope,Antelope03,2020,prefire,N,20.7,30,12.3,1.2,3,
Antelope,Antelope05,2020,prefire,N,17.3,32,11.8,7.3,3,
Antelope,Antelope07,2020,prefire,na,na,na,na,na,na,
Antelope,Antelope09,2020,prefire,na,na,na,na,na,na,
Antelope,Antelope11,2020,prefire,na,na,na,na,na,na,
Antelope,Antelope13,2020,prefire,S,18.5,27.7,15,4.2,3,
Antelope,Antelope15,2020,prefire,na,na,na,na,na,na,
