jurisdiction,site,plot_id,year,pre_post_fire,postTime,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,duff2_cm,litter2_cm,fuel1_cm,fuel2_cm,fuel3_cm,notes,,
StanislausNF,BearMountain,BM12,2019,prefire,,180,,2,2,4,11.3,10,6,7,0,3,0,7,,,,,,
StanislausNF,BearMountain,BM12,2019,prefire,,90,,2,2,4,11.3,28,4,2,4,2,2,1.5,,,,,,
StanislausNF,BearMountain,BM12,2019,prefire,,270,,2,2,4,11.3,12,3,1,0.05,0.5,0.5,1,,,,,,
StanislausNF,BearMountain,BM12,2019,postfire,,0,,2,2,4,11.3,2,1,1,0,2,0,0,,,,,,
StanislausNF,BearMountain,BM12,2019,postfire,,180,,2,2,4,11.3,0,4,0,0,0.05,0.05,0.05,,,,,,
StanislausNF,BearMountain,BM12,2019,postfire,,90,,2,2,4,11.3,2,4,0,0,1,0,1,,,,,,
StanislausNF,BearMountain,BM12,2019,postfire,,270,,2,2,4,11.3,4,3,0,0,2,0,2,,,,,,
StanislausNF,BearMountain,BM13,2019,prefire,,0,,2,2,4,11.3,2,1,0,0,1,0,2,,,,,,
StanislausNF,BearMountain,BM13,2019,prefire,,180,,2,2,4,11.3,1,2,0,0,2,0,6,,,,,,
StanislausNF,BearMountain,BM13,2019,prefire,,90,,2,2,4,11.3,2,0,0,0.05,3,0.05,1,,,,,,
StanislausNF,BearMountain,BM13,2019,prefire,,270,,2,2,4,11.3,0,0,0,1,4,2,4,,,,,,
StanislausNF,BearMountain,BM13,2019,postfire,,0,,2,2,4,11.3,2,0,0,0,0,0.05,2,,,,,,
StanislausNF,BearMountain,BM13,2019,postfire,,180,,2,2,4,11.3,3,3,0,0,0.05,0,0.05,,,,,,
StanislausNF,BearMountain,BM13,2019,postfire,,90,,2,2,4,11.3,2,0,0,0,0.05,0,1,,,,,,
StanislausNF,BearMountain,BM13,2019,postfire,,270,,2,2,4,11.3,1,4,0,0,2,0,0.05,,,,,,
StanislausNF,BearMountain,BM14,2019,prefire,,0,,2,2,4,11.3,2,1,0,1,1,0.05,1,,,,,,
StanislausNF,BearMountain,BM14,2019,prefire,,180,20,2,2,4,11.3,1,0,0,0,0.05,0.05,1,,,,,,
StanislausNF,BearMountain,BM14,2019,prefire,,90,,2,2,4,11.3,2,1,1,0.05,0.05,0.5,0.05,,,,,,
StanislausNF,BearMountain,BM14,2019,prefire,,270,,2,2,4,11.3,3,0,0,0.05,0.05,0.5,0.5,,,,,,
