"","site_plotid_time_azimuth","sum_d2_1000r_cm2","sum_d2_1000s_cm2"
"313","Calaveras_BigTrees02_2020_prefire_NA_90",324,0
"314","calaveras_BigTrees02_2022_postfire_immediate_180",0,169
"315","calaveras_BigTrees02_2022_postfire_immediate_90",0,841
"316","Calaveras_BigTrees03_2020_prefire_NA_0",0,865
"317","Calaveras_BigTrees03_2020_prefire_NA_180",0,676
"318","Calaveras_BigTrees03_2020_prefire_NA_270",0,556.96
"319","Calaveras_BigTrees04_2020_prefire_NA_0",1849,2864.25
"320","Calaveras_BigTrees04_2020_prefire_NA_180",4244,3857.75
"321","Calaveras_BigTrees04_2020_prefire_NA_270",324,0
"322","Calaveras_BigTrees04_2020_prefire_NA_90",342.25,506.25
"323","calaveras_BigTrees04_2022_postfire_immediate_0",0,5198
"324","calaveras_BigTrees04_2022_postfire_immediate_180",1936,2871
"325","calaveras_BigTrees04_2022_postfire_immediate_270",0,259.21
"326","calaveras_BigTrees04_2022_postfire_immediate_90",0,484
"327","Calaveras_BigTrees05_2020_prefire_NA_180",0,338.2196
"328","Calaveras_BigTrees05_2020_prefire_NA_270",0,571.25
"329","Calaveras_BigTrees05_2020_prefire_NA_90",272.25,7968.5
"330","calaveras_BigTrees05_2022_postfire_immediate_180",0,7808
"331","calaveras_BigTrees05_2022_postfire_immediate_270",0,225
"332","calaveras_BigTrees05_2022_postfire_immediate_90",100,156.25
"333","Calaveras_BigTrees06_2020_prefire_NA_0",0,245
"334","Calaveras_BigTrees06_2020_prefire_NA_180",0,72.25
"335","Calaveras_BigTrees06_2020_prefire_NA_270",400,170.09
"336","Calaveras_BigTrees06_2020_prefire_NA_90",2704,1753
"337","calaveras_BigTrees06_2022_postfire_immediate_0",0,3223.29
"338","calaveras_BigTrees06_2022_postfire_immediate_180",0,112.36
"339","calaveras_BigTrees06_2022_postfire_immediate_90",0,1705.69
"340","Calaveras_BigTrees07_2020_prefire_NA_0",0,401.44
"341","Calaveras_BigTrees07_2020_prefire_NA_180",0,5625
"342","Calaveras_BigTrees07_2020_prefire_NA_270",6418,5625
"343","Calaveras_BigTrees07_2020_prefire_NA_90",0,77.44
"344","calaveras_BigTrees07_2022_postfire_immediate_0",0,458
"345","calaveras_BigTrees07_2022_postfire_immediate_180",0,2809
"346","calaveras_BigTrees07_2022_postfire_immediate_270",0,4788.64
"347","Calaveras_BigTrees08_2020_prefire_NA_0",676,0
"348","Calaveras_BigTrees08_2020_prefire_NA_270",0,529
"349","Calaveras_BigTrees08_2020_prefire_NA_90",547.56,0
"350","calaveras_BigTrees08_2022_postfire_immediate_0",0,156.25
"351","calaveras_BigTrees08_2022_postfire_immediate_270",0,441
"352","calaveras_BigTrees08_2022_postfire_immediate_90",0,1012.5
"353","Calaveras_BigTrees09_2020_prefire_NA_0",0,1681
"354","Calaveras_BigTrees09_2020_prefire_NA_180",1600,1160
"355","calaveras_BigTrees09_2022_postfire_immediate_0",0,1466.89
"356","calaveras_BigTrees09_2022_postfire_immediate_180",0,1722.64
"357","calaveras_BigTrees09_2022_postfire_immediate_270",0,650.25
"358","Calaveras_BigTrees10_2020_prefire_NA_0",169,420.25
"359","Calaveras_BigTrees10_2020_prefire_NA_180",0,529
"360","Calaveras_BigTrees10_2020_prefire_NA_90",0,324
"361","calaveras_BigTrees10_2022_postfire_immediate_0",0,625
"362","calaveras_BigTrees10_2022_postfire_immediate_270",0,169
"363","Calaveras_BigTrees11_2020_prefire_NA_0",67.24,0
"364","Calaveras_BigTrees11_2020_prefire_NA_180",0,59.29
"365","Calaveras_BigTrees11_2020_prefire_NA_270",225,549
"366","calaveras_BigTrees11_2022_postfire_immediate_180",144,0
"367","calaveras_BigTrees11_2022_postfire_immediate_270",0,742.25
"368","Calaveras_BigTrees12_2020_prefire_NA_0",169,820
"369","Calaveras_BigTrees12_2020_prefire_NA_180",0,424
"370","Calaveras_BigTrees12_2020_prefire_NA_270",1156,0
"371","Calaveras_BigTrees12_2020_prefire_NA_90",0,153.76
"372","calaveras_BigTrees12_2022_postfire_immediate_0",0,169
"373","calaveras_BigTrees12_2022_postfire_immediate_180",225,200
"374","calaveras_BigTrees12_2022_postfire_immediate_90",484,265
"375","Calaveras_BigTrees13_2020_prefire_NA_0",2128,0
"376","Calaveras_BigTrees13_2020_prefire_NA_180",445,1185.25
"377","Calaveras_BigTrees13_2020_prefire_NA_270",529,121
"378","Calaveras_BigTrees13_2020_prefire_NA_90",2470,598.49
"379","calaveras_BigTrees13_2022_postfire_immediate_180",503.69,0
"380","calaveras_BigTrees13_2022_postfire_immediate_90",583.01,0
"381","Calaveras_BigTrees14_2020_prefire_NA_0",132.25,578
"382","Calaveras_BigTrees14_2020_prefire_NA_180",0,169
"383","Calaveras_BigTrees14_2020_prefire_NA_270",0,1302.75
"384","Calaveras_BigTrees14_2020_prefire_NA_90",0,1024
"385","Calaveras_BigTrees15_2020_prefire_NA_0",153.76,0
"386","Calaveras_BigTrees15_2020_prefire_NA_270",64,0
"387","Calaveras_BigTrees15_2020_prefire_NA_90",0,625
"388","Calaveras_BigTrees17_2020_prefire_NA_180",0,81
"389","Calaveras_BigTrees17_2020_prefire_NA_270",3600,648.18
"390","Calaveras_BigTrees17_2020_prefire_NA_90",0,162
"391","Calaveras_BigTrees18_2020_prefire_NA_180",0,4761
"392","Calaveras_BigTrees18_2020_prefire_NA_270",0,248.04
"393","Calaveras_BigTrees18_2020_prefire_NA_90",0,3125
"394","Calaveras_BigTrees19_2020_prefire_NA_0",0,59.29
"395","Calaveras_BigTrees19_2020_prefire_NA_180",846,6625
"396","Calaveras_BigTrees19_2020_prefire_NA_270",0,125.44
"397","Calaveras_BigTrees19_2020_prefire_NA_90",225,0
"398","Calaveras_BigTrees20_2020_prefire_NA_0",800,0
"399","Calaveras_BigTrees20_2020_prefire_NA_180",0,2685.16
"400","Calaveras_BigTrees20_2020_prefire_NA_270",0,86.49
"401","Calaveras_BigTrees20_2020_prefire_NA_90",400,5010.41
"402","Calaveras_BigTrees21_2020_prefire_NA_0",900,0
"403","Calaveras_BigTrees21_2020_prefire_NA_180",0,156.25
"404","Calaveras_BigTrees21_2020_prefire_NA_270",4356,1583.69
"405","Calaveras_BigTrees21_2020_prefire_NA_90",0,703.81
"406","Calaveras_BigTrees22_2020_prefire_NA_0",12100,616.25
"407","Calaveras_BigTrees22_2020_prefire_NA_180",0,389
"408","Calaveras_BigTrees22_2020_prefire_NA_270",10000,1036.5
"409","Calaveras_BigTrees23_2020_prefire_NA_90",0,1326.16
"410","Calaveras_BigTrees24_2020_prefire_NA_0",0,121
"411","Calaveras_BigTrees24_2020_prefire_NA_180",1849,1781
"412","Calaveras_BigTrees24_2020_prefire_NA_270",2501,196
"413","Calaveras_BigTrees24_2020_prefire_NA_90",0,9433
