project,site,plotid,observer,year,pre_post_fire,postTime,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,fuel1_cm,duff2_cm,litter2_cm,fuel2_cm,fuel3_cm,offset_dist_direction,notes,burnpile_ht_m
CPFMP,BearMountain,BM16,"RH, MS",2019,postfire,immediate,270,,2,2,4,11.3,19,3,1,1.5,2,,0.05,1,,,,,
CPFMP,BearMountain,BM17,mm,2021,postfire,2yr,N,0,2,2,3,11.3,1,4,0,0,0.4,1.1,0,0.3,1,,,,
CPFMP,BearMountain,BM17,mm,2021,postfire,2yr,S,0,2,2,3,11.3,1,0,0,0,0.6,0.8,0,0.2,0.5,,,,
CPFMP,BearMountain,BM17,mm,2021,postfire,2yr,E,0,2,2,3,11.3,1,0,0,0,1,0.7,0,0,0.3,,,,
CPFMP,BearMountain,BM17,mm,2021,postfire,2yr,W,0,2,2,3,11.3,2,1,0,0,2.4,1.8,0,1.8,1.2,,,,
CPFMP,BearMountain,BM17,"RH, MS",2019,postfire,immediate,0,,2,2,4,11.3,0,1,6,0,0,,0,0,,,,,
CPFMP,BearMountain,BM17,"RH, MS",2019,postfire,immediate,180,,2,2,4,11.3,0,1,0,0,0.05,,0,0,,,,,
CPFMP,BearMountain,BM17,"RH, MS",2019,postfire,immediate,90,32,2,2,4,11.3,1,0,0,0,2.5,,0,0,,,,,
CPFMP,BearMountain,BM17,"RH, MS",2019,postfire,immediate,270,32,2,2,4,11.3,0,1,0,0,3,,1,1,,,,,
CPFMP,BearMountain,BM18,mm,2021,postfire,2yr,N,0,2,2,3,11.3,5,5,0,0,1.5,2.3,0,1.8,2,,,,
CPFMP,BearMountain,BM18,mm,2021,postfire,2yr,S,0,2,2,3,11.3,15,2,1,0,0,0.8,0,6,5,,,,
CPFMP,BearMountain,BM18,mm,2021,postfire,2yr,E,0,2,2,3,11.3,0,4,4,0.7,0.8,1.2,0,1.2,2,,,,
CPFMP,BearMountain,BM18,mm,2021,postfire,2yr,W,0,2,2,3,11.3,5,3,0,2.8,3.3,3,0,3.5,2.5,,,,
CPFMP,BearMountain,BM18,"RH, MS",2019,postfire,immediate,0,,2,2,4,11.3,7,2,0,0.05,1.5,,1,1,,,,,
CPFMP,BearMountain,BM18,"RH, MS",2019,postfire,immediate,180,,2,2,4,11.3,2,2,0,0,0,,0.5,3,,,,,
CPFMP,BearMountain,BM18,"RH, MS",2019,postfire,immediate,90,,2,2,4,11.3,8,3,6,0,0,,3,1,,,,,
CPFMP,BearMountain,BM18,"RH, MS",2019,postfire,immediate,270,,2,2,4,11.3,6,0,0,0,3,,3,0.5,,,,,
CPFMP,BearMountain,BM19,mm,2021,postfire,2yr,N,0,2,2,3,11.3,1,0,0,0,3,1.3,0,1.5,1.2,,,,
CPFMP,BearMountain,BM19,mm,2021,postfire,2yr,S,0,2,2,3,11.3,0,2,0,1.5,2.2,2,0,2,2,,,,
CPFMP,BearMountain,BM19,mm,2021,postfire,2yr,E,0,2,2,3,11.3,0,0,0,0,1.8,2.2,0,1.2,2.1,,,,
CPFMP,BearMountain,BM19,mm,2021,postfire,2yr,W,0,2,2,3,11.3,1,1,0,0,0.2,0.6,0,0.2,0.4,,,,
CPFMP,BearMountain,BM19,"RH, MS",2019,postfire,immediate,0,,2,2,4,11.3,0,0,0,0,0,,0,0,,,,,
CPFMP,BearMountain,BM19,"RH, MS",2019,postfire,immediate,180,,2,2,4,11.3,0,3,0,0,2,,0,3,,,,,
CPFMP,BearMountain,BM19,"RH, MS",2019,postfire,immediate,90,,2,2,4,11.3,3,0,0,0,2,,0,0.5,,,,,
CPFMP,BearMountain,BM19,"RH, MS",2019,postfire,immediate,270,,2,2,4,11.3,0,0,0,0,0,,0,0,,,,,
CPFMP,BearMountain,BM2,mm,2021,postfire,2yr,N,0,2,2,3,11.3,0,1,1,0.5,2,2,0,3,2.8,,,,
CPFMP,BearMountain,BM2,mm,2021,postfire,2yr,S,0,2,2,3,11.3,1,0,0,0,0,0,0,4.8,3.2,,,2-offset1fttoRduetostump,
CPFMP,BearMountain,BM2,mm,2021,postfire,2yr,E,0,2,2,3,11.3,0,0,0,0,2,1.2,1.5,3.3,3,,,,
CPFMP,BearMountain,BM2,mm,2021,postfire,2yr,W,0,2,2,3,11.3,2,1,0,0,1.5,1.8,0,0.3,1.5,,,,
CPFMP,BearMountain,BM2,"RH, MS",2019,postfire,immediate,0,,2,2,4,11.3,0,2,2,1,3,,0.05,1.5,,,,,
CPFMP,BearMountain,BM2,"RH, MS",2019,postfire,immediate,180,,2,2,4,11.3,2,0,0,0.05,3,,0,0,,,,,
CPFMP,BearMountain,BM2,"RH, MS",2019,postfire,immediate,90,21,2,2,4,11.3,0,0,0,0,1.5,,0.5,0,,,,,
CPFMP,BearMountain,BM2,"RH, MS",2019,postfire,immediate,270,21,2,2,4,11.3,0,0,0,0,1,,0,0,,,,,
CPFMP,BearMountain,BM20,mm,2021,postfire,2yr,N,0,2,2,3,11.3,1,2,0,0,3.2,3,0,3,2.8,,,,
CPFMP,BearMountain,BM20,mm,2021,postfire,2yr,S,0,2,2,3,11.3,3,1,1,0,3.6,2.4,0,2.3,2.5,,,,
CPFMP,BearMountain,BM20,mm,2021,postfire,2yr,E,0,2,2,3,11.3,4,6,0,4.8,2,2.4,0,1.2,1.5,,,,
CPFMP,BearMountain,BM20,mm,2021,postfire,2yr,W,0,2,2,3,11.3,2,6,0,0,3.2,3,0,1.2,1.5,,,,
