site,plotid,year,pre_post_fire,postTime,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,duff2_cm,litter2_cm,fuel1_cm,fuel2_cm,fuel3_cm,notes,project,burnpile_ht_m,litter3_cm,duff3_cm,duff_depth_cm,litter_depth_cm,fuel_depth_cm,site_plotid_time_azimuth
Antelope,Antelope13,2020,prefire,,270,0,2,2,4,11.3,1,0,0,0,0,0.3,0,4.8,5,,,CPFMP,,,,0.15,0,4.9,Antelope_Antelope13_2020_prefire_NA_270
Antelope,Antelope13,2020,prefire,,90,0,2,2,4,11.3,2,3,3,0,5,5.5,5.5,3,7,,,CPFMP,,,,2.75,5.25,5,Antelope_Antelope13_2020_prefire_NA_90
Antelope,Antelope14,2020,prefire,,0,0,2,2,4,11.3,0,1,0,1.5,3.5,22.5,0,6.5,63.2,,,CPFMP,,,,12,1.75,34.85,Antelope_Antelope14_2020_prefire_NA_0
Antelope,Antelope14,2020,prefire,,180,0,2,2,4,11.3,4,2,2,0,2,4.2,0,0,4.8,,,CPFMP,,,,2.1,1,2.4,Antelope_Antelope14_2020_prefire_NA_180
Antelope,Antelope14,2020,prefire,,270,0,2,2,4,11.3,7,3,0,0,1.5,4.3,1,2.5,22.5,,,CPFMP,,,,2.15,1.25,12.5,Antelope_Antelope14_2020_prefire_NA_270
Antelope,Antelope14,2020,prefire,,90,0,2,2,4,11.3,2,1,2,1,4.5,36.8,1,20,33,,,CPFMP,,,,18.9,2.75,26.5,Antelope_Antelope14_2020_prefire_NA_90
Antelope,Antelope15,2020,prefire,,0,0,2,2,4,11.3,1,1,0,0,2.7,1.2,0.3,2,1.5,,,CPFMP,,,,0.6,1.5,1.75,Antelope_Antelope15_2020_prefire_NA_0
Antelope,Antelope15,2020,prefire,,180,0,2,2,4,11.3,0,1,0,0.3,2.7,3,0,2.6,2.8,,,CPFMP,,,,1.65,1.35,2.7,Antelope_Antelope15_2020_prefire_NA_180
Antelope,Antelope15,2020,prefire,,270,0,2,2,4,11.3,0,1,1,0,0,0.3,0,2,3.4,,,CPFMP,,,,0.15,0,2.7,Antelope_Antelope15_2020_prefire_NA_270
Antelope,Antelope15,2020,prefire,,90,0,2,2,4,11.3,1,1,0,3.7,4.8,5.2,4.5,7.3,8,,,CPFMP,,,,4.45,4.65,7.65,Antelope_Antelope15_2020_prefire_NA_90
