plot_id,location,mass,fuel_size
fm10-9,FrenchMeadows,1.383492073,mass_100hr
fm10-9,FrenchMeadows,19.31537687,mass_cwd_sound
fm10-9,FrenchMeadows,20.52107891,mass_cwd_rotten
fm19-1,FrenchMeadows,0.29428681,mass_1hr
fm19-1,FrenchMeadows,2.711885071,mass_10hr
fm19-1,FrenchMeadows,2.490285732,mass_100hr
fm19-1,FrenchMeadows,7.46660037,mass_cwd_sound
fm19-1,FrenchMeadows,10.50556557,mass_cwd_rotten
fm19-10,FrenchMeadows,0.532145275,mass_1hr
fm19-10,FrenchMeadows,1.758520953,mass_10hr
fm19-10,FrenchMeadows,1.749393681,mass_100hr
fm19-10,FrenchMeadows,22.97686095,mass_cwd_sound
fm19-10,FrenchMeadows,13.41641967,mass_cwd_rotten
fm19-11,FrenchMeadows,0.473211666,mass_1hr
fm19-11,FrenchMeadows,1.825974303,mass_10hr
fm19-11,FrenchMeadows,3.778313611,mass_100hr
fm19-11,FrenchMeadows,3.716927098,mass_cwd_sound
fm19-12,FrenchMeadows,0.655906799,mass_1hr
fm19-12,FrenchMeadows,4.893717018,mass_10hr
fm19-12,FrenchMeadows,3.668876657,mass_100hr
fm19-12,FrenchMeadows,1.23130684,mass_cwd_sound
fm19-12,FrenchMeadows,2.828157898,mass_cwd_rotten
fm19-13,FrenchMeadows,0.357943077,mass_1hr
fm19-13,FrenchMeadows,2.783096314,mass_10hr
fm19-13,FrenchMeadows,3.691534903,mass_100hr
fm19-13,FrenchMeadows,1.827393937,mass_cwd_sound
fm19-13,FrenchMeadows,25.59667855,mass_cwd_rotten
fm19-14,FrenchMeadows,0.129042098,mass_1hr
fm19-14,FrenchMeadows,1.199590969,mass_10hr
fm19-14,FrenchMeadows,0.280791698,mass_100hr
fm19-14,FrenchMeadows,0.885112854,mass_cwd_sound
fm19-15,FrenchMeadows,0.341639715,mass_1hr
fm19-15,FrenchMeadows,3.980058412,mass_10hr
fm19-15,FrenchMeadows,5.373472338,mass_100hr
fm19-15,FrenchMeadows,13.78401803,mass_cwd_sound
fm19-15,FrenchMeadows,14.26140401,mass_cwd_rotten
fm19-16,FrenchMeadows,1.065381447,mass_1hr
fm19-16,FrenchMeadows,6.189946841,mass_10hr
fm19-16,FrenchMeadows,5.216034993,mass_100hr
fm19-16,FrenchMeadows,3.486262183,mass_cwd_sound
fm19-16,FrenchMeadows,2.429795153,mass_cwd_rotten
fm19-17,FrenchMeadows,0.101728774,mass_1hr
fm19-17,FrenchMeadows,0.278142059,mass_10hr
fm19-17,FrenchMeadows,0,mass_100hr
fm19-17,FrenchMeadows,0.144865327,mass_cwd_rotten
fm19-18,FrenchMeadows,0.161880937,mass_1hr
fm19-18,FrenchMeadows,1.971614305,mass_10hr
fm19-18,FrenchMeadows,3.642564737,mass_100hr
fm19-18,FrenchMeadows,6.779395304,mass_cwd_sound
fm19-18,FrenchMeadows,3.425034859,mass_cwd_rotten
fm19-19,FrenchMeadows,0.373058589,mass_1hr
fm19-19,FrenchMeadows,3.03980007,mass_10hr
fm19-19,FrenchMeadows,4.219566363,mass_100hr
fm19-19,FrenchMeadows,5.973915228,mass_cwd_sound
fm19-19,FrenchMeadows,19.19661049,mass_cwd_rotten
fm19-2,FrenchMeadows,0.39818359,mass_1hr
fm19-2,FrenchMeadows,2.564029254,mass_10hr
fm19-2,FrenchMeadows,2.267307683,mass_100hr
fm19-2,FrenchMeadows,2.294371903,mass_cwd_sound
fm19-2,FrenchMeadows,32.32850724,mass_cwd_rotten
fm19-20,FrenchMeadows,0.978829905,mass_1hr
fm19-20,FrenchMeadows,6.220797813,mass_10hr
fm19-20,FrenchMeadows,5.121525464,mass_100hr
