plot_id,fuel_size,mass,treatment_type
springs29,mass_1hr,0.0145326819512195,2010rx
springs29,mass_10hr,0.973497204878049,2010rx
springs29,mass_100hr,1.66019048780488,2010rx
springs29,mass_cwd_sound,0.166746026856945,2010rx
springs29,mass_cwd_rotten,0,2010rx
springs3,mass_1hr,0.0145326819512195,control
springs3,mass_10hr,0.695355146341463,control
springs3,mass_100hr,1.66019048780488,control
springs3,mass_cwd_sound,0,control
springs3,mass_cwd_rotten,0,control
springs30,mass_1hr,0.00363317048780488,2010rx
springs30,mass_10hr,1.0430327195122,2010rx
springs30,mass_100hr,0.830095243902439,2010rx
springs30,mass_cwd_sound,0.048288442166717,2010rx
springs30,mass_cwd_rotten,0,2010rx
springs31,mass_1hr,0.0108995114634146,2013rx
springs31,mass_10hr,1.18210374878049,2013rx
springs31,mass_100hr,0.276698414634146,2013rx
springs31,mass_cwd_sound,0,2013rx
springs31,mass_cwd_rotten,0,2013rx
springs37,mass_1hr,0.0435980458536585,control
springs37,mass_10hr,1.11256823414634,control
springs37,mass_100hr,0.276698414634146,control
springs37,mass_cwd_sound,0,control
springs37,mass_cwd_rotten,0,control
springs38,mass_1hr,0.0254321934146342,2013rx
springs38,mass_10hr,0.556284117073171,2013rx
springs38,mass_100hr,0.553396829268293,2013rx
springs38,mass_cwd_sound,0.0369708385338927,2013rx
springs38,mass_cwd_rotten,0,2013rx
springs39,mass_1hr,0.0399648753658537,2013rx
springs39,mass_10hr,0,2013rx
springs39,mass_100hr,0.276698414634146,2013rx
springs39,mass_cwd_sound,0,2013rx
springs39,mass_cwd_rotten,0,2013rx
springs4,mass_1hr,0.0472312163414634,control
springs4,mass_10hr,0.347677573170732,control
springs4,mass_100hr,1.93688890243902,control
springs4,mass_cwd_sound,0.109403501783968,control
springs4,mass_cwd_rotten,0.0353165821365933,control
springs40,mass_1hr,0.0472312163414634,control
springs40,mass_10hr,0.417213087804878,control
springs40,mass_100hr,0,control
springs40,mass_cwd_sound,0,control
springs40,mass_cwd_rotten,0,control
springs5,mass_1hr,0.00726634097560976,control
springs5,mass_10hr,0.144172099893129,control
springs5,mass_100hr,4.17176008229359,control
springs5,mass_cwd_sound,0.634540310395694,control
springs5,mass_cwd_rotten,0.235057663653591,control
springs6,mass_1hr,0.0653970687804878,control
springs6,mass_10hr,0.695355146341463,control
springs6,mass_100hr,2.76698414634146,control
springs6,mass_cwd_sound,0,control
springs6,mass_cwd_rotten,0,control
springs7,mass_1hr,0.159859501463415,control
springs7,mass_10hr,0.695355146341463,control
springs7,mass_100hr,1.38349207317073,control
springs7,mass_cwd_sound,0,control
springs7,mass_cwd_rotten,0,control
springs8,mass_1hr,0.058130727804878,control
springs8,mass_10hr,1.18210374878049,control
springs8,mass_100hr,2.21358731707317,control
springs8,mass_cwd_sound,0,control
springs8,mass_cwd_rotten,0,control
springs9,mass_1hr,0.0617638982926829,control
springs9,mass_10hr,0.903961690243902,control
springs9,mass_100hr,1.38349207317073,control
springs9,mass_cwd_sound,0.108648994875113,control
springs9,mass_cwd_rotten,3.62163316250378,control
