plot_id,treatment_type,fuel_size,mass
springs3,control,mass_10hr,0.208606543902439
springs3,control,mass_100hr,0.276698414634146
springs3,control,mass_cwd_sound,0
springs3,control,mass_cwd_rotten,0
springs3,control,total_fuel,0.48893812902439
springs30,2010rx,mass_1hr,0.00363317048780488
springs30,2010rx,mass_10hr,0.278142058536585
springs30,2010rx,mass_100hr,0
springs30,2010rx,mass_cwd_sound,0
springs30,2010rx,mass_cwd_rotten,0
springs30,2010rx,total_fuel,0.28177522902439
springs4,control,mass_1hr,0.0181658524390244
springs4,control,mass_10hr,0.278142058536585
springs4,control,mass_100hr,0.830095243902439
springs4,control,mass_cwd_sound,0
springs4,control,mass_cwd_rotten,0
springs4,control,total_fuel,1.12640315487805
