Site,year,plot_id,species_id,status,lifeform,layer_code,percent,notes
lakesdistrict,2019,burton21,quva,live,SH,SM,5,
lakesdistrict,2019,burton21,symo,live,SH,SL,0.5,
lakesdistrict,2019,burton21,wyan,live,FB,,tr,
lakesdistrict,2019,burton22,abco,live,TR,TOV,70,
lakesdistrict,2019,burton22,abco,live,TR,TSE,tr,
lakesdistrict,2019,burton22,abco,live,TR,TSA,tr,
lakesdistrict,2019,burton22,apan,live,SH,SL,tr,
lakesdistrict,2019,burton22,ceco,live,SH,SL,0.5,
lakesdistrict,2019,burton22,ceco,live,SH,SM,tr,
lakesdistrict,2019,burton22,cepr,live,SH,SL,0.5,
lakesdistrict,2019,burton22,monspp,live,FB,,tr,
lakesdistrict,2019,burton22,pije,live,TR,TSA,6,
lakesdistrict,2019,burton22,pije,live,TR,TSA,10,
lakesdistrict,2019,burton22,prem,live,SH,SL,tr,
lakesdistrict,2019,burton22,prem,live,SH,SM,tr,
lakesdistrict,2019,burton22,putr,live,SH,SL,tr,
lakesdistrict,2019,burton22,putr,live,SH,SM,tr,
lakesdistrict,2019,burton22,pypi,live,FB,,tr,
lakesdistrict,2019,burton22,quva,live,SH,SL,15,
lakesdistrict,2019,burton22,quva,live,SH,SM,3,
lakesdistrict,2019,burton22,sisrynchium,live,FB,,,
lakesdistrict,2019,burton22,symo,live,SH,SL,0.5,
lakesdistrict,2019,burton23,abco,live,TR,TOV,39,
lakesdistrict,2019,burton23,abco,live,TR,TSA,tr,
lakesdistrict,2019,burton23,abco,live,TR,TSE,tr,
lakesdistrict,2019,burton23,apan,live,SH,SL,tr,
lakesdistrict,2019,burton23,arne,live,SH,SL,12,
lakesdistrict,2019,burton23,arpr,live,SH,SL,tr,
lakesdistrict,2019,burton23,arpr,live,SH,SM,tr,
lakesdistrict,2019,burton23,cade,live,TR,TOV,7,
lakesdistrict,2019,burton23,cade,live,TR,TSA,tr,
lakesdistrict,2019,burton23,cade,live,TR,TSE,tr,
lakesdistrict,2019,burton23,casapp,live,FB,,tr,
lakesdistrict,2019,burton23,ceco,live,SH,SL,tr,
lakesdistrict,2019,burton23,ceco,live,SH,SM,tr,
lakesdistrict,2019,burton23,cepr,live,SH,SL,2.5,
lakesdistrict,2019,burton23,hial,live,FB,,tr,
lakesdistrict,2019,burton23,monspp,live,FB,,tr,
lakesdistrict,2019,burton23,pese,live,FB,,tr,
lakesdistrict,2019,burton23,pico,live,TR,TOV,4,
lakesdistrict,2019,burton23,ptan,live,FB,,tr,
lakesdistrict,2019,burton23,symo,live,SH,SL,0.5,
lakesdistrict,2019,burton23,wyan,live,FB,,tr,
lakesdistrict,2019,burton24,abco,live,TR,TOV,tr,
lakesdistrict,2019,burton24,abco,live,TR,TSE,tr,
lakesdistrict,2019,burton24,amut,live,SH,SL,tr,
lakesdistrict,2019,burton24,amut,live,SH,SM,tr,
lakesdistrict,2019,burton24,amut,live,SH,ST,tr,
lakesdistrict,2019,burton24,arco,live,FB,,tr,
lakesdistrict,2019,burton24,arne,live,SH,SL,tr,
lakesdistrict,2019,burton24,cade,live,TR,TOV,50,
lakesdistrict,2019,burton24,cade,live,TR,TSE,tr,
lakesdistrict,2019,burton24,cade,live,TR,TSA,15,
lakesdistrict,2019,burton24,cepr,live,SH,SL,0.5,
lakesdistrict,2019,burton24,geraniumspp.,live,FB,,tr,lost sample
lakesdistrict,2019,burton24,luparb,live,FB,,tr,
lakesdistrict,2019,burton24,pije,live,TR,TOV,30,
lakesdistrict,2019,burton24,quva,live,SH,SL,tr,
lakesdistrict,2019,burton24,quva,live,SH,SM,tr,
lakesdistrict,2019,burton24,symo,live,SH,SL,tr,
lakesdistrict,2019,burton24,wyan,live,FB,,tr,
lakesdistrict,2019,burton3,abco,live,TR,TOV,35,
lakesdistrict,2019,burton3,abco,live,TR,TSA,4,
lakesdistrict,2019,burton3,abco,live,TR,TSE,4,
lakesdistrict,2019,burton3,abco,dead,TR,TOV,tr,
lakesdistrict,2019,burton3,abco,dead,TR,TSE,tr,
lakesdistrict,2019,burton3,abco,dead,TR,TSA,tr,
lakesdistrict,2019,burton3,abma,live,TR,TOV,40,
lakesdistrict,2019,burton3,abma,live,TR,TSA,1,
lakesdistrict,2019,burton3,abma,live,TR,TSE,1,
lakesdistrict,2019,burton3,acgl,live,TR,TSE,tr,
lakesdistrict,2019,burton3,achnatherum,live,GR,,tr,
lakesdistrict,2019,burton3,amut,live,SH,SL,tr,
lakesdistrict,2019,burton3,amut,live,SH,SM,tr,
lakesdistrict,2019,burton3,arahol,live,FB,,tr,
lakesdistrict,2019,burton3,arpa,live,SH,SL,1,
lakesdistrict,2019,burton3,arpa,live,SH,SM,1,
lakesdistrict,2019,burton3,casapp,live,FB,,tr,
lakesdistrict,2019,burton3,ceco,live,SH,SL,1,
lakesdistrict,2019,burton3,ceco,live,SH,SM,1,
lakesdistrict,2019,burton3,chme,live,FB,,tr,
lakesdistrict,2019,burton3,chum,live,FB,,1,
lakesdistrict,2019,burton3,elel,live,GR,,tr,
lakesdistrict,2019,burton3,elymus,live,GR,,tr,
lakesdistrict,2019,burton3,frvi,live,FB,,tr,
