site,month,day,year,plot_id,X,Y,burn,FireSeverity,NearestRegen1_dist,NearestRegen1_az,NearestRegen1_spp,NearestSeedSource1_dist,NearestSeedSource1_az,NearestSeedSource1_spp,NearestSeedSource2_dist,NearestSeedSource2_az,NearestSeedSource2_spp,NearestSeedSource3_dist,NearestSeedSource3_az,NearestSeedSource3_spp,slope,aspect,shape_horiz,shape_vert,slope_position,cga,fuelmodel,domveg,Wtree_dist,Wtree_azimuth,Wtree_Tag,totveg,tot_all,tot_ht,dt_all,dt_ht,tov,tov_ht,tsa,tsa_ht,tse,tse_ht,tre,tre_ht,tos,tos_ht,ds,ds_ht,st,st_ht,sm,sm_ht,sl,sl_ht,tof,tof_ht,tog,tog_ht,baresoil,litter,wood,cones,bedrock,smrock,rock,ash,basalveg,moss,road,totground,photos,NOTES
,,,,,,,,,m,degree,,m,degree,,m,degree,,m,degree,,%,degree,,,,%,,,m,degree,,%,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,,,,,,,,,,,,,,
frenchmeadows,7,14,2019,fm10-4,719811,4331030,no,,,,,12,116,pila,20,337,abma,,,,36,278,LL,LL,FS,100,9,"abco, pila, cade",4,24,87,70,40,12.3,2,30,40,20,tr,3,tr,0.02,0,,15,0.3,0,,tr,2.2,5,0.6,15,0.3,1,0.2,1,0.3,tr,97,1,tr,0,tr,1,0,1,0,0,100,yes,
frenchmeadows,7,14,2019,fm10-5,719794,4331160,no,,,,,,,,,,,,,,24,298,LL,LL,FS,100,9,"cade,abco, pila",11,74,88,70,60,10,tr,1.5,60,10,4,5,tr,0.5,0,,5,0.3,0,,0,,1,1,5,0.2,5,0.4,tr,0.2,tr,96.5,2,tr,0,tr,tr,0,1.5,0,0,100,yes,
frenchmeadows,7,14,2019,fm10-6,719987,4331169,no,,,,,,,,,,,,,,12,342,LL,LL,FS,100,9,"abco, cade, pila",4.7,10,89,70,42,12,2,10,42,17,tr,2.7,tr,0.01,0,,10,0.2,0,,0,,0,,10,0.2,3,0.3,tr,0.1,tr,88,10,tr,0,tr,tr,0,2,0,0,100,yes,
frenchmeadows,7,14,2019,fm10-7,720124,4331179,no,,,,,12,78,abma,,,,,,,11,328,UN,LL,FS,100,9,"abco, cade, pila",5,3,90,80,73,20,1,6,73,20,tr,1.6,tr,0.01,0,,2,0.1,0,,0,,0,,2,0.1,14,0.2,tr,0.1,tr,92,6,tr,0,tr,tr,0,2,0,0,100,yes,
frenchmeadows,7,15,2019,fm10-8,720243,4331214,no,,,,,14.1,35,abma,,,,,,,25,340,LL,LL,FS,100,9,"abco,pila,conu",9.2,31,91,90,80,8,0,,60,8,25,3,5,0.5,0,,22,0.3,0,,tt,2.5,1,1.4,22,0.6,2,0.2,tr,0.1,tr,95,2,tr,0,tr,tr,0,3,0,0,100,yes,
frenchmeadows,7,15,2019,fm10-9,720315,4331297,no,,,,,13,225,pila,42,242,abma,,,,17,350,LL,LL,FS,100,9,"abco,pila,conu",7.2,3,92,85,50,7,tr,6.5,35,7,30,3,1,0.3,0,,35,1.2,tr,0.5,15,1.9,30,1,35,0.3,4,0.3,tr,0.2,tr,95,3,tr,0,tr,tr,0,2,0,0,100,yes,
frenchmeadows,7,11,2019,fm19-1,724112,4340587,no,,,,,11.4,237,abma,40,70,pila,,,,23,132,LL,LL,BS,100,9,"abco,cade,abma",9.6,13,77,55,50,13,tr,21,50,13,tr,1.25,tr,0.09,0,,5,0.7,0,,0,,3,0.7,2,0.15,tr,0.1,tr,0.1,tr,92,5,tr,0,tr,1.5,0,1.5,0,0,100,yes,
frenchmeadows,7,11,2019,fm19-2,723774,4340476,no,,,,,,,,,,,,,,34,69,LL,LL,BS,100,9,"abco,cade,abma",6.4,14,78,70,45,11, tr,3,45,11,1,4,tr,0.02,0,,20,0.3,0,,0,,tr,0.5,20,0.3,tr,0.1,tr,0.4,tr,94,4,tr,0,tr,tr,0,2,0,0,100,yes,
frenchmeadows,7,11,2019,fm19-3,723639,4340371,no,,,,,26,116,acgl,,,,,,,27,70,LL,LL,BS,100,9,"abma, abco,cade",6,24,79,45,43,15,tr,10,43,15,tr,2,tr,0.02,0,,5,0.3,0,,0,,0,,5,0.3,tr,0.1,tr,0.3,0,77,20,tr,0,tr,0,tr,3,0,0,100,yes,
frenchmeadows,7,11,2019,fm19-4,724118,4340332,no,,,,,,,,,,,,,,30,240,LL,LL,BS,100,9,"abco,cade,pije",9,38,80,70,70,15,tr,4,70,15,tr,3,tr,0.02,0,,tr,0.2,0,,0,,0,,tr,0.2,tr,0.2,0,,tr,93,4,tr,0,tr,0,0,3,0,0,100,yes,
