site,year,plot_id,azimuth,slope_percent,1hr_count,10hr_count,100hr_count,duff1_cm,litter1_cm,duff2_cm,litter2,Notes:
frenchmeadows,2019,fm19-13,E,20,26,3,1,6.5,1,11,1,end is in middle of snag / duff.litter taken to side
frenchmeadows,2019,fm19-13,W,0,36,13,6,8,0.5,8,0.05,
frenchmeadows ,2019,fm19-14,N,0,2,0,0,0,0.05,0,0.05,
frenchmeadows ,2019,fm19-14,S,0,5,2,0,0,2,0,0.05,
frenchmeadows ,2019,fm19-14,E,24,20,6,1,2,3,1,2,
frenchmeadows ,2019,fm19-14,W,25,8,9,0,0.05,2.5,4,1,
frenchmeadows ,2019,fm19-15,N,28,28,3,3,3,5,1,3,
frenchmeadows ,2019,fm19-15,S,32,6,4,2,0.05,2,3,4,
frenchmeadows ,2019,fm19-15,E,0,39,19,8,5,2,1,5,
frenchmeadows ,2019,fm19-15,W,0,19,30,6,5,4,1,2,
frenchmeadows ,2019,fm19-16,N,0,26,7,3,0.05,0.05,0.5,1,
frenchmeadows ,2019,fm19-16,S,0,44,14,8,2.5,0.05,12,4,
frenchmeadows ,2019,fm19-16,E,44,73,27,2,2,1,5,2,
frenchmeadows ,2019,fm19-16,W,45,137,37,5,4,0.5,6,2,
frenchmeadows ,2019,fm19-17,N,0,8,1,0,3,12.5,1,1,
frenchmeadows ,2019,fm19-17,S,0,8,1,0,5,2,1,1,
frenchmeadows ,2019,fm19-17,E,0,4,1,0,4,7,7,7,
frenchmeadows ,2019,fm19-17,W,0,8,1,0,4,5,3,7,
frenchmeadows ,2019,fm19-18,N,25,10,5,1,11,4,8,6,
frenchmeadows ,2019,fm19-18,S,20,11,5,5,5,15,3,5,
frenchmeadows ,2019,fm19-18,E,0,12,8,4,6,4,4.5,3,
frenchmeadows ,2019,fm19-18,W,0,11,10,3,2.5,0.5,3,1,
frenchmeadows ,2019,fm19-19,N,27,2,6,1,2,3.5,3,1.5,
frenchmeadows ,2019,fm19-19,S,25,24,14,2,3,0.05,2,2,
frenchmeadows ,2019,fm19-19,E,0,45,15,7,3,1,2.5,2.5,
frenchmeadows ,2019,fm19-19,W,0,30,8,5,8,2,2.5,0.05,
frenchmeadows ,2019,fm19-20,N,37,78,28,10,3,2,0,3,
frenchmeadows ,2019,fm19-20,S,31,88,17,3,4,2,2,6,
frenchmeadows ,2019,fm19-20,E,0,36,16,2,4,3,3,5,
frenchmeadows ,2019,fm19-20,W,0,60,26,3,5,2,5,3,
frenchmeadows ,2019,fm19-21,N,0,24,9,2,1,2.5,4,0.05,
frenchmeadows ,2019,fm19-21,S,0,4,2,4,0.05,0.05,2,0.05,
frenchmeadows ,2019,fm19-21,E,27,39,10,6,0.05,2,2,4,
frenchmeadows ,2019,fm19-21,W,27,5,3,1,3,5,3,0.05,
