plot_id,location,fuel_size,mass
BM4,BearMtn,mass_100hr,0
BM4,BearMtn,mass_cwd_sound,0.97784095387602
BM4,BearMtn,mass_cwd_rotten,0
BM4,BearMtn,total_fuel,1.26637724851017
BM5,BearMtn,mass_1hr,0.101728773658537
BM5,BearMtn,mass_10hr,0.417213087804878
BM5,BearMtn,mass_100hr,1.66019048780488
BM5,BearMtn,mass_cwd_sound,0
BM5,BearMtn,mass_cwd_rotten,0
BM5,BearMtn,total_fuel,2.1791323492683
BM6,BearMtn,mass_1hr,0.0474887695315421
BM6,BearMtn,mass_10hr,1.11863510093658
BM6,BearMtn,mass_100hr,2.50386533189741
BM6,BearMtn,mass_cwd_sound,8.06262671803896
BM6,BearMtn,mass_cwd_rotten,0.821586821192716
BM6,BearMtn,total_fuel,12.5542027415972
BM7,BearMtn,mass_1hr,0.0108995114634146
BM7,BearMtn,mass_10hr,0.76489066097561
BM7,BearMtn,mass_100hr,2.76698414634146
BM7,BearMtn,mass_cwd_sound,1.18318755418998
BM7,BearMtn,mass_cwd_rotten,0
BM7,BearMtn,total_fuel,4.72596187297047
BM8,BearMtn,mass_1hr,0.0871960917073171
BM8,BearMtn,mass_10hr,0.625819631707317
BM8,BearMtn,mass_100hr,0.276698414634146
BM8,BearMtn,mass_cwd_sound,0
BM8,BearMtn,mass_cwd_rotten,0
BM8,BearMtn,total_fuel,0.98971413804878
BM9,BearMtn,mass_1hr,0.0181658524390244
BM9,BearMtn,mass_10hr,0.625819631707317
BM9,BearMtn,mass_100hr,1.93688890243902
BM9,BearMtn,mass_cwd_sound,9.5339493002912
BM9,BearMtn,mass_cwd_rotten,0
BM9,BearMtn,total_fuel,12.1148236868766
fm10-1,FrenchMeadows,mass_1hr,0.185880881337349
fm10-1,FrenchMeadows,mass_10hr,1.60440230911486
fm10-1,FrenchMeadows,mass_100hr,2.49820428754909
fm10-1,FrenchMeadows,mass_cwd_sound,4.61409942309446
fm10-1,FrenchMeadows,mass_cwd_rotten,8.27676791199769
fm10-1,FrenchMeadows,total_fuel,17.1793548130934
fm10-10,FrenchMeadows,mass_1hr,0.574040937073171
fm10-10,FrenchMeadows,mass_10hr,5.00655705365854
fm10-10,FrenchMeadows,mass_100hr,0.830095243902439
fm10-10,FrenchMeadows,mass_cwd_sound,0.193153768666868
fm10-10,FrenchMeadows,mass_cwd_rotten,22.569203001262
fm10-10,FrenchMeadows,total_fuel,29.173050004563
fm10-11,FrenchMeadows,mass_1hr,0.504375020246122
fm10-11,FrenchMeadows,mass_10hr,3.77736662153805
fm10-11,FrenchMeadows,mass_100hr,3.06187926197977
fm10-11,FrenchMeadows,mass_cwd_sound,24.5861026184817
fm10-11,FrenchMeadows,mass_cwd_rotten,13.5256961182188
fm10-11,FrenchMeadows,total_fuel,45.4554196404645
fm10-12,FrenchMeadows,mass_1hr,0.430990928819085
fm10-12,FrenchMeadows,mass_10hr,1.33954332379328
fm10-12,FrenchMeadows,mass_100hr,1.68327243383239
fm10-12,FrenchMeadows,mass_cwd_sound,10.1897595442669
fm10-12,FrenchMeadows,mass_cwd_rotten,6.52006911379783
fm10-12,FrenchMeadows,total_fuel,20.1636353445095
fm10-13,FrenchMeadows,mass_1hr,0.276120957073171
fm10-13,FrenchMeadows,mass_10hr,0.695355146341463
fm10-13,FrenchMeadows,mass_100hr,1.38349207317073
fm10-13,FrenchMeadows,mass_cwd_sound,0.627749748167322
fm10-13,FrenchMeadows,mass_cwd_rotten,0.273886007914348
fm10-13,FrenchMeadows,total_fuel,3.25660393266703
fm10-14,FrenchMeadows,mass_1hr,0.341518025853659
fm10-14,FrenchMeadows,mass_10hr,1.87745889512195
fm10-14,FrenchMeadows,mass_100hr,1.66019048780488
fm10-14,FrenchMeadows,mass_cwd_sound,0
