site,plot_id,status,BA_sum_sqft_acre
slypark,hcp2,live,151.225841339447
slypark,hcp3,live,411.771911268985
slypark,hcp4,live,268.680583438913
slypark,hcp5,live,81.2233862531429
slypark,hcp6,live,96.1140303909306
slypark,hcp7,live,103.268888472365
slypark,hcp8,live,71.2806488171774
slypark,hcp9,live,293.962237479996
slypark,spi1,live,145.671113897123
slypark,spi10,live,156.31460468604
slypark,spi11,dead,2.38627727610516
slypark,spi11,live,248.583654504215
slypark,spi2,live,154.402386958089
slypark,spi3,live,99.0735417916103
slypark,spi4,live,68.6779291577521
slypark,spi5,live,111.013636596152
slypark,spi6,dead,62.3862196276131
slypark,spi6,live,201.561293084485
slypark,spi7,live,158.966340935984
slypark,spi8,live,114.250718443879
slypark,spi9,live,129.343178194552
springsfire,springs1,live,162.765940473877
springsfire,springs10,live,194.903491554433
springsfire,springs11,live,126.775292231192
springsfire,springs12,live,142.960532374213
springsfire,springs13,live,43.2971005402496
springsfire,springs14,live,135.05209969804
springsfire,springs15,live,93.7280067582433
springsfire,springs16,live,115.086473506036
springsfire,springs17,live,75.6488957611701
springsfire,springs18,live,141.943760459444
springsfire,springs19,live,101.284720561522
springsfire,springs2,live,80.9300899141829
springsfire,springs20,live,71.5101326995707
springsfire,springs21,live,109.248870241839
springsfire,springs22,live,127.919477689579
springsfire,springs23,live,83.1500616559166
springsfire,springs24,live,104.230957956662
springsfire,springs25,live,40.5174223228988
springsfire,springs26,dead,61.7782363547789
springsfire,springs26,live,187.24371397566
springsfire,springs27,dead,11.3852921016722
springsfire,springs27,live,123.017142255183
springsfire,springs28,live,188.566633495898
springsfire,springs29,live,76.4857499448042
springsfire,springs3,live,156.730241700259
springsfire,springs30,live,202.178914807201
springsfire,springs32,live,63.3083825474855
springsfire,springs35,live,28.7093911913043
springsfire,springs37,live,293.953444508174
springsfire,springs38,dead,25.5757113102966
springsfire,springs38,live,207.104923627273
springsfire,springs39,dead,25.6687984446855
springsfire,springs39,live,93.7550620561584
springsfire,springs4,live,41.8985952814608
springsfire,springs40,live,49.6737383415
springsfire,springs5,live,149.999982700479
springsfire,springs6,dead,2.19156367892297
springsfire,springs6,live,139.740190992072
springsfire,springs7,dead,1.2174884061761
springsfire,springs7,live,203.193065739985
springsfire,springs8,live,190.99214095398
