"","site","plotid","pre_post_fire","year","status","BA_m2_ha_plot","n_trees_totalPlot","n_trees_acre","n_trees_ha"
"137","bouverie","BOUV001","prefire","2021","DEAD",5.18564750506029,3,30,74.1315
"138","bouverie","BOUV001","prefire","2021","LIVE",13.5536725640967,7,70,172.9735
"139","bouverie","BOUV002","prefire","2021","DEAD",4.70499934617257,4,40,98.842
"140","bouverie","BOUV002","prefire","2021","LIVE",6.65786780857741,4,40,98.842
"141","bouverie","BOUV003","prefire","2021","DEAD",0.791906948043878,1,10,24.7105
"142","bouverie","BOUV003","prefire","2021","LIVE",16.3539342495297,17,170,420.0785
"143","bouverie","BOUV004","prefire","2021","LIVE",26.6017970424765,13,130,321.2365
"144","bouverie","BOUV005","prefire","2021","DEAD",2.68205010763336,13,130,321.2365
"145","bouverie","BOUV005","prefire","2021","LIVE",0.560879100050683,1,10,24.7105
"146","bouverie","BOUV006","prefire","2021","DEAD",7.22932404044566,2,20,49.421
"147","bouverie","BOUV006","prefire","2021","LIVE",23.4145093704273,11,110,271.8155
"148","bouverie","BOUV007","prefire","2021","DEAD",3.47257911740376,1,10,24.7105
"149","bouverie","BOUV007","prefire","2021","LIVE",12.9886790568069,6,60,148.263
"150","bouverie","BOUV008","prefire","2021","DEAD",0.35370316949563,1,10,24.7105
"151","bouverie","BOUV008","prefire","2021","LIVE",26.3845485772181,11,110,271.8155
"152","bouverie","BOUV009","prefire","2021","LIVE",17.2999762083903,10,100,247.105
"153","bouverie","BOUV010","prefire","2021","DEAD",1.53966164859242,2,20,49.421
"154","bouverie","BOUV010","prefire","2021","LIVE",17.195699273976,5,50,123.5525
"155","bouverie","BOUV011","prefire","2021","LIVE",22.8159989702036,5,50,123.5525
"156","bouverie","BOUV012","prefire","2021","DEAD",3.02806787492761,1,10,24.7105
"157","bouverie","BOUV012","prefire","2021","LIVE",13.1158375295935,4,40,98.842
"158","burtonsp","BURTON01","prefire","2019","DEAD",0.133698827690282,1,10,24.7105
"159","burtonsp","BURTON01","prefire","2019","LIVE",52.8153842358764,9,90,222.3945
"160","burtonsp","BURTON02","prefire","2019","DEAD",28.6565358992124,7,70,172.9735
"161","burtonsp","BURTON02","prefire","2019","LIVE",51.4412110331709,11,110,271.8155
"162","burtonsp","BURTON03","prefire","2019","DEAD",1.14757028325249,2,20,49.421
"163","burtonsp","BURTON03","prefire","2019","LIVE",86.0909827111913,36,360,889.578
"164","burtonsp","BURTON04","prefire","2019","DEAD",0.190213704484317,1,10,24.7105
"165","burtonsp","BURTON04","prefire","2019","LIVE",65.0550082841866,48,480,1186.104
"166","burtonsp","BURTON05","prefire","2019","LIVE",56.2606374787864,29,290,716.6045
"167","burtonsp","BURTON06","prefire","2019","DEAD",24.2641732804694,8,80,197.684
"168","burtonsp","BURTON06","prefire","2019","LIVE",79.5733929003705,43,430,1062.5515
"169","burtonsp","BURTON07","postfire","2020","DEAD",15.7791059504077,5,50,123.5525
"170","burtonsp","BURTON07","postfire","2020","LIVE",64.4660900810287,15,150,370.6575
"171","burtonsp","BURTON07","prefire","2019","DEAD",16.2229330756424,7,70,172.9735
"172","burtonsp","BURTON07","prefire","2019","LIVE",65.2439022731414,14,140,345.947
"173","burtonsp","BURTON08","postfire","2020","DEAD",9.15977674642979,1,10,24.7105
"174","burtonsp","BURTON08","postfire","2020","LIVE",54.5852828735234,6,60,148.263
"175","burtonsp","BURTON08","prefire","2019","DEAD",11.7816439444003,3,30,74.1315
"176","burtonsp","BURTON08","prefire","2019","LIVE",54.0583233737189,6,60,148.263
"177","burtonsp","BURTON09","postfire","2020","DEAD",8.83813490126924,2,20,49.421
"178","burtonsp","BURTON09","postfire","2020","LIVE",26.9302800600512,8,80,197.684
"179","burtonsp","BURTON09","prefire","2019","DEAD",20.6623396714969,5,50,123.5525
"180","burtonsp","BURTON09","prefire","2019","LIVE",26.1404206118362,8,80,197.684
"181","burtonsp","BURTON10","prefire","2019","DEAD",5.52539662358926,4,40,98.842
"182","burtonsp","BURTON10","prefire","2019","LIVE",47.2856597216536,14,140,345.947
"183","burtonsp","BURTON11","prefire","2019","DEAD",17.6961819809693,3,30,74.1315
"184","burtonsp","BURTON11","prefire","2019","LIVE",45.3254746010923,6,60,148.263
"185","burtonsp","BURTON12","prefire","2019","DEAD",10.5234698552243,4,40,98.842
"186","burtonsp","BURTON12","prefire","2019","LIVE",20.7336625328355,16,160,395.368
"187","burtonsp","BURTON13","prefire","2019","DEAD",2.52158822530745,2,20,49.421
"188","burtonsp","BURTON13","prefire","2019","LIVE",50.3973354568932,27,270,667.1835
"189","burtonsp","BURTON14","postfire","2020","DEAD",17.1840159100234,5,50,123.5525
"190","burtonsp","BURTON14","postfire","2020","LIVE",65.9248172636354,14,140,345.947
"191","burtonsp","BURTON14","prefire","2019","DEAD",15.3245561364955,2,20,49.421
"192","burtonsp","BURTON14","prefire","2019","LIVE",65.9737437761347,17,170,420.0785
"193","burtonsp","BURTON15","prefire","2019","DEAD",11.2410651744068,5,50,123.5525
"194","burtonsp","BURTON15","prefire","2019","LIVE",73.6134799386832,11,110,271.8155
"195","burtonsp","BURTON16","prefire","2019","LIVE",34.4384231174823,5,50,123.5525
"196","burtonsp","BURTON17","prefire","2019","DEAD",23.3615654885955,4,40,98.842
"197","burtonsp","BURTON17","prefire","2019","LIVE",47.3678508285295,7,70,172.9735
"198","burtonsp","BURTON18","prefire","2019","DEAD",18.8874193221843,4,40,98.842
"199","burtonsp","BURTON18","prefire","2019","LIVE",77.1206433659932,27,270,667.1835
"200","burtonsp","BURTON19","prefire","2019","DEAD",6.8476933614354,1,10,24.7105
"201","burtonsp","BURTON19","prefire","2019","LIVE",45.520734276719,45,450,1111.9725
"202","burtonsp","BURTON20","prefire","2019","DEAD",5.00839806489549,1,10,24.7105
"203","burtonsp","BURTON20","prefire","2019","LIVE",49.3451340282307,10,100,247.105
"204","burtonsp","BURTON21","prefire","2019","DEAD",9.03349161480246,3,30,74.1315
"205","burtonsp","BURTON21","prefire","2019","LIVE",84.0764951781062,43,430,1062.5515
"206","burtonsp","BURTON22","prefire","2019","DEAD",4.6706091120795,4,40,98.842
"207","burtonsp","BURTON22","prefire","2019","LIVE",56.2286149696139,29,290,716.6045
"208","burtonsp","BURTON23","prefire","2019","LIVE",56.0777792476211,17,170,420.0785
