"","site","plotid","pre_post_fire","year","diamclass","n_trees_diamclass","n_trees_diamclass_acre","n_trees_diamclass_ha"
"1019","calaveras","bigtrees20","prefire","2020","[60-80]",0,0,0
"1020","calaveras","bigtrees20","prefire","2020","[80-100]",1,10,24.7105
"1021","calaveras","bigtrees21","prefire","2020","[<20]",0,0,0
"1022","calaveras","bigtrees21","prefire","2020","[20-40]",4,40,98.842
"1023","calaveras","bigtrees21","prefire","2020","[40-60]",0,0,0
"1024","calaveras","bigtrees21","prefire","2020","[>100]",1,10,24.7105
"1025","calaveras","bigtrees21","prefire","2020","[60-80]",0,0,0
"1026","calaveras","bigtrees21","prefire","2020","[80-100]",0,0,0
"1027","calaveras","bigtrees22","prefire","2020","[<20]",0,0,0
"1028","calaveras","bigtrees22","prefire","2020","[20-40]",1,10,24.7105
"1029","calaveras","bigtrees22","prefire","2020","[40-60]",0,0,0
"1030","calaveras","bigtrees22","prefire","2020","[>100]",2,20,49.421
"1031","calaveras","bigtrees22","prefire","2020","[60-80]",1,10,24.7105
"1032","calaveras","bigtrees22","prefire","2020","[80-100]",0,0,0
"1033","calaveras","bigtrees23","prefire","2020","[<20]",0,0,0
"1034","calaveras","bigtrees23","prefire","2020","[20-40]",1,10,24.7105
"1035","calaveras","bigtrees23","prefire","2020","[40-60]",3,30,74.1315
"1036","calaveras","bigtrees23","prefire","2020","[>100]",0,0,0
"1037","calaveras","bigtrees23","prefire","2020","[60-80]",4,40,98.842
"1038","calaveras","bigtrees23","prefire","2020","[80-100]",0,0,0
"1039","calaveras","bigtrees24","prefire","2020","[<20]",2,20,49.421
"1040","calaveras","bigtrees24","prefire","2020","[20-40]",4,40,98.842
"1041","calaveras","bigtrees24","prefire","2020","[40-60]",5,50,123.5525
"1042","calaveras","bigtrees24","prefire","2020","[>100]",1,10,24.7105
"1043","calaveras","bigtrees24","prefire","2020","[60-80]",0,0,0
"1044","calaveras","bigtrees24","prefire","2020","[80-100]",0,0,0
"1045","calaveras","bigtrees25","prefire","2020","[<20]",2,20,49.421
"1046","calaveras","bigtrees25","prefire","2020","[20-40]",2,20,49.421
"1047","calaveras","bigtrees25","prefire","2020","[40-60]",1,10,24.7105
"1048","calaveras","bigtrees25","prefire","2020","[>100]",1,10,24.7105
"1049","calaveras","bigtrees25","prefire","2020","[60-80]",0,0,0
"1050","calaveras","bigtrees25","prefire","2020","[80-100]",0,0,0
"1051","calaveras","bigtrees27","prefire","2020","[<20]",0,0,0
"1052","calaveras","bigtrees27","prefire","2020","[20-40]",1,10,24.7105
"1053","calaveras","bigtrees27","prefire","2020","[40-60]",1,10,24.7105
"1054","calaveras","bigtrees27","prefire","2020","[>100]",2,20,49.421
"1055","calaveras","bigtrees27","prefire","2020","[60-80]",0,0,0
"1056","calaveras","bigtrees27","prefire","2020","[80-100]",0,0,0
"1057","calaveras","bigtrees28","prefire","2020","[<20]",1,10,24.7105
"1058","calaveras","bigtrees28","prefire","2020","[20-40]",1,10,24.7105
"1059","calaveras","bigtrees28","prefire","2020","[40-60]",0,0,0
"1060","calaveras","bigtrees28","prefire","2020","[>100]",1,10,24.7105
"1061","calaveras","bigtrees28","prefire","2020","[60-80]",2,20,49.421
"1062","calaveras","bigtrees28","prefire","2020","[80-100]",1,10,24.7105
"1063","calaveras","bigtrees29","postfire","2022","[<20]",0,0,0
"1064","calaveras","bigtrees29","postfire","2022","[20-40]",0,0,0
"1065","calaveras","bigtrees29","postfire","2022","[40-60]",0,0,0
"1066","calaveras","bigtrees29","postfire","2022","[>100]",2,20,49.421
"1067","calaveras","bigtrees29","postfire","2022","[60-80]",0,0,0
"1068","calaveras","bigtrees29","postfire","2022","[80-100]",0,0,0
"1069","calaveras","bigtrees29","prefire","2020","[<20]",0,0,0
"1070","calaveras","bigtrees29","prefire","2020","[20-40]",0,0,0
