"","project","site","year","plotid","pre_post_fire","postFire","tag_id","status","species","dbh_cm","ht_m","ht2crown_m","livecrownratio_perc","crownclass","crownwidth_m","bolechar_m","decay","scorch_ht_m","scorch_percent","torch_ht_m","torch_percent","healthCode","healthCode2","notes","ht2dead_m","torch_percent.1","resprout","stump_diameter_cm","stump_ht_m","presentPostThin","StatusPostThin","samplingTime","Beetles2019","DeadPriorFire"
"8686","CPFMP","caples","2013-2018","120","prefire",NA,"90","LIVE","ABCO","30.7",NA,"14.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"8687","CPFMP","caples","2013-2018","6","prefire",NA,"648","LIVE","CADE","30.7","9.6","1.5",NA,"CO","3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"8688","CPFMP","caples","2013-2018","29","prefire",NA,"23","LIVE","CADE","30.7","9.9","1.8",NA,"IN","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"8689","CPFMP","caples","2013-2018","130","prefire",NA,"272","LIVE","JUOC","30.7",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"8690","CPFMP","caples","2013-2018","26","prefire",NA,"656","LIVE","PIJE","30.7","7.3","2.2",NA,"OP","2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"8691","CPFMP","BlissSP","2019","bliss6","prefire",NA,NA,"LIVE","ABCO","30.7","13","4",NA,"IN","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8692","CPFMP","BurtonSP","2019","burton4","prefire",NA,"479","LIVE","ABCO","30.7","16","6",NA,"IN","2",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8693","CPFMP","frenchmeadows","2019","FM010-6","prefire",NA,NA,"LIVE","ABCO","30.7","19","9",NA,"IN","5.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8694","CPFMP","frenchmeadows","2020","FM037","prefire",NA,"265","LIVE","ABMA","30.7","12.5","4.2",55,NA,"2.2",NA,"na",NA,NA,NA,NA,"na",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8695","CPFMP","Antelope","2020","Antelope12","prefire",NA,"2627","LIVE","PIJE","30.7","10.4","5.4",60,NA,"4",NA,"na",NA,NA,NA,NA,"na","na",NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8696","CPFMP","springsfire","2019","springs12","prefire",NA,"139","LIVE","PIJE","30.7",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8697","CPFMP","springsfire","2020","springs12","postfire","1yr","134","LIVE","PIJE","30.7","12","6",NA,NA,NA,"4","na","6","60","2.4","20",NA,NA,NA,0.5,"20",NA,NA,NA,NA,NA,NA,NA,NA
