"","site","plotid","pre_post_fire","year","diamclass","n_trees_diamclass","n_trees_diamclass_acre","n_trees_diamclass_ha"
"3055","shaverlake","shl021","prefire","2021","[60-80]",0,0,0
"3056","shaverlake","shl021","prefire","2021","[20-40]",1,10,24.7105
"3057","shaverlake","shl021","prefire","2021","[<20]",1,10,24.7105
"3058","shaverlake","shl021","prefire","2021","[40-60]",0,0,0
"3059","shaverlake","shl021","prefire","2021","[>100]",0,0,0
"3060","shaverlake","shl021","prefire","2021","[80-100]",0,0,0
"3061","shaverlake","shl022","prefire","2021","[60-80]",2,20,49.421
"3062","shaverlake","shl022","prefire","2021","[20-40]",0,0,0
"3063","shaverlake","shl022","prefire","2021","[<20]",0,0,0
"3064","shaverlake","shl022","prefire","2021","[40-60]",4,40,98.842
"3065","shaverlake","shl022","prefire","2021","[>100]",0,0,0
"3066","shaverlake","shl022","prefire","2021","[80-100]",0,0,0
"3067","shaverlake","shl023","prefire","2021","[60-80]",0,0,0
"3068","shaverlake","shl023","prefire","2021","[20-40]",0,0,0
"3069","shaverlake","shl023","prefire","2021","[<20]",2,20,49.421
"3070","shaverlake","shl023","prefire","2021","[40-60]",0,0,0
"3071","shaverlake","shl023","prefire","2021","[>100]",0,0,0
"3072","shaverlake","shl023","prefire","2021","[80-100]",0,0,0
"3073","shaverlake","shl024","prefire","2021","[60-80]",0,0,0
"3074","shaverlake","shl024","prefire","2021","[20-40]",1,10,24.7105
"3075","shaverlake","shl024","prefire","2021","[<20]",3,30,74.1315
"3076","shaverlake","shl024","prefire","2021","[40-60]",0,0,0
"3077","shaverlake","shl024","prefire","2021","[>100]",0,0,0
"3078","shaverlake","shl024","prefire","2021","[80-100]",0,0,0
"3079","shaverlake","shl025","prefire","2021","[60-80]",0,0,0
"3080","shaverlake","shl025","prefire","2021","[20-40]",1,10,24.7105
"3081","shaverlake","shl025","prefire","2021","[<20]",1,10,24.7105
"3082","shaverlake","shl025","prefire","2021","[40-60]",0,0,0
"3083","shaverlake","shl025","prefire","2021","[>100]",0,0,0
"3084","shaverlake","shl025","prefire","2021","[80-100]",0,0,0
"3085","shaverlake","shl026","prefire","2021","[60-80]",1,10,24.7105
"3086","shaverlake","shl026","prefire","2021","[20-40]",0,0,0
"3087","shaverlake","shl026","prefire","2021","[<20]",3,30,74.1315
"3088","shaverlake","shl026","prefire","2021","[40-60]",1,10,24.7105
"3089","shaverlake","shl026","prefire","2021","[>100]",0,0,0
"3090","shaverlake","shl026","prefire","2021","[80-100]",0,0,0
"3091","slypark","hcp1","prefire","2019","[60-80]",0,0,0
"3092","slypark","hcp1","prefire","2019","[20-40]",1,10,24.7105
"3093","slypark","hcp1","prefire","2019","[<20]",0,0,0
"3094","slypark","hcp1","prefire","2019","[40-60]",0,0,0
