plot_id,time,fuel_size,mass,treatment_type
springs16,preburn_mass,total_fuel,2.173814928,2007rx
springs16,postburn_mass,mass_1hr,0.021799023,2007rx
springs16,postburn_mass,mass_10hr,0.834426176,2007rx
springs16,postburn_mass,mass_100hr,0.830095244,2007rx
springs16,postburn_mass,mass_cwd_sound,0,2007rx
springs16,postburn_mass,mass_cwd_rotten,0.509292163,2007rx
springs16,postburn_mass,total_fuel,2.195612606,2007rx
springs17,preburn_mass,mass_1hr,0.00363317,2007rx
springs17,preburn_mass,mass_10hr,0.347677573,2007rx
springs17,preburn_mass,mass_100hr,1.106793659,2007rx
springs17,preburn_mass,mass_cwd_sound,0,2007rx
springs17,preburn_mass,mass_cwd_rotten,0,2007rx
springs17,preburn_mass,total_fuel,1.458104402,2007rx
springs17,postburn_mass,mass_1hr,0.007266341,2007rx
springs17,postburn_mass,mass_10hr,0.834426176,2007rx
springs17,postburn_mass,mass_100hr,1.936888902,2007rx
springs17,postburn_mass,mass_cwd_sound,0.833730134,2007rx
springs17,postburn_mass,mass_cwd_rotten,0,2007rx
springs17,postburn_mass,total_fuel,3.612311553,2007rx
springs18,preburn_mass,mass_1hr,0.047231216,control
springs18,preburn_mass,mass_10hr,0.973497205,control
springs18,preburn_mass,mass_100hr,1.936888902,control
springs18,preburn_mass,mass_cwd_sound,1.15156617,control
springs18,preburn_mass,mass_cwd_rotten,0,control
springs18,preburn_mass,total_fuel,4.109183493,control
springs18,postburn_mass,mass_1hr,0.029065364,control
springs18,postburn_mass,mass_10hr,0.139071029,control
springs18,postburn_mass,mass_100hr,0.276698415,control
springs18,postburn_mass,mass_cwd_sound,1.177030778,control
springs18,postburn_mass,mass_cwd_rotten,0,control
springs18,postburn_mass,total_fuel,1.621865586,control
springs19,preburn_mass,mass_1hr,0.010899511,control
springs19,preburn_mass,mass_10hr,0.278142059,control
springs19,preburn_mass,mass_100hr,1.936888902,control
springs19,preburn_mass,mass_cwd_sound,1.07894488,control
springs19,preburn_mass,mass_cwd_rotten,0.282940091,control
springs19,preburn_mass,total_fuel,3.587815443,control
springs19,postburn_mass,mass_1hr,0.032698534,control
springs19,postburn_mass,mass_10hr,0.347677573,control
springs19,postburn_mass,mass_100hr,1.106793659,control
springs19,postburn_mass,mass_cwd_sound,0.984631516,control
springs19,postburn_mass,mass_cwd_rotten,0.144865327,control
springs19,postburn_mass,total_fuel,2.616666609,control
springs2,preburn_mass,mass_1hr,0.141693649,control
springs2,preburn_mass,mass_10hr,0.695355146,control
springs2,preburn_mass,mass_100hr,1.936888902,control
springs2,preburn_mass,mass_cwd_sound,0.070991555,control
springs2,preburn_mass,mass_cwd_rotten,0.935965821,control
springs2,preburn_mass,total_fuel,3.780895073,control
springs2,postburn_mass,mass_1hr,0.065397069,control
springs2,postburn_mass,mass_10hr,0.417213088,control
springs2,postburn_mass,mass_100hr,1.383492073,control
springs2,postburn_mass,mass_cwd_sound,0,control
springs2,postburn_mass,mass_cwd_rotten,0,control
springs2,postburn_mass,total_fuel,1.86610223,control
springs20,preburn_mass,mass_1hr,0.025432193,control
springs20,preburn_mass,mass_10hr,0.90396169,control
springs20,preburn_mass,mass_100hr,1.660190488,control
springs20,preburn_mass,mass_cwd_sound,0.64543539,control
springs20,preburn_mass,mass_cwd_rotten,0.451804396,control
springs20,preburn_mass,total_fuel,3.686824157,control
springs20,postburn_mass,mass_1hr,0.007266341,control
springs20,postburn_mass,mass_10hr,0.069535515,control
springs20,postburn_mass,mass_100hr,0.553396829,control
springs20,postburn_mass,mass_cwd_sound,0,control
springs20,postburn_mass,mass_cwd_rotten,0,control
springs20,postburn_mass,total_fuel,0.630198685,control
springs21,preburn_mass,mass_1hr,0.036331705,control
springs21,preburn_mass,mass_10hr,0.556284117,control
springs21,preburn_mass,mass_100hr,1.106793659,control
springs21,preburn_mass,mass_cwd_sound,1.165713174,control
springs21,preburn_mass,mass_cwd_rotten,0.818262743,control
springs21,preburn_mass,total_fuel,3.683385398,control
springs21,postburn_mass,mass_1hr,0.010899511,control
springs21,postburn_mass,mass_10hr,0,control
springs21,postburn_mass,mass_100hr,0,control
springs21,postburn_mass,mass_cwd_sound,0,control
springs21,postburn_mass,mass_cwd_rotten,0,control
springs21,postburn_mass,total_fuel,0.010899511,control
springs22,preburn_mass,mass_1hr,0.065397069,control
springs22,preburn_mass,mass_10hr,1.112568234,control
springs22,preburn_mass,mass_100hr,1.660190488,control
springs22,preburn_mass,mass_cwd_sound,0.3930981,control
springs22,preburn_mass,mass_cwd_rotten,0.056588018,control
springs22,preburn_mass,total_fuel,3.287841908,control
springs22,postburn_mass,mass_1hr,0,control
springs22,postburn_mass,mass_10hr,0.834426176,control
springs22,postburn_mass,mass_100hr,0.830095244,control
springs22,postburn_mass,mass_cwd_sound,1.207211054,control
springs22,postburn_mass,mass_cwd_rotten,0,control
springs22,postburn_mass,total_fuel,2.871732474,control
springs23,preburn_mass,mass_1hr,0.00363317,control
springs23,preburn_mass,mass_10hr,0.417213088,control
springs23,preburn_mass,mass_100hr,0.276698415,control
springs23,preburn_mass,mass_cwd_sound,0,control
springs23,preburn_mass,mass_cwd_rotten,0,control
springs23,preburn_mass,total_fuel,0.697544673,control
springs23,postburn_mass,mass_1hr,0.043598046,control
