site,year,plotid,observer,pre_post_fire,postTime,species,status,lifeform,layer_code,percent,notes
BurtonSP,2019,burton20,nr,prefire,,amut,live,SH,SM,tr,
BurtonSP,2019,burton24,nr,prefire,,amut,live,SH,SL,tr,
BurtonSP,2019,burton24,nr,prefire,,amut,live,SH,SM,tr,
BurtonSP,2019,burton24,nr,prefire,,amut,live,SH,ST,tr,
BurtonSP,2019,burton3,ag,prefire,,amut,live,SH,SL,tr,
BurtonSP,2019,burton3,ag,prefire,,amut,live,SH,SM,tr,
BurtonSP,2019,burton4,nr,prefire,,amut,live,SH,SL,tr,
BurtonSP,2019,burton5,ag,prefire,,amut,live,SH,SL,tr,
BurtonSP,2019,burton6,ag,prefire,,amut,live,SH,SL,tr,
BurtonSP,2019,burton6,ag,prefire,,amut,live,SH,SM,tr,
BurtonSP,2019,burton10,nr,prefire,,apan,live,FB,,tr,
BurtonSP,2019,burton13,nr,prefire,,apan,live,SH,SL,tr,
BurtonSP,2019,burton14,nr,prefire,,apan,live,SH,SL,0.5,
BurtonSP,2019,burton15,nr,prefire,,apan,live,SH,SL,tr,
BurtonSP,2019,burton19,nr,prefire,,apan,live,SH,SL,tr,
BurtonSP,2019,burton21,nr,prefire,,apan,live,SH,SL,tr,
BurtonSP,2019,burton22,nr,prefire,,apan,live,SH,SL,tr,
BurtonSP,2019,burton23,nr,prefire,,apan,live,SH,SL,tr,
BurtonSP,2019,burton5,ag,prefire,,apan,live,SH,SL,tr,
BurtonSP,2019,burton6,ag,prefire,,apan,live,SH,SL,tr,
BurtonSP,2019,burton7,nr,prefire,,apan,live,SH,SL,tr,
BurtonSP,2019,burton9,nr,prefire,,apan,live,SH,SL,tr,
BurtonSP,2019,burton1,ag,prefire,,arahol,live,FB,,tr,
BurtonSP,2019,burton10,nr,prefire,,arahol,live,FB,,tr,
BurtonSP,2019,burton12,nr,prefire,,arahol,live,FB,,tr,
BurtonSP,2019,burton19,nr,prefire,,arahol,live,FB,,tr,
BurtonSP,2019,burton2,ag,prefire,,arahol,live,FB,,tr,
BurtonSP,2019,burton20,nr,prefire,,arahol,live,FB,,tr,
BurtonSP,2019,burton3,ag,prefire,,arahol,live,FB,,tr,
BurtonSP,2019,burton4,nr,prefire,,arahol,live,FB,,tr,
BurtonSP,2019,burton7,nr,prefire,,arahol,live,FB,,tr,
BurtonSP,2019,burton9,nr,prefire,,arahol,live,FB,,tr,
BurtonSP,2019,burton19,nr,prefire,,arco,live,FB,,tr,
BurtonSP,2019,burton19,nr,prefire,,arco,dead,FB,,tr,
BurtonSP,2019,burton24,nr,prefire,,arco,live,FB,,tr,
BurtonSP,2019,burton1,ag,prefire,,arne,live,SH,SL,1,
BurtonSP,2019,burton10,nr,prefire,,arne,live,FB,,tr,
BurtonSP,2019,burton15,nr,prefire,,arne,live,SH,SL,0.5,
BurtonSP,2019,burton16,nr,prefire,,arne,live,SH,SL,tr,
BurtonSP,2019,burton17,nr,prefire,,arne,live,SH,SL,,
BurtonSP,2019,burton18,nr,prefire,,arne,live,SH,SL,tr,
BurtonSP,2019,burton19,nr,prefire,,arne,live,SH,SL,6.5,
BurtonSP,2019,burton2,ag,prefire,,arne,live,SH,SL,tr,
BurtonSP,2019,burton20,nr,prefire,,arne,live,SH,SL,1,
BurtonSP,2019,burton23,nr,prefire,,arne,live,SH,SL,12,
BurtonSP,2019,burton24,nr,prefire,,arne,live,SH,SL,tr,
BurtonSP,2019,burton4,nr,prefire,,arne,live,SH,SL,2,
BurtonSP,2019,burton5,ag,prefire,,arne,live,SH,SL,1,
BurtonSP,2019,burton7,nr,prefire,,arne,live,SH,SL,6,
BurtonSP,2019,burton8,nr,prefire,,arne,live,SH,SL,6,
BurtonSP,2019,burton10,nr,prefire,,arpa,live,SH,SL,1,
