site,year,pre_post_fire,plotid,obs,species,status,lifeform,layer_code,percent,notes,,,
frenchmeadows,2020,prefire,FM038,vs,ABMA,live,TR,TSE,1,L,,,
frenchmeadows,2020,prefire,FM038,vs,ABMA,live,TR,TSA,1,M,,,
frenchmeadows,2020,prefire,FM038,vs,ABMA,live,TR,TOV,24,H,,,
frenchmeadows,2020,prefire,FM038,vs,ABMA,dead,TR,TOV,tr,H,,,
frenchmeadows,2020,prefire,FM048,vs,ABMA,live,TR,TSE,1,L,,,
frenchmeadows,2020,prefire,FM048,vs,ABMA,live,TR,TSA,2,M,,,
frenchmeadows,2020,prefire,FM048,vs,ABMA,live,TR,TOV,22,H,,,
frenchmeadows,2020,prefire,FM048,vs,ABMA,dead,TR,TOV,2,H,,,
frenchmeadows,2020,prefire,FM037,vs,ABMA,live,TR,TSE,1,L,,,
frenchmeadows,2020,prefire,FM037,vs,ABMA,dead,TR,TSA,tr,M,,,
frenchmeadows,2020,prefire,FM037,vs,ABMA,live,TR,TOV,14,H,,,
frenchmeadows,2020,prefire,FM037,vs,ABMA,dead,TR,TOV,1,H,,,
frenchmeadows,2020,prefire,FM056,vs,ABMA,live,TR,TSE,tr,L,,,
frenchmeadows,2020,prefire,FM056,vs,ABMA,live,TR,TSA,tr,M,,,
frenchmeadows,2020,prefire,FM056,vs,ABMA,live,TR,TOV,19,H,,,
frenchmeadows,2020,prefire,FM049,vs,ABMA,live,TR,TSE,tr,L,,,
frenchmeadows,2020,prefire,FM049,vs,ABMA,live,TR,TSA,tr,M,,,
frenchmeadows,2020,prefire,FM049,vs,ABMA,live,TR,TOV,7,H,,,
frenchmeadows,2020,prefire,FM049,vs,ABMA,dead,TR,TOV,2,H,,,
frenchmeadows,2020,prefire,FM054,vs,ABMA,live,TR,TSE,tr,L,,,
frenchmeadows,2020,prefire,FM054,vs,ABMA,live,TR,TSA,2,M,,,
frenchmeadows,2020,prefire,FM054,vs,ABMA,live,TR,TOV,12,H,,,
frenchmeadows,2020,prefire,FM054,vs,ABMA,dead,TR,TOV,1,H,,,
frenchmeadows,2020,prefire,FM053,vs,ABMA,live,TR,TSE,7,L,,,
frenchmeadows,2020,prefire,FM053,vs,ABMA,live,TR,TSA,28,M,,,
frenchmeadows,2020,prefire,FM053,vs,ABMA,live,TR,TOV,14,H,,,
frenchmeadows,2020,prefire,FM052,vs,ABMA,live,TR,TSE,tr,L,,,
frenchmeadows,2020,prefire,FM052,vs,ABMA,live,TR,TSA,1,M,,,
frenchmeadows,2020,prefire,FM051,vs,ABMA,live,TR,TSE,1,L,,,
frenchmeadows,2020,prefire,FM051,vs,ABMA,live,TR,TSA,tr,M,,,
frenchmeadows,2020,prefire,FM051,vs,ABMA,dead,TR,TOV,tr,H,,,
frenchmeadows,2020,prefire,FM043,vs,ABMA,live,TR,TSE,tr,L,,,
frenchmeadows,2020,prefire,FM043,vs,ABMA,live,TR,TOV,13,H,,,
frenchmeadows,2020,prefire,FM042,vs,ABMA,live,TR,TSE,tr,L,,,
frenchmeadows,2020,prefire,FM042,vs,ABMA,live,TR,TOV,46,H,,,
