pre_post_fire,year,site,plotid,obs,species,status,lifeform,layer_code,percent,notes
prefire,2019,slypark,spi2,ag,colgra,live,FB,,tr,
prefire,2019,slypark,spi3,ag,colgra,live,FB,,tr,
prefire,2019,slypark,spi4,ag,colgra,live,FB,,tr,
prefire,2019,slypark,spi5,ag,colgra,live,FB,,tr,
prefire,2019,slypark,spi6,ag,colgra,live,FB,,tr,
prefire,2019,slypark,hcp11,ag,colhet,live,FB,,tr,
prefire,2019,slypark,hcp2,ag,colhet,live,FB,,tr,
prefire,2019,slypark,hcp3,ag,colhet,live,FB,,tr,
prefire,2019,slypark,hcp6,ag,colhet,live,FB,,tr,
prefire,2019,slypark,hcp9,ag,colhet,live,FB,,tr,
prefire,2019,slypark,spi11,ag,colhet,live,FB,,tr,
prefire,2019,slypark,spi3,ag,colhet,live,FB,,tr,
prefire,2019,slypark,spi4,ag,colhet,live,FB,,tr,
prefire,2019,slypark,spi5,ag,colhet,live,FB,,tr,
prefire,2019,slypark,spi6,ag,colhet,live,FB,,tr,
prefire,2019,slypark,spi7,ag,colhet,live,FB,,tr,
prefire,2019,slypark,spi8,ag,colhet,live,FB,,tr,
prefire,2019,slypark,spi9,ag,colhet,live,FB,,tr,
prefire,2019,slypark,hcp1,ag,conu,live,TR,TOV,3,
prefire,2019,slypark,hcp3,ag,conu,live,TR,TSE,tr,
prefire,2019,slypark,hcp3,ag,conu,live,FB,,tr,
prefire,2019,slypark,hcp4,ag,conu,live,TR,,tr,
prefire,2019,slypark,spi1,ag,conu,live,TR,TSA,tr,
prefire,2019,slypark,spi1,ag,conu,live,TR,TSE,tr,
prefire,2019,slypark,spi3,ag,conu,live,TR,TSE,tr,
prefire,2019,slypark,spi4,ag,conu,live,TR,TSE,tr,
prefire,2019,slypark,spi6,ag,conu,live,TR,TSA,tr,
prefire,2019,slypark,spi6,ag,conu,live,TR,TSE,tr,
prefire,2019,slypark,spi8,ag,conu,live,TR,TSE,tr,
prefire,2019,slypark,spi8,ag,conu,live,TR,TSA,tr,
prefire,2019,slypark,hcp6,ag,colpar,live,FB,,tr,
prefire,2019,slypark,hcp10,ag,cynech,live,GR,,tr,
prefire,2019,slypark,hcp11,ag,cynech,live,GR,,tr,
prefire,2019,slypark,hcp5,ag,cynech,live,GR,,tr,
prefire,2019,slypark,hcp6,ag,cynech,live,GR,,tr,
prefire,2019,slypark,hcp7,ag,cynech,live,GR,,tr,
prefire,2019,slypark,hcp7,ag,cynech,live,GR,,tr,
prefire,2019,slypark,hcp8,ag,cynech,live,GR,,tr,
prefire,2019,slypark,hcp9,ag,cynech,live,GR,,tr,
prefire,2019,slypark,spi10,ag,cynech,live,GR,,tr,
prefire,2019,slypark,spi11,ag,cynech,live,GR,,4,
prefire,2019,slypark,spi2,ag,cynech,live,GR,,tr,
prefire,2019,slypark,spi3,ag,cynech,live,GR,,tr,
prefire,2019,slypark,spi4,ag,cynech,live,GR,,tr,
prefire,2019,slypark,spi7,ag,cynech,live,GR,,tr,
prefire,2019,slypark,spi8,ag,cynech,live,GR,,tr,
prefire,2019,slypark,spi9,ag,cynech,live,GR,,tr,
prefire,2019,slypark,hcp8,ag,deadunk,dead,FB,,tr,
prefire,2019,slypark,hcp1,ag,prohoo,live,FB,,tr,
prefire,2019,slypark,hcp10,ag,prohoo,live,FB,,tr,
prefire,2019,slypark,hcp3,ag,prohoo,live,FB,,tr,
prefire,2019,slypark,hcp4,ag,prohoo,live,GR,,tr,
prefire,2019,slypark,spi4,ag,prohoo,live,FB,,tr,
prefire,2019,slypark,hcp9,ag,dicmul,live,FB,,tr,
prefire,2019,slypark,hcp10,ag,dicmul,live,FB,,tr,
prefire,2019,slypark,hcp11,ag,dicmul,live,FB,,tr,
prefire,2019,slypark,hcp5,ag,dicmul,live,FB,,tr,
prefire,2019,slypark,hcp6,ag,dicmul,live,FB,,tr,
prefire,2019,slypark,hcp7,ag,dicmul,live,FB,,tr,
prefire,2019,slypark,hcp8,ag,dicmul,live,FB,,tr,
prefire,2019,slypark,spi10,ag,dicmul,live,FB,,tr,
prefire,2019,slypark,spi3,ag,dysbot,live,FB,,tr,Dysphania botrys
prefire,2019,slypark,spi4,ag,dysbot,live,FB,,tr,
prefire,2019,slypark,hcp10,ag,elygla,live,GR,,tr,
prefire,2019,slypark,hcp11,ag,elygla,live,GR,,tr,
prefire,2019,slypark,hcp3,ag,elygla,live,GR,,tr,
prefire,2019,slypark,hcp4,ag,elygla,live,GR,,tr,
prefire,2019,slypark,hcp5,ag,elygla,live,GR,,tr,
prefire,2019,slypark,hcp6,ag,elygla,live,GR,,tr,
prefire,2019,slypark,hcp7,ag,elygla,live,FB,,tr,
prefire,2019,slypark,hcp8,ag,elygla,live,GR,,tr,
prefire,2019,slypark,hcp9,ag,elygla,live,GR,,tr,
prefire,2019,slypark,spi10,ag,elygla,live,GR,,tr,
prefire,2019,slypark,spi11,ag,elygla,live,GR,,tr,
prefire,2019,slypark,spi4,ag,elygla,live,GR,,tr,
prefire,2019,slypark,spi5,ag,elygla,live,GR,,tr,
prefire,2019,slypark,spi6,ag,elygla,live,GR,,tr,
prefire,2019,slypark,spi7,ag,elygla,live,GR,,tr,
prefire,2019,slypark,spi8,ag,elygla,live,GR,,tr,
prefire,2019,slypark,spi9,ag,elygla,live,GR,,tr,
prefire,2019,slypark,hcp11,ag,elysie,live,GR,,tr,
prefire,2019,slypark,hcp7,ag,elysie,live,GR,,tr,
prefire,2019,slypark,hcp8,ag,elysie,live,GR,,tr,
prefire,2019,slypark,hcp9,ag,elysie,live,GR,,tr,
prefire,2019,slypark,spi11,ag,elysie,live,GR,,tr,
prefire,2019,slypark,spi3,ag,elysie,live,GR,,tr,
prefire,2019,slypark,spi3,ag,elysie,live,GR,,tr,
prefire,2019,slypark,spi4,ag,elysie,live,GR,,tr,
prefire,2019,slypark,spi6,ag,elysie,live,GR,,tr,
prefire,2019,slypark,spi7,ag,elysie,live,GR,,tr,
