site,year,pre_post_fire,plot_id,observer,species,status,lifeform,layerCode,percent,notes,,,
downieville,2020,prefire,RedAnt29,km,CAMPRE,live,FB,na,tr,"serrated leaves, tiny leave or two at nodes",,,
downieville,2020,prefire,RedAnt30a,km,CAMPRE,live,FB,na,tr,Campanula prenanthoides,,,
downieville,2020,prefire,RedAnt62,km,CAMPRE,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt49,km,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt50,km,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt39,km,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt38,km,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt51,km,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt28,km,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt52,km,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt29,km,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt30a,km,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt45,km,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt43,km,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt62,km,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt46,vs,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt44,vs,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt42,vs,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt40,vs,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt59,vs,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt56,vs,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt57,vs,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt54,vs,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt32,vs,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt36,vs,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt61,vs,CHIMEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt51,km,CHIUMB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt28,km,CHIUMB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt29,km,CHIUMB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt30a,km,CHIUMB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt54,vs,CHIUMB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt30b,vs,CHIUMB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt28,km,CIRVUL,live,FB,na,tr,cirsium vulgare,,,
downieville,2020,prefire,RedAnt30b,vs,CIRVUL,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt35,vs,CIRVUL,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt37,vs,COLLIN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt52,km,CORSTR,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt42,vs,CORSTR,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt56,vs,CORSTR,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt56,vs,CORSTR,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt30b,vs,CROSET,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt35,vs,CROSET,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt29,km,PROHOO,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt30a,km,PROHOO,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt62,km,PROHOO,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt38,km,driedgentianlookingforb,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt35,vs,DRYGLA,live,FB,na,tr,Drymocallis glandulosa,,,
downieville,2020,prefire,RedAnt45,km,eriogonummat,live,FB,na,tr,decurrent roots form loosemat of eri,,,
downieville,2020,prefire,RedAnt29,km,fuzzyforb,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt50,km,VICAME-AME,live,FB,na,tr,sample,,,
downieville,2020,prefire,RedAnt28,km,VICAME-AME,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt30a,km,VICAME-AME,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt37,vs,GALTRISUB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt51,km,GALTRISUB,live,FB,na,tr,x,,,
downieville,2020,prefire,RedAnt30a,km,GALTRISUB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt43,km,GALTRISUB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt46,vs,GALTRISUB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt49,km,GAYDIF,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt35,vs,GILTRI,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt62,km,GOOB,live,FB,na,tr,snake orchid,,,
downieville,2020,prefire,RedAnt46,vs,GOOB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt42,vs,GOOB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt36,vs,GOOB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt37,vs,GOOB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt38,km,HIEALB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt51,km,HIEALB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt54,vs,HIEALB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt35,vs,HIEALB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt36,vs,HIEALB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt30a,km,HIEALB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt62,km,HIEALB,live,FB,na,tr,Hieracium albiflorum,,,
downieville,2020,prefire,RedAnt30b,vs,HIEALB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt32,vs,HIEALB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt35,vs,HYDCAP-ALP,live,FB,na,tr,Hydrophyllum capitatum var. alpinum,,,
downieville,2020,prefire,RedAnt37,vs,HYDCAP-ALP,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt35,vs,HYPPER,live,FB,na,tr,Hypericum perforatum,,,
downieville,2020,prefire,RedAnt59,vs,IRHA,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt55,vs,IRHA,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt57,vs,IRHA,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt54,vs,IRHA,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt36,vs,IRHA,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt37,vs,IRHA,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt61,vs,IRHA,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt53,vs,IRHA,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt58,vs,IRHA,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt30a,km,IRHA,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt28,km,IRHA,live,FB,na,tr,,,,
