site,year,pre_post_fire,plotid,obs,species,status,lifeform,layer_code,percent,notes,
calaveras,2020,prefire,BigTrees04,km,ADBI,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees34,km,ADBI,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees32,km,AIRCAR,live,GR,na,tr,"in press, pics on km phone",
calaveras,2020,prefire,BigTrees32,km,AIRCAR,live,GR,na,tr,aira caraphylacia,
calaveras,2020,prefire,BigTrees31,vs,AIRCAR,live,,na,tr,,
calaveras,2020,prefire,BigTrees02,vs,ALLVIR,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees13,vs,ALLVIR,live,FB,na,tr,M,
calaveras,2020,prefire,BigTrees12,vs,ALLVIR,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees02,vs,AQUFOR,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees15,vs,arccam,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees30,vs,arccam,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees31,vs,arcto,live,SH,na,tr,L,
calaveras,2020,prefire,BigTrees31,vs,arcto,live,SH,na,tr,M,
calaveras,2020,prefire,BigTrees11,vs,arcto,live,SH,na,tr,,
calaveras,2020,prefire,BigTrees32,km,ARPA,live,SH,na,0.25,,
calaveras,2020,prefire,BigTrees31,vs,ARPA,live,SH,na,tr,L,
calaveras,2020,prefire,BigTrees31,vs,ARPA,live,SH,na,tr,M,
calaveras,2020,prefire,BigTrees11,vs,ARPA,live,SH,na,tr,,
calaveras,2020,prefire,BigTrees34,km,ASAHAR,live,FB,na,0.5,asarum hartwegii,
calaveras,2020,prefire,BigTrees18,vs,ASAHAR,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees30,vs,ASAHAR,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees36,ag,ASALEM,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees27,km,BROCAR,live,GR,na,tr,,
calaveras,2020,prefire,BigTrees35,km,BROCAR,live,GR,na,tr,,
calaveras,2020,prefire,BigTrees32,km,BROCAR,live,GR,na,tr,,
calaveras,2020,prefire,BigTrees04,km,BROCAR,live,GR,na,3,,
calaveras,2020,prefire,BigTrees20,vs,BROCAR,live,GR,na,tr,,
calaveras,2020,prefire,BigTrees18,vs,BROCAR,live,GR,na,tr,,
calaveras,2020,prefire,BigTrees02,vs,BROCAR,live,GR,na,tr,,
calaveras,2020,prefire,BigTrees03,vs,BROCAR,live,GR,na,tr,M,
calaveras,2020,prefire,BigTrees31,vs,BROCAR,live,GR,na,tr,,
calaveras,2020,prefire,BigTrees11,vs,BROCAR,live,GR,na,tr,,
calaveras,2020,prefire,BigTrees31,vs,BROTEC,live,GR,na,1,,
calaveras,2020,prefire,BigTrees22,"ag, lh",CADE,live,TR,TSE,11,,
calaveras,2020,prefire,BigTrees22,"ag, lh",CADE,live,TR,TSA,1,,
calaveras,2020,prefire,BigTrees24,ag,CADE,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees36,ag,CADE,dead,TR,TOV,tr,,
calaveras,2020,prefire,BigTrees36,ag,CADE,live,TR,TOV,30,,
calaveras,2020,prefire,BigTrees36,ag,CADE,live,TR,TSE,10,,
calaveras,2020,prefire,BigTrees27,km,CADE,live,TR,TOV,15,,
calaveras,2020,prefire,BigTrees27,km,CADE,live,TR,TSE,7,,
calaveras,2020,prefire,BigTrees25,km,CADE,live,TR,TOV,9,,
calaveras,2020,prefire,BigTrees25,km,CADE,live,TR,TSE,1,,
calaveras,2020,prefire,BigTrees29,km,CADE,live,TR,TSA,0.5,,
