site,plotid,pre_post_fire,postTime,obs,year,species,status,lifeform,layer_code,percent,notes,collected,pic
RioLindo,RIO004,prefire,,km,2021,dryarg,live,FERN ,,0.25,,,
RioLindo,RIO005,prefire,,km,2021,dryarg,live,FERN ,,33,,,
RioLindo,RIO005,prefire,,km,2021,dryarg,dead,FERN ,,1,,,
RioLindo,RIO007,prefire,,km,2021,dryarg,live,FERN ,,32,,,
RioLindo,RIO008,prefire,,km,2021,dryarg,live,FERN ,,3,dryopteris arguta,,
RioLindo,RIO009,prefire,,km,2021,dryarg,live,FERN ,,8,,,
Bouverie,BOUV003,prefire,,km,2021,elygla,live,GR,,tr,,,
Bouverie,BOUV004,prefire,,km,2021,elygla,live,GR,,0.5,,,
Bouverie,BOUV005,prefire,,km,2021,elygla,live,GR,,0.25,,,
Bouverie,BOUV006,prefire,,km,2021,elygla,live,GR,,1.5,,,
Bouverie,BOUV008,prefire,,km,2021,elygla,live,GR,,tr,,,
Bouverie,BOUV009,prefire,,km,2021,elygla,live,GR,,1,,,
Bouverie,BOUV011,prefire,,km,2021,elygla,live,GR,,0.25,,,
RioLindo,RIO002,prefire,,km,2021,elygla,live,GR,,1,,,
RioLindo,RIO004,prefire,,km,2021,elygla,live,GR,,tr,,,
RioLindo,RIO006,prefire,,km,2021,elygla,live,GR,,0.25,,,
RioLindo,RIO007,prefire,,km,2021,elygla,live,GR,,tr,,,
RioLindo,RIO008,prefire,,km,2021,elygla,live,GR,,tr,,,
RioLindo,RIO009,prefire,,km,2021,elygla,live,GR,,tr,,,
Bouverie,BOUV007,prefire,,km,2021,erigeron,live,FB,,tr,,,
Bouverie,BOUV009,prefire,,km,2021,erigeron,live,FB,,tr,,,x
Bouverie,BOUV004,prefire,,km,2021,erobot,live,FB,,0.5,,,
Bouverie,BOUV005,prefire,,km,2021,erobot,live,FB,,1,erodium botrys,,
Bouverie,BOUV006,prefire,,km,2021,erobot,live,FB,,0.25,,,
Bouverie,BOUV008,prefire,,km,2021,erobot,live,FB,,0.25,,,
Bouverie,BOUV007,prefire,,km,2021,fiberglass,live,FB,,tr,,,
RioLindo,RIO002,prefire,,mm,2021,fralat,live,TR,TOV,0.5,,,
RioLindo,RIO001,prefire,,km,2021,fralat,live,TR,TSE,tr,serrated,,
RioLindo,RIO003,prefire,,km,2021,fralat,live,TR,TSE,tr,serrated,,
RioLindo,RIO003,prefire,,km,2021,fralat,live,TR,TSA,0.75,serrated,,
RioLindo,RIO008,prefire,,km,2021,fralat,live,TR,TSE,tr,serrated,,
Bouverie,BOUV001,prefire,,km,2021,galapa,live,FB,,tr,,,
Bouverie,BOUV008,prefire,,km,2021,galapa,live,FB,,tr,,,
Bouverie,BOUV003,prefire,,km,2021,galcal,live,FB,,7,,,
Bouverie,BOUV006,prefire,,km,2021,galcal,live,FB,,0.25,,,
Bouverie,BOUV008,prefire,,km,2021,galcal,live,FB,,tr,,,
Bouverie,BOUV010,prefire,,km,2021,galcal,live,FB,,0.5,,,
RioLindo,RIO004,prefire,,km,2021,galcal,live,FB,,0.25,galium californicum,,
