site,year,plot_id,obs,pre_post_fire,postTime,species,status,lifeform,layer_code,percent,notes
BlissSP,2019,bliss14,ms,prefire,,ceve,live,SH,SM,21,
BlissSP,2019,bliss14,ms,prefire,,ceve,live,SH,ST,tr,
BlissSP,2019,bliss15,ag,prefire,,ceve,live,SH,SL,4,
BlissSP,2019,bliss15,ag,prefire,,ceve,live,SH,SM,4,
BlissSP,2019,bliss2,ag,prefire,,ceve,live,SH,SL,1,
BlissSP,2019,bliss2,ag,prefire,,ceve,live,SH,SM,1,
BlissSP,2019,bliss3,ag,prefire,,ceve,live,SH,SL,3,
BlissSP,2019,bliss3,ag,prefire,,ceve,live,SH,SM,2,
BlissSP,2019,bliss5,ag,prefire,,ceve,live,SH,SL,1,
BlissSP,2019,bliss5,ag,prefire,,ceve,live,SH,SM,1,
BlissSP,2019,bliss8,nr,prefire,,ceve,live,SH,SL,10,
BlissSP,2019,bliss8,nr,prefire,,ceve,live,SH,SM,10,
BlissSP,2019,bliss8,nr,prefire,,ceve,live,SH,ST,1,
BlissSP,2019,bliss9,nr,prefire,,ceve,live,SH,SL,18,
BlissSP,2019,bliss9,nr,prefire,,ceve,live,SH,SM,13,
BlissSP,2019,bliss9,nr,prefire,,ceve,live,SH,ST,1,
BlissSP,2019,bliss10,ms,prefire,,chrsem,live,SH,SL,tr,
BlissSP,2019,bliss10,ms,prefire,,chrsem,live,SH,SM,1,
BlissSP,2019,bliss11,ms,prefire,,chrsem,live,SH,SL,1,
BlissSP,2019,bliss11,ms,prefire,,chrsem,live,SH,SM,2,
BlissSP,2019,bliss12,ms,prefire,,chrsem,live,SH,SL,5,
BlissSP,2019,bliss12,ms,prefire,,chrsem,live,SH,SM,4,
BlissSP,2019,bliss12,ms,prefire,,chrsem,dead,SH,SL,tr,
BlissSP,2019,bliss12,ms,prefire,,chrsem,dead,SH,SM,tr,
BlissSP,2019,bliss14,ms,prefire,,chrsem,live,SH,SL,1,
BlissSP,2019,bliss14,ms,prefire,,chrsem,live,SH,SM,tr,
BlissSP,2019,bliss15,ag,prefire,,chrsem,live,SH,SL,11,
BlissSP,2019,bliss15,ag,prefire,,chrsem,live,SH,SM,10,
BlissSP,2019,bliss3,ag,prefire,,chrsem,live,SH,SL,5,
BlissSP,2019,bliss3,ag,prefire,,chrsem,live,SH,SM,5,
BlissSP,2019,bliss5,ag,prefire,,chrsem,live,SH,SL,2,
BlissSP,2019,bliss5,ag,prefire,,chrsem,live,SH,SM,2,
BlissSP,2019,bliss6,nr,prefire,,chrsem,live,SH,SL,3,
BlissSP,2019,bliss9,nr,prefire,,chrsem,live,SH,SL,2,
BlissSP,2019,bliss9,nr,prefire,,chrsem,live,SH,SM,2,
BlissSP,2019,bliss12,ms,prefire,,gaydif,live,FB,,tr,
BlissSP,2019,bliss13,ms,prefire,,gaydif,live,FB,,tr,
BlissSP,2019,bliss14,ms,prefire,,gaydif,live,FB,,tr,
BlissSP,2019,bliss2,ag,prefire,,gaydif,live,FB,,tr,
BlissSP,2019,bliss9,nr,prefire,,gaydif,live,FB,,tr,
BlissSP,2019,bliss15,ag,prefire,,gaydif,live,FB,,tr,
BlissSP,2019,bliss11,ms,prefire,,pije,live,TR,TOV,5,
BlissSP,2019,bliss11,ms,prefire,,pije,live,TR,TSA,tr,
BlissSP,2019,bliss11,ms,prefire,,pije,live,TR,TSE,tr,
BlissSP,2019,bliss12,ms,prefire,,pije,live,TR,TOV,2,
BlissSP,2019,bliss13,ms,prefire,,pije,dead,TR,TOV,5,
BlissSP,2019,bliss14,ms,prefire,,pije,live,TR,TOV,4,
BlissSP,2019,bliss14,ms,prefire,,pije,live,TR,TSE,tr,
BlissSP,2019,bliss15,ag,prefire,,pije,live,TR,TOV,12,
BlissSP,2019,bliss3,ag,prefire,,pije,live,TR,TOV,2,
BlissSP,2019,bliss5,ag,prefire,,pije,live,TR,TOV,13,
