site,year,pre_post_fire,postTime,plotid,obs,species,status,lifeform,layer_code,percent,notes
bearmountain,2019,prefire,,BM15,nr,cade,dead,TR,TOV,0.5,
bearmountain,2019,prefire,,BM15,nr,chafol,live,SH,SL,50,
bearmountain,2019,prefire,,BM15,nr,chafol,live,SH,SM,20,
bearmountain,2019,prefire,,BM15,nr,commonforb,live,FB,,tr,
bearmountain,2019,prefire,,BM15,nr,droopygrass,live,FB,,tr,
bearmountain,2019,prefire,,BM15,nr,gayophytum,live,FB,,tr,
bearmountain,2019,prefire,,BM15,nr,grass2,live,GR,,tr,
bearmountain,2019,prefire,,BM15,nr,iris,live,FB,,tr,
bearmountain,2019,prefire,,BM15,nr,pipo,live,TR,TOV,5,
bearmountain,2019,prefire,,BM15,nr,puffspike,live,FB,,tr,
bearmountain,2019,prefire,,BM15,nr,quke,dead,TR,TOV,0.5,
bearmountain,2019,prefire,,BM15,nr,quke,live,TR,TRE,5,
bearmountain,2019,prefire,,BM15,nr,quke,live,TR,TOV,5,
bearmountain,2019,prefire,,BM15,nr,quke,live,TR,TSE,tr,
bearmountain,2019,prefire,,BM15,nr,salsco,live,TR,TSE,tr,
bearmountain,2019,prefire,,BM15,nr,softarrow,live,FB,,tr,
bearmountain,2019,prefire,,BM15,nr,tallflower,live,FB,,tr,
bearmountain,2019,prefire,,BM15,nr,tighttopgrass,live,FB,,tr,
bearmountain,2019,prefire,,BM15,nr,tinyfb,live,FB,,tr,
bearmountain,2019,prefire,,BM15,nr,unkblackseeds,live,FB,,tr,
bearmountain,2019,prefire,,BM15,nr,unkflw1,live,FB,,tr,
bearmountain,2019,prefire,,BM15,nr,unkhairyflw,live,FB,,tr,
bearmountain,2019,prefire,,BM15,nr,unkWforb,live,FB,,tr,
bearmountain,2019,prefire,,BM16,nr,4forb,live,FB,,tr,
bearmountain,2019,prefire,,BM16,nr,arcvis,live,SH,SL,0.5,
bearmountain,2019,prefire,,BM16,nr,arcvis,live,SH,SM,0.5,
bearmountain,2019,prefire,,BM16,nr,broele,live,FB,,tr,
bearmountain,2019,prefire,,BM16,nr,cade,live,TR,TOV,5,
bearmountain,2019,prefire,,BM16,nr,cade,live,TR,TSE,tr,
bearmountain,2019,prefire,,BM16,nr,cade,dead,TR,TOV,tr,
bearmountain,2019,prefire,,BM16,nr,cade,dead,TR,TOV,tr,
bearmountain,2019,prefire,,BM16,nr,chafol,live,SH,SL,70,
bearmountain,2019,prefire,,BM16,nr,chafol,live,SH,SM,30,
bearmountain,2019,prefire,,BM16,nr,commonforb,live,FB,,tr,
bearmountain,2019,prefire,,BM16,nr,droopygrass,live,GR,,tr,
bearmountain,2019,prefire,,BM16,nr,gayophytum,live,FB,,tr,
bearmountain,2019,prefire,,BM16,nr,grass3,live,GR,,tr,
bearmountain,2019,prefire,,BM16,nr,grass5,live,GR,,tr,
bearmountain,2019,prefire,,BM16,nr,grassspecies,live,GR,,tr,
bearmountain,2019,prefire,,BM16,nr,hairstrand,live,FB,,tr,
bearmountain,2019,prefire,,BM16,nr,longbladegrass,live,GR,,tr,
bearmountain,2019,prefire,,BM16,nr,lupine,live,FB,,tr,
bearmountain,2019,prefire,,BM16,nr,pipo,live,TR,TOV,17,
bearmountain,2019,prefire,,BM16,nr,pipo,live,TR,TSE,tr,
bearmountain,2019,prefire,,BM16,nr,pipo,dead,TR,TOV,tr,
bearmountain,2019,prefire,,BM16,nr,quke,live,TR,TOV,3,
bearmountain,2019,prefire,,BM16,nr,quke,live,TR,TSE,tr,
bearmountain,2019,prefire,,BM16,nr,quke,live,TR,TRE,tr,
bearmountain,2019,prefire,,BM16,nr,riro,live,SH,SL,tr,
bearmountain,2019,prefire,,BM16,nr,salsco,live,TR,TSE,tr,
bearmountain,2019,prefire,,BM16,nr,smallFgrass,live,GR,,tr,
bearmountain,2019,prefire,,BM16,nr,tallflower,live,FB,,tr,
bearmountain,2019,prefire,,BM16,nr,tighttopgrass,live,GR,,tr,
bearmountain,2019,prefire,,BM16,nr,unkflw1,live,FB,,tr,
bearmountain,2019,prefire,,BM16,nr,unkfuzzy,live,FB,,tr,
bearmountain,2019,prefire,,BM16,nr,unkhairyflw,live,FB,,tr,
bearmountain,2019,prefire,,BM16,nr,waxyfb,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,4forb,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,arcvis,live,SH,SL,15,
bearmountain,2019,prefire,,BM17,nr,arcvis,live,SH,SM,15,
bearmountain,2019,prefire,,BM17,nr,aster2,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,cade,live,TR,TSE,tr,
bearmountain,2019,prefire,,BM17,nr,chafol,live,SH,SL,35,
bearmountain,2019,prefire,,BM17,nr,chafol,live,SH,SM,30,
bearmountain,2019,prefire,,BM17,nr,commonforb,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,droopygrass,live,GR,,tr,
bearmountain,2019,prefire,,BM17,nr,flat2,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,gayophytum,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,gayophytum,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,grass3,live,GR,,tr,
bearmountain,2019,prefire,,BM17,nr,grassspecies,live,GR,,tr,
bearmountain,2019,prefire,,BM17,nr,hairstrand,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,iris,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,lupine,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,pipo,live,TR,TSE,1.5,
bearmountain,2019,prefire,,BM17,nr,puffspike,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,quke,live,TR,TSE,,
bearmountain,2019,prefire,,BM17,nr,quke,live,TR,TRE,4,
bearmountain,2019,prefire,,BM17,nr,quke,dead,TR,TOV,,
bearmountain,2019,prefire,,BM17,nr,salsco,live,TR,TSA,tr,
bearmountain,2019,prefire,,BM17,nr,salsco,live,TR,TSE,1.5,
bearmountain,2019,prefire,,BM17,nr,softarrow,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,tallflower,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,tighttopgrass,live,GR,,tr,
bearmountain,2019,prefire,,BM17,nr,tinyfb,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,tinyfb2,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,unkflw1,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,unkfuzzy,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,unkhairyflw,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,unkhorsetail,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,unkstrawberry,live,FB,,tr,
