site,plot_id,year,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff_depth_cm,litter_depth_cm,sum_d2_1000s_cm2,sum_d2_1000r_cm2
springsfire,springs20,2019,0,0,2,2,4,11.3,1,2,3,0.525,2.5,34.87493025,123.7533025
springsfire,springs20,2019,180,0,2,2,4,11.3,1,3,0,1,1.25,19.44316111,0
springsfire,springs20,2019,90,0,2,2,4,11.3,5,7,2,1.5,1,22.31995536,0
springsfire,springs20,2019,270,0,2,2,4,11.3,0,1,1,2,1,55.95488809,0
springsfire,springs21,2019,0,0,2,2,4,11.3,1,0,1,0,7.5,80.75483849,0
springsfire,springs21,2019,180,0,2,2,4,11.3,1,5,2,0,1.5,158.7196826,96.87480625
springsfire,springs21,2019,90,0,2,2,4,11.3,6,2,0,3.5,2.5,0,96.87480625
springsfire,springs21,2019,270,0,2,2,4,11.3,2,1,1,1,2,0,30.37993924
springsfire,springs22,2019,0,0,2,2,4,11.3,5,6,5,2,0.05,18.75496249,0
springsfire,springs22,2019,180,0,2,2,4,11.3,0,0,0,2.5,0.05,61.999876,0
springsfire,springs22,2019,90,0,2,2,4,11.3,8,3,0,2.5,0.525,0,0
springsfire,springs22,2019,270,0,2,2,4,11.3,5,7,1,2.5,1,0,15.499969
springsfire,springs23,2019,0,0,2,2,4,11.3,0,4,0,0,4.5,0,0
springsfire,springs23,2019,180,0,2,2,4,11.3,0,1,0,0,3,0,0
springsfire,springs23,2019,90,0,2,2,4,11.3,1,1,1,0,4.5,0,0
springsfire,springs23,2019,270,0,2,2,4,11.3,0,0,0,0,4.5,0,0
springsfire,springs24,2019,0,0,2,2,4,11.3,1,0,0,2,3.5,40.2999194,0
springsfire,springs24,2019,180,0,2,2,4,11.3,0,1,1,1.025,3,0,0
springsfire,springs24,2019,90,0,2,2,4,11.3,0,0,0,0.05,3.75,0,0
springsfire,springs24,2019,270,0,2,2,4,11.3,1,2,1,0.525,2,0,0
springsfire,springs25,2019,0,0,2,2,4,11.3,9,5,1,2,0.525,0,18.75496249
springsfire,springs25,2019,180,0,2,2,4,11.3,18,3,0,4,0.525,0,357.1192858
springsfire,springs25,2019,90,0,2,2,4,11.3,0,5,0,0,2,0,0
