site,year,plot_id,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,duff2_cm,litter2_cm,notes
springsfire,2019,springs13,0,0,2,2,4,11.3,0,4,2,0,1,1,2,
springsfire,2019,springs13,180,0,2,2,4,11.3,2,3,0,0,1,1,2,
springsfire,2019,springs13,90,0,2,2,4,11.3,0,0,1,0,0,0.05,4,
springsfire,2019,springs13,270,0,2,2,4,11.3,0,0,1,0,0,0.05,1.5,
springsfire,2019,springs14,0,0,2,2,4,11.3,0,1,0,0,2,0.05,1,
springsfire,2019,springs14,180,0,2,2,4,11.3,0,1,0,0,0.05,0,0.05,
springsfire,2019,springs14,90,0,2,2,4,11.3,0,3,4,0,5,0,0.05,
springsfire,2019,springs14,270,0,2,2,4,11.3,0,2,1,0,1,0,1.5,
springsfire,2019,springs15,0,0,2,2,4,11.3,4,3,2,0,2,0,1,
springsfire,2019,springs15,180,0,2,2,4,11.3,0,2,2,0,1,0,1,
springsfire,2019,springs15,90,0,2,2,4,11.3,,,,,,,,
springsfire,2019,springs15,270,0,2,2,4,11.3,15,3,1,0,0.05,0,0.05,
springsfire,2019,springs16,0,0,2,2,4,11.3,3,7,1,0,6,0,3,
springsfire,2019,springs16,180,0,2,2,4,11.3,2,5,2,0,1,0,1,
springsfire,2019,springs16,90,0,2,2,4,11.3,0,0,0,0,0.05,0,0.05,
springsfire,2019,springs16,270,0,2,2,4,11.3,1,0,0,0,0.05,0,1,
springsfire,2019,springs17,0,0,2,2,4,11.3,0,10,6,0,1,0,4,
springsfire,2019,springs17,180,0,2,2,4,11.3,0,1,0,0,0.05,0,0.05,
springsfire,2019,springs17,90,0,2,2,4,11.3,0,1,1,0,0.05,0,0.05,
springsfire,2019,springs17,270,0,2,2,4,11.3,2,0,0,0,0.05,0,1,
springsfire,2019,springs18,0,0,2,2,4,11.3,0,0,0,0,0,0,0.05,
springsfire,2019,springs18,180,0,2,2,4,11.3,4,1,0,0,0.05,0,0,
springsfire,2019,springs18,90,0,2,2,4,11.3,3,0,0,0,3.25,0,1,
springsfire,2019,springs18,270,0,2,2,4,11.3,1,1,1,0,0.5,0.05,3,
springsfire,2019,springs19,0,0,2,2,4,11.3,1,0,0,0,2,0,2,
springsfire,2019,springs19,180,0,2,2,4,11.3,1,1,0,0,2,1,2,
springsfire,2019,springs19,90,0,2,2,4,11.3,6,0,4,0.5,0.5,0,0,
springsfire,2019,springs19,270,0,2,2,4,11.3,1,4,0,0,0.05,0,0,
springsfire,2019,springs20,0,0,2,2,4,11.3,0,1,1,0,1,0,1,
springsfire,2019,springs20,180,0,2,2,4,11.3,0,0,1,0,2,0,1,
springsfire,2019,springs20,90,0,2,2,4,11.3,0,0,0,0,0,0,0.05,
springsfire,2019,springs20,270,0,2,2,4,11.3,2,0,0,0,0.05,0,0.05,
springsfire,2019,springs21,0,0,2,2,4,11.3,0,0,0,1,2,1,1,
springsfire,2019,springs21,180,0,2,2,4,11.3,0,0,0,1,1,0.05,0.05,
springsfire,2019,springs21,90,0,2,2,4,11.3,0,0,0,0,1,0,1,
springsfire,2019,springs21,270,0,2,2,4,11.3,3,0,0,0,0,0,1,
springsfire,2019,springs22,0,0,2,2,4,11.3,0,1,1,0.05,1,0,2,
springsfire,2019,springs22,180,0,2,2,4,11.3,0,1,1,0.05,0.05,0,0.05,
springsfire,2019,springs22,90,0,2,2,4,11.3,0,3,0,0,1.75,0,2.5,
springsfire,2019,springs22,270,0,2,2,4,11.3,0,7,1,0.05,3.1,0.05,0.5,
