plotid_time,antros,BOEPLA,ARAHOL,boechera,artr,boragespp,calumb,casapp,mimnan,elci,ELYELY,ELYMUL,eridav,eridis,ERILAN,erinud,erisuf,eriumb,erycap,gaydif,gayram,grass19,liapun,luparb,luparg,luplep,penspe,phabol,phahas,purtri,rice,steexi,steten,symrot,ANTROS,ARTR,boechera1,boechera2,boechera3,BROTEC,carex,carex1,carex2,cryptanthasmall,cryptanthatall,MIMNAN,ELYGLA,ERIDIS,ERINUD,ERISPU,ERISUF,ERIUMB,ERIWIL,ERYCAP,GAYDIF,GAYRAM,LIAPUN,LUPARB,LUPARG,LUPDUR,lupine,LUPLEP,mycroseris,PENPAT,penstemon,PHAHAS,PRUNUS,PURTRI,RIVI,SPEARV,STEEXI,stipa,stipa1,stipa2,SYMROT
springs15 postfire,0,0,0,0.05,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.05,0.5,0,0,0,0,0,0,0,0.05,0,0.1,0,0,0,0,0,0,0,0,0.05,0,12.05,0,0.05,0,0,0,0,0
springs18 postfire,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.05,0,0,0,0,0,0,0.05,0,0.05,0,0.05,0,0.05,0,0.05,0,0,0,0,0.05,0,0,0,1,0,0.1,0,0,0,0,0
springs21 postfire,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.05,0,0,0,2,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0,0,0
springs26 postfire,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0.05,0,0,0,0
springs27 postfire,0,0,0,0.05,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0.1,0.05,0.05,0,0,0,0
springs29 postfire,0,0,0,0.05,0,0,0.05,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0.05,0,1,0,0,0,0,0,0,0,0,0.05,0,4,0,0,0,0,2,0,0
springs31 postfire,0,0,0,0.05,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0
springs34 postfire,0,0,0,0.05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0
springs3 postfire,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0
springs4 postfire,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0.05,0,16,0,0,0,0,0.05,0,0
