plotid_time,status,species,BA_m2_sum,n_trees,mean_dbh_cm,max_dbh_cm,min_dbh_cm,mean_ht2c,mean_ht,mean_ht2d,n_trees_ha,BA_m2_ha,plotid
springs39 prefire na,stump,pico,,1,,,,,,,4.04686,,springs39 prefire na
springs39 prefire na,stump,pije,,3,,,,,,,12.14058,,springs39 prefire na
springs4 prefire na,live,pije,0.389212699,3,40.63333333,41.5,39.4,3,11.86666667,,12.14058,1.575089304,springs4 prefire na
springs4 prefire na,stump,pije,,4,,,,,,,16.18744,,springs4 prefire na
springs40 postfire 1yr,dead,PICO,0.048695472,1,24.9,24.9,24.9,,8.9,0,4.04686,0.197063756,springs40 postfire 1yr
springs40 postfire 1yr,dead,PIJE,0.006792909,1,9.3,9.3,9.3,,3.2,0.3,4.04686,0.027489951,springs40 postfire 1yr
springs40 postfire 1yr,live,PICO,0.160932796,4,22.4,27.5,18.5,2.5,5.475,0.15,16.18744,0.651272495,springs40 postfire 1yr
springs40 postfire 1yr,live,PIJE,0.239229139,2,32.7,54,11.4,3.35,9.95,0.85,8.09372,0.968126833,springs40 postfire 1yr
springs40 prefire na,live,pico,0.213417225,5,23.07,27.4,18.2,1.2,5.98,0.17,20.2343,0.86366963,springs40 prefire na
springs40 prefire na,live,pije,0.248021868,3,24.98333333,54.25,9.8,2.133333333,7.466666667,0.6,12.14058,1.003709776,springs40 prefire na
springs40 prefire na,stump,pije,,3,,,,,,,12.14058,,springs40 prefire na
springs41 prefire ,live,PIJE,1.741577427,8,51.80625,68,38.15,3.775,16.85,2.475,32.37488,7.047920025,springs41 prefire 
springs42 prefire ,live,PIJE,0.786299015,4,49.425,58.5,38,4.975,13.9,2.45,16.18744,3.182042032,springs42 prefire 
springs43 prefire ,live,PIJE,0.805016624,15,24.42,40.9,9.1,2.96,7.98,1.36,60.7029,3.257789575,springs43 prefire 
springs44 prefire ,dead,PIJE,0.147934456,1,43.4,43.4,43.4,,12.9,2,4.04686,0.598670034,springs44 prefire 
springs44 prefire ,live,PIJE,1.510239772,10,42.65,61.7,27.2,6.81,16.25,3.45,40.4686,6.111728925,springs44 prefire 
springs45 prefire ,live,PIJE,0.89443499,4,51.4,65.4,29.2,3.075,14.4,0.45,16.18744,3.619653185,springs45 prefire 
springs46 prefire ,live,PICO,0.25837479,2,39.75,47.8,31.7,2.85,16.05,1.25,8.09372,1.045606603,springs46 prefire 
springs46 prefire ,live,PIJE ,0.971385946,4,54.975,65.4,45.9,3.9,18.225,1.9,16.18744,3.931062931,springs46 prefire 
springs47 prefire ,live,PIJE,0.95135201,5,47.5,65.5,26.9,4.06,13.82,1.9,20.2343,3.849988395,springs47 prefire 
springs48 prefire ,live,PIJE ,0.718162583,3,54.96666667,62.2,50.5,3.766666667,17.6,2.6,12.14058,2.90630343,springs48 prefire 
springs49 prefire ,live,PIJE,1.473847563,6,54.05,72.1,36.6,7.516666667,17.6,3.116666667,24.28116,5.964454748,springs49 prefire 
