plot_id,fuel_size,mass
fm19-2,mass_cwd_sound,2.29437190257203
fm19-2,mass_cwd_rotten,32.3285072379762
fm19-20,mass_1hr,0.978829905270787
fm19-20,mass_10hr,6.2207978131094
fm19-20,mass_100hr,5.12152546360277
fm19-20,mass_cwd_sound,10.8441956986432
fm19-20,mass_cwd_rotten,0.595860506300208
fm19-21,mass_1hr,0.266271864432815
fm19-21,mass_10hr,1.69873220355593
fm19-21,mass_100hr,3.66148305120547
fm19-21,mass_cwd_sound,13.3726933034934
fm19-21,mass_cwd_rotten,4.08565272233281
fm19-3,mass_1hr,0.489257452036229
fm19-3,mass_10hr,3.26318912671565
fm19-3,mass_100hr,2.82282796428689
fm19-3,mass_cwd_sound,46.1271105819842
fm19-3,mass_cwd_rotten,45.6402535008657
fm19-4,mass_1hr,0.266809545282155
fm19-4,mass_10hr,2.12770305150504
fm19-4,mass_100hr,2.5399915320735
fm19-4,mass_cwd_sound,33.9532861130712
fm19-4,mass_cwd_rotten,
fm19-5,mass_1hr,1.22780915266242
fm19-5,mass_10hr,5.45009915307527
fm19-5,mass_100hr,2.53487288160378
fm19-5,mass_cwd_sound,4.74941048637739
fm19-5,mass_cwd_rotten,
fm19-6,mass_1hr,0.0722772524641039
fm19-6,mass_10hr,1.31051330539654
fm19-6,mass_100hr,0.579427259210314
fm19-6,mass_cwd_sound,
fm19-6,mass_cwd_rotten,
fm19-7,mass_1hr,0.491158599984369
fm19-7,mass_10hr,3.06222552779739
fm19-7,mass_100hr,1.41689842961576
fm19-7,mass_cwd_sound,15.8408734953824
fm19-7,mass_cwd_rotten,13.1023341945221
fm19-8,mass_1hr,0.543818443352094
fm19-8,mass_10hr,3.83078876785505
fm19-8,mass_100hr,1.15046212261756
fm19-8,mass_cwd_sound,7.59492805383243
fm19-8,mass_cwd_rotten,39.7627893772516
fm19-9,mass_1hr,0.426729957426443
fm19-9,mass_10hr,1.87918238299378
fm19-9,mass_100hr,0
fm19-9,mass_cwd_sound,
fm19-9,mass_cwd_rotten,2.11746332113857
