site,plotid,fuelType,prefire_,postfire_immediate,consumption_immediate
bearmountain,bm27,mass_cwd_sound,26.8293030451472,17.9609060213128,8.86839702383438
bearmountain,bm27,mass_cwd_rotten,0,0.909699179287859,-0.909699179287859
bearmountain,bm27,total_fine,3.56784785117967,2.21908193194192,1.34876591923775
bearmountain,bm27,total_cwd,26.8293030451472,18.8706052006007,7.95869784454652
bearmountain,bm27,total_fuel,34.6774087343487,23.821153481794,10.8562552525547
bearmountain,bm27,duff_load,0.974050873411978,0.885500794010889,0.0885500794010889
bearmountain,bm27,litter_load,3.3062069646098,1.84596555524047,1.46024140936933
bearmountain,bm27,litter_depth_cm,2.25,1.25625,0.99375
bearmountain,bm27,duff_depth_cm,0.1375,0.125,0.0125
bearmountain,bm3,mass_1hr,0.0570011662379571,0.0114002332475914,0.0456009329903657
bearmountain,bm3,mass_10hr,0.569876215710412,0.341925729426247,0.227950486284165
bearmountain,bm3,mass_100hr,9.88330058571515,1.74411186806738,8.13918871764777
bearmountain,bm3,mass_cwd_sound,33.3377820458138,19.4587616723105,13.8790203735034
bearmountain,bm3,mass_cwd_rotten,1.57382581150924,0,1.57382581150924
bearmountain,bm3,total_fine,10.5101779676635,2.09743783074122,8.4127401369223
bearmountain,bm3,total_cwd,34.9116078573231,19.4587616723105,15.4528461850126
bearmountain,bm3,total_fuel,82.2898774316924,26.1306612167526,56.1592162149398
bearmountain,bm3,duff_load,11.6324532607195,0.704997167316332,10.9274560934031
bearmountain,bm3,litter_load,25.2356383459863,3.86946454638457,21.3661737996018
bearmountain,bm3,litter_depth_cm,6.5625,1.00625,5.55625
bearmountain,bm3,duff_depth_cm,2.0625,0.125,1.9375
bearmountain,bm4,mass_1hr,0.265185680945187,0.0843772621189232,0.180808418826264
bearmountain,bm4,mass_10hr,0.321714487161631,0.428952649548842,-0.10723816238721
bearmountain,bm4,mass_100hr,0,0,0
bearmountain,bm4,mass_cwd_sound,3.38715546272005,0,3.38715546272005
bearmountain,bm4,mass_cwd_rotten,0,0,0
bearmountain,bm4,total_fine,0.586900168106819,0.513329911667765,0.0735702564390537
bearmountain,bm4,total_cwd,3.38715546272005,0,3.38715546272005
bearmountain,bm4,total_fuel,28.7906077054791,4.00444490423697,24.7861628012421
bearmountain,bm4,duff_load,14.2800607952875,0.791139102231993,13.4889216930555
bearmountain,bm4,litter_load,10.5364912793647,2.69997589033721,7.83651538902751
bearmountain,bm4,litter_depth_cm,3,0.76875,2.23125
bearmountain,bm4,duff_depth_cm,2.25625,0.125,2.13125
bearmountain,bm5,mass_1hr,0.298710043316395,0.085345726661827,0.213364316654568
bearmountain,bm5,mass_10hr,0.62069079668271,0.20689693222757,0.41379386445514
bearmountain,bm5,mass_100hr,4.57393470761797,0.762322451269661,3.81161225634831
bearmountain,bm5,mass_cwd_sound,0,10.5490362367864,-10.5490362367864
bearmountain,bm5,mass_cwd_rotten,0,8.75399340290979,-8.75399340290979
bearmountain,bm5,total_fine,5.49333554761707,1.05456511015906,4.43877043745801
bearmountain,bm5,total_cwd,0,19.3030296396962,-19.3030296396962
