site,plotid,year,pre_post_fire,postTime,plot_id_time,azimuth,duff_depth_cm,litter_depth_cm,fuel_depth_cm,mass_1hr,mass_10hr,mass_100hr,mass_cwd_sound,mass_cwd_rotten,total_fine,total_cwd,total_fuel,site_plotid_time
antelope,Antelope15,2020,prefire,"",Antelope15 prefire NA,180,1.65,1.35,2.7,0,0.112608120865014,0,0,0,0.112608120865014,0,0.112608120865014,antelope Antelope15 prefire 
antelope,Antelope15,2020,prefire,"",Antelope15 prefire NA,270,0.15,0,2.7,0,0.112608120865014,0.448094598597808,0,0,0.560702719462822,0,0.560702719462822,antelope Antelope15 prefire 
antelope,Antelope15,2020,prefire,"",Antelope15 prefire NA,90,4.45,4.65,7.65,0.00588367690332774,0.112608120865014,0,0,0,0.118491797768342,0,0.118491797768342,antelope Antelope15 prefire 
antelope,Antelope16,2020,prefire,"",Antelope16 prefire NA,0,35.1,1.75,12.15,0.00588367690332774,0.225216241730029,0,0,0,0.231099918633356,0,0.231099918633356,antelope Antelope16 prefire 
antelope,Antelope16,2020,prefire,"",Antelope16 prefire NA,180,11.6,0.25,2.9,0.00588367690332774,0,0,0,0,0.00588367690332774,0,0.00588367690332774,antelope Antelope16 prefire 
antelope,Antelope16,2020,prefire,"",Antelope16 prefire NA,270,4.85,1,6.525,0.023534707613311,0.225216241730029,0,0,0,0.24875094934334,0,0.24875094934334,antelope Antelope16 prefire 
antelope,Antelope16,2020,prefire,"",Antelope16 prefire NA,90,12.4,0.75,33.65,0,0,0,5.14160978307792,0,0,2.08162339395867,2.08162339395867,antelope Antelope16 prefire 
antelope,Antelope17,2020,prefire,"",Antelope17 prefire NA,0,0.15,0.05,0.3,0.00588367690332774,0.112608120865014,0,0,0,0.118491797768342,0,0.118491797768342,antelope Antelope17 prefire 
antelope,Antelope17,2020,prefire,"",Antelope17 prefire NA,180,1.85,0.55,2,0.12944089187321,0,0,0,0,0.12944089187321,0,0.12944089187321,antelope Antelope17 prefire 
antelope,Antelope17,2020,prefire,"",Antelope17 prefire NA,270,5.75,1.7,7.65,0.0117673538066555,0,0.896189197195616,0,0,0.907956551002271,0,0.907956551002271,antelope Antelope17 prefire 
