site_plotid,SG_plot_x1h,SG_plot_x10h,SG_plot_x100h,SG_plot_x1000s
bearmountain_bm16,0.5499196861109119,0.5585089428278062,0.5252590056689497,0.45106260657954844
bearmountain_bm18,0.5790072874776939,0.5696690958258981,0.5283454791294899,0.46768367078128575
bearmountain_bm18,0.5786306109768041,0.5695435369922679,0.5277176849613404,0.46680475894587675
bearmountain_bm19,0.5765679669847239,0.568855988994908,0.5242799449745399,0.4619919229643558
bearmountain_bm19,0.5768799324765705,0.5689599774921901,0.524799887460951,0.46271984244533126
bearmountain_bm2,0.560184618243436,0.563394872747812,0.4969743637390599,0.4237641092346839
bearmountain_bm2,0.5604999355914495,0.5634999785304832,0.4974998926524157,0.42449984971338195
bearmountain_bm20,0.5749459676946815,0.5683153225648938,0.5215766128244692,0.458207257954257
bearmountain_bm20,0.5752861843593636,0.5684287281197878,0.5221436405989394,0.4590010968385151
bearmountain_bm21,0.58,0.57,0.53,0.47
bearmountain_bm21,0.58,0.57,0.53,0.47
bearmountain_bm22,0.55,0.56,0.48,0.4
bearmountain_bm22,0.5564735143210665,0.5621578381070222,0.49078919053511083,0.41510486674915514
bearmountain_bm24,0.5617363192407858,0.5639121064135952,0.49956053206797646,0.42738474489516703
bearmountain_bm24,0.5676003478807059,0.5658667826269019,0.5093339131345098,0.4410674783883138
bearmountain_bm25,0.55,0.56,0.48,0.4
bearmountain_bm25,0.55,0.56,0.48,0.4
bearmountain_bm3,0.5965345321018775,0.6030690642037551,0.5796035963056326,0.3707928073887346
bearmountain_bm3,0.5951200988082254,0.6002401976164508,0.5753602964246761,0.3792794071506477
bearmountain_bm4,0.5664712801115872,0.5654904267038624,0.5074521335193121,0.4384329869270368
bearmountain_bm4,0.5690264364472234,0.5663421454824078,0.511710727412039,0.44439501837685463
bearmountain_bm5,0.5640948967879327,0.5646982989293109,0.5034914946465545,0.4328880925051763
bearmountain_bm5,0.58,0.57,0.53,0.47
bearmountain_bm6,0.58,0.57,0.53,0.47
bearmountain_bm6,0.58,0.57,0.53,0.47
bearmountain_bm7,0.5698843699276652,0.5666281233092217,0.5131406165461087,0.4463968631645522
bearmountain_bm7,0.5704259634066655,0.5668086544688885,0.5140432723444425,0.4476605812822194
bearmountain_bm8,0.5714176746028746,0.5671392248676249,0.5156961243381244,0.4499745740733742
blisssp_bliss1,0.53,0.54,0.57,0.32
blisssp_bliss10,0.5556738791873181,0.5606028135259716,0.5446446716932671,0.36627669271329
blisssp_bliss11,0.5321798565934233,0.5435883234337044,0.5646399002937772,0.3505730478423842
blisssp_bliss12,0.5847411685496425,0.5863930201346861,0.5228316001886637,0.4319895041574374
blisssp_bliss13,0.550013564508131,0.5562535629070743,0.5533826592217531,0.35881357251341445
blisssp_bliss14,0.5450179256253749,0.5535095652588677,0.55549580750341,0.3624522722123513
blisssp_bliss15,0.5456432045798448,0.5567524800115414,0.5495310437934545,0.4044263513214432
blisssp_bliss2,0.551435589399313,0.556003036772654,0.5524027166043972,0.36859835253260836
blisssp_bliss3,0.53,0.5418325654063513,0.5663348691872976,0.3474884810952683
blisssp_bliss4,0.5759494835790099,0.574453237456615,0.5322570492354775,0.423430714190984
blisssp_bliss5,0.5707175762622687,0.5757389699788185,0.5324533735942537,0.4217637362180773
blisssp_bliss6,0.5579442295561654,0.5650620769157976,0.5419193101888095,0.4003461596906648
blisssp_bliss7,0.5401300936799764,0.5529007775168059,0.5522010420884966,0.41018661213250185
blisssp_bliss8,0.5299999999999999,0.540949500358179,0.5681009992836414,0.3342425053726871
blisssp_bliss9,0.5511077639903373,0.5575898033252812,0.5524101966747188,0.3586975673156185
