site,plotid,year,pre_post_fire,postTime,fuelType,mass_mgha
antelope,antelope13,2020,prefire,"",mass_cwd_sound,4.18432822763921
antelope,antelope13,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope13,2020,prefire,"",total_fine,4.60006533575318
antelope,antelope13,2020,prefire,"",total_cwd,4.18432822763921
antelope,antelope13,2020,prefire,"",total_fuel,22.3876591611692
antelope,antelope13,2020,prefire,"",duff_load,10.451287571461
antelope,antelope13,2020,prefire,"",litter_load,3.15197802631579
antelope,antelope13,2020,prefire,"",litter_depth_cm,2.175
antelope,antelope13,2020,prefire,"",duff_depth_cm,1.5125
antelope,antelope13,2020,prefire,"",fuel_depth_cm,3.5375
antelope,antelope14,2020,prefire,"",mass_1hr,0.149001720735027
antelope,antelope14,2020,prefire,"",mass_10hr,0.693827557849365
antelope,antelope14,2020,prefire,"",mass_100hr,2.77183050816697
antelope,antelope14,2020,prefire,"",mass_cwd_sound,5.651441119726
antelope,antelope14,2020,prefire,"",mass_cwd_rotten,15.36020375263
antelope,antelope14,2020,prefire,"",total_fine,3.61465978675136
antelope,antelope14,2020,prefire,"",total_cwd,21.011644872356
antelope,antelope14,2020,prefire,"",total_fuel,87.7929218993523
antelope,antelope14,2020,prefire,"",duff_load,60.7211170474138
antelope,antelope14,2020,prefire,"",litter_load,2.44550019283122
antelope,antelope14,2020,prefire,"",litter_depth_cm,1.6875
antelope,antelope14,2020,prefire,"",duff_depth_cm,8.7875
antelope,antelope14,2020,prefire,"",fuel_depth_cm,19.0625
antelope,antelope15,2020,prefire,"",mass_1hr,0.0229233416515427
antelope,antelope15,2020,prefire,"",mass_10hr,0.396472890199637
antelope,antelope15,2020,prefire,"",mass_100hr,0.692957627041742
antelope,antelope15,2020,prefire,"",mass_cwd_sound,0
antelope,antelope15,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope15,2020,prefire,"",total_fine,1.11235385889292
antelope,antelope15,2020,prefire,"",total_cwd,0
antelope,antelope15,2020,prefire,"",total_fuel,15.6628523060345
antelope,antelope15,2020,prefire,"",duff_load,11.8332760106624
antelope,antelope15,2020,prefire,"",litter_load,2.71722243647913
antelope,antelope15,2020,prefire,"",litter_depth_cm,1.875
antelope,antelope15,2020,prefire,"",duff_depth_cm,1.7125
antelope,antelope15,2020,prefire,"",fuel_depth_cm,3.7
antelope,antelope16,2020,prefire,"",mass_1hr,0.0687700249546279
antelope,antelope16,2020,prefire,"",mass_10hr,0.396472890199637
antelope,antelope16,2020,prefire,"",mass_100hr,0
antelope,antelope16,2020,prefire,"",mass_cwd_sound,12.9136499355556
antelope,antelope16,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope16,2020,prefire,"",total_fine,0.465242915154265
antelope,antelope16,2020,prefire,"",total_cwd,12.9136499355556
antelope,antelope16,2020,prefire,"",total_fuel,125.210204927616
antelope,antelope16,2020,prefire,"",duff_load,110.472700858666
antelope,antelope16,2020,prefire,"",litter_load,1.35861121823956
antelope,antelope16,2020,prefire,"",litter_depth_cm,0.9375
antelope,antelope16,2020,prefire,"",duff_depth_cm,15.9875
antelope,antelope16,2020,prefire,"",fuel_depth_cm,13.80625
antelope,antelope17,2020,prefire,"",mass_1hr,0.320926783121597
antelope,antelope17,2020,prefire,"",mass_10hr,0.0991182225499093
antelope,antelope17,2020,prefire,"",mass_100hr,1.38591525408348
antelope,antelope17,2020,prefire,"",mass_cwd_sound,0
antelope,antelope17,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope17,2020,prefire,"",total_fine,1.80596025975499
antelope,antelope17,2020,prefire,"",total_cwd,0
antelope,antelope17,2020,prefire,"",total_fuel,16.2000033666062
antelope,antelope17,2020,prefire,"",duff_load,13.5607615596642
antelope,antelope17,2020,prefire,"",litter_load,0.833281547186933
antelope,antelope17,2020,prefire,"",litter_depth_cm,0.575
antelope,antelope17,2020,prefire,"",duff_depth_cm,1.9625
antelope,antelope17,2020,prefire,"",fuel_depth_cm,2.9125
antelope,antelope18,2020,prefire,"",mass_1hr,0.0687700249546279
antelope,antelope18,2020,prefire,"",mass_10hr,0.396472890199637
antelope,antelope18,2020,prefire,"",mass_100hr,2.07887288112523
antelope,antelope18,2020,prefire,"",mass_cwd_sound,24.5313501497679
antelope,antelope18,2020,prefire,"",mass_cwd_rotten,12.6608721070299
antelope,antelope18,2020,prefire,"",total_fine,2.54411579627949
antelope,antelope18,2020,prefire,"",total_cwd,37.1922222567978
antelope,antelope18,2020,prefire,"",total_fuel,127.752080975037
antelope,antelope18,2020,prefire,"",duff_load,83.3511777393376
antelope,antelope18,2020,prefire,"",litter_load,4.6645651826225
antelope,antelope18,2020,prefire,"",litter_depth_cm,3.21875
antelope,antelope18,2020,prefire,"",duff_depth_cm,12.0625
antelope,antelope18,2020,prefire,"",fuel_depth_cm,14.425
antelope,antelope19,2020,prefire,"",mass_1hr,0.217771745689655
antelope,antelope19,2020,prefire,"",mass_10hr,1.090300448049
antelope,antelope19,2020,prefire,"",mass_100hr,0
antelope,antelope19,2020,prefire,"",mass_cwd_sound,4.18432822763921
antelope,antelope19,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope19,2020,prefire,"",total_fine,1.30807219373866
antelope,antelope19,2020,prefire,"",total_cwd,4.18432822763921
antelope,antelope19,2020,prefire,"",total_fuel,11.6449105382109
antelope,antelope19,2020,prefire,"",duff_load,4.23233959505445
antelope,antelope19,2020,prefire,"",litter_load,1.92017052177858
antelope,antelope19,2020,prefire,"",litter_depth_cm,1.325
antelope,antelope19,2020,prefire,"",duff_depth_cm,0.6125
antelope,antelope19,2020,prefire,"",fuel_depth_cm,2.475
bearmountain,bm1,2019,postfire,immediate,mass_1hr,0.113616017163928
bearmountain,bm1,2019,postfire,immediate,mass_10hr,1.05240622868478
bearmountain,bm1,2019,postfire,immediate,mass_100hr,0.767035509485788
bearmountain,bm1,2019,postfire,immediate,mass_cwd_sound,0
bearmountain,bm1,2019,postfire,immediate,mass_cwd_rotten,0
bearmountain,bm1,2019,postfire,immediate,total_fine,1.9330577553345
bearmountain,bm1,2019,postfire,immediate,total_cwd,0
bearmountain,bm1,2019,postfire,immediate,total_fuel,10.4383327091135
bearmountain,bm1,2019,postfire,immediate,duff_load,1.64019521445607
bearmountain,bm1,2019,postfire,immediate,litter_load,6.86507973932293
bearmountain,bm1,2019,postfire,immediate,litter_depth_cm,1.81875
bearmountain,bm1,2019,postfire,immediate,duff_depth_cm,0.25625
bearmountain,bm1,2019,prefire,"",mass_1hr,0.0681696102983567
bearmountain,bm1,2019,prefire,"",mass_10hr,0.631443737210871
bearmountain,bm1,2019,prefire,"",mass_100hr,1.53407101897158
bearmountain,bm1,2019,prefire,"",mass_cwd_sound,1.27092745967355
bearmountain,bm1,2019,prefire,"",mass_cwd_rotten,0
bearmountain,bm1,2019,prefire,"",total_fine,2.2336843664808
bearmountain,bm1,2019,prefire,"",total_cwd,1.27092745967355
bearmountain,bm1,2019,prefire,"",total_fuel,11.6221374138039
bearmountain,bm1,2019,prefire,"",duff_load,1.04012379453312
bearmountain,bm1,2019,prefire,"",litter_load,7.07740179311643
bearmountain,bm1,2019,prefire,"",litter_depth_cm,1.875
bearmountain,bm1,2019,prefire,"",duff_depth_cm,0.1625
bearmountain,bm1,2021,postfire,2yr,mass_1hr,0.0454464068655711
bearmountain,bm1,2021,postfire,2yr,mass_10hr,0.736684360079349
bearmountain,bm1,2021,postfire,2yr,mass_100hr,0.767035509485788
bearmountain,bm1,2021,postfire,2yr,mass_cwd_sound,0
bearmountain,bm1,2021,postfire,2yr,mass_cwd_rotten,0
bearmountain,bm1,2021,postfire,2yr,total_fine,1.54916627643071
bearmountain,bm1,2021,postfire,2yr,total_cwd,0
bearmountain,bm1,2021,postfire,2yr,total_fuel,9.38149092747955
bearmountain,bm1,2021,postfire,2yr,duff_load,0
bearmountain,bm1,2021,postfire,2yr,litter_load,7.83232465104885
bearmountain,bm1,2021,postfire,2yr,litter_depth_cm,2.075
bearmountain,bm1,2021,postfire,2yr,duff_depth_cm,0
bearmountain,bm1,2021,postfire,2yr,fuel_depth_cm,1.9
bearmountain,bm10,2019,postfire,immediate,mass_1hr,0.032032271323862
bearmountain,bm10,2019,postfire,immediate,mass_10hr,0
bearmountain,bm10,2019,postfire,immediate,mass_100hr,2.78144632476185
bearmountain,bm10,2019,postfire,immediate,mass_cwd_sound,12.6135901114866
bearmountain,bm10,2019,postfire,immediate,mass_cwd_rotten,0.91004046909816
bearmountain,bm10,2019,postfire,immediate,total_fine,2.81347859608571
bearmountain,bm10,2019,postfire,immediate,total_cwd,13.5236305805848
bearmountain,bm10,2019,postfire,immediate,total_fuel,19.2150197403752
bearmountain,bm10,2019,postfire,immediate,duff_load,0.442858494185397
bearmountain,bm10,2019,postfire,immediate,litter_load,2.43505206951931
bearmountain,bm10,2019,postfire,immediate,litter_depth_cm,1.24375
bearmountain,bm10,2019,postfire,immediate,duff_depth_cm,0.075
bearmountain,bm10,2019,prefire,"",mass_1hr,0.032032271323862
bearmountain,bm10,2019,prefire,"",mass_10hr,0.238564249221088
bearmountain,bm10,2019,prefire,"",mass_100hr,0.695361581190462
bearmountain,bm10,2019,prefire,"",mass_cwd_sound,13.2767945875338
bearmountain,bm10,2019,prefire,"",mass_cwd_rotten,0
bearmountain,bm10,2019,prefire,"",total_fine,0.965958101735412
bearmountain,bm10,2019,prefire,"",total_cwd,13.2767945875338
bearmountain,bm10,2019,prefire,"",total_fuel,20.0794232517426
bearmountain,bm10,2019,prefire,"",duff_load,2.28810221995789
bearmountain,bm10,2019,prefire,"",litter_load,3.54856834251557
bearmountain,bm10,2019,prefire,"",litter_depth_cm,1.8125
bearmountain,bm10,2019,prefire,"",duff_depth_cm,0.3875
bearmountain,bm10,2021,postfire,2yr,mass_1hr,0.16016135661931
bearmountain,bm10,2021,postfire,2yr,mass_10hr,0.834974872273807
bearmountain,bm10,2021,postfire,2yr,mass_100hr,2.08608474357139
bearmountain,bm10,2021,postfire,2yr,mass_cwd_sound,7.08434513110893
bearmountain,bm10,2021,postfire,2yr,mass_cwd_rotten,0
bearmountain,bm10,2021,postfire,2yr,total_fine,3.0812209724645
bearmountain,bm10,2021,postfire,2yr,total_cwd,7.08434513110893
bearmountain,bm10,2021,postfire,2yr,total_fuel,14.081227722901
bearmountain,bm10,2021,postfire,2yr,duff_load,0
bearmountain,bm10,2021,postfire,2yr,litter_load,3.91566161932753
bearmountain,bm10,2021,postfire,2yr,litter_depth_cm,2
bearmountain,bm10,2021,postfire,2yr,duff_depth_cm,0
bearmountain,bm10,2021,postfire,2yr,fuel_depth_cm,1.9625
bearmountain,bm11,2019,postfire,immediate,mass_1hr,0.239553184361972
bearmountain,bm11,2019,postfire,immediate,mass_10hr,0.307672938016486
bearmountain,bm11,2019,postfire,immediate,mass_100hr,0.781436148783575
