site,plotid,fuelType,prefire_NA,postfire_immediate,consumption_immediate
frenchmeadows,FM19-3,litter_depth_cm,3.13125,1,2.13125
frenchmeadows,FM19-3,duff_depth_cm,7.125,1,6.125
frenchmeadows,FM19-6,mass_1hr,0.22860404157508699,0.10764728945619696,0.12095675211889002
frenchmeadows,FM19-6,mass_10hr,1.8641239868705124,0.20856112729375434,1.655562859576758
frenchmeadows,FM19-6,mass_100hr,1.471029117148177,0,1.471029117148177
frenchmeadows,FM19-6,mass_cwd_sound,0,0,0
frenchmeadows,FM19-6,mass_cwd_rotten,0,0,0
frenchmeadows,FM19-6,total_fine,3.563757145593777,0.3162084167499513,3.2475487288438254
frenchmeadows,FM19-6,total_cwd,0,0,0
frenchmeadows,FM19-6,total_fuel,13.340502079937291,10.385000206278967,2.9555018736583243
frenchmeadows,FM19-6,duff_load,7.774886240352021,7.170172866102421,0.6047133742496005
frenchmeadows,FM19-6,litter_load,2.001858693991493,2.8986189234265964,-0.8967602294351034
frenchmeadows,FM19-6,litter_depth_cm,1.3812499999999996,2.0000000000000004,-0.6187500000000008
frenchmeadows,FM19-6,duff_depth_cm,1.125,1.0374999999999999,0.08750000000000013
frenchmeadows,FM19-7,mass_1hr,1.0818456436300306,0.40705146402511855,0.674794179604912
frenchmeadows,FM19-7,mass_10hr,4.566182170741962,1.5276520979606796,3.038530072781283
frenchmeadows,FM19-7,mass_100hr,2.6949241678017244,2.155939334241379,0.5389848335603453
frenchmeadows,FM19-7,mass_cwd_sound,12.81695305106376,8.611996633082544,4.204956417981215
frenchmeadows,FM19-7,mass_cwd_rotten,12.60393931348697,16.111723556253253,-3.5077842427662826
frenchmeadows,FM19-7,total_fine,8.342951982173718,4.090642896227178,4.25230908594654
frenchmeadows,FM19-7,total_cwd,25.42089236455073,24.723720189335783,0.6971721752149485
frenchmeadows,FM19-7,total_fuel,55.53787160200319,75.85841633503512,-20.320544733031923
frenchmeadows,FM19-7,duff_load,16.180109103687194,24.85892773342776,-8.678818629740565
frenchmeadows,FM19-7,litter_load,5.593918151591559,22.18512551604439,-16.59120736445283
frenchmeadows,FM19-7,litter_depth_cm,2.56875,10.187500000000005,-7.618750000000006
frenchmeadows,FM19-7,duff_depth_cm,2.31875,3.5624999999999987,-1.2437499999999986
modoc,MOD009,mass_1hr,0.15637580347034402,0.3388142408524122,-0.18243843738206816
modoc,MOD009,mass_10hr,1.15701432288196,0.57850716144098,0.57850716144098
modoc,MOD009,mass_100hr,0,2.3820879232549728,-2.3820879232549728
modoc,MOD009,mass_cwd_sound,0.6889801156116031,0.8375611730166046,-0.1485810574050015
modoc,MOD009,mass_cwd_rotten,0.23890952399498833,0,0.23890952399498833
modoc,MOD009,total_fine,1.313390126352304,3.299409325548365,-1.986019199196061
modoc,MOD009,total_cwd,0.9278896396065922,0.8375611730166046,0.09032846658998761
modoc,MOD009,total_fuel,6.3664892681337655,8.516435924965528,-2.1499466568317622
modoc,MOD009,duff_load,0.9538724692641187,0,0.9538724692641187
modoc,MOD009,litter_load,3.1713370329107518,4.379465426400559,-1.2081283934898073
modoc,MOD009,litter_depth_cm,1.3125000000000002,1.8124999999999996,-0.49999999999999933
modoc,MOD009,duff_depth_cm,0.1625,0,0.1625
modoc,MOD009,fuel_depth_cm,1.2750000000000006,1.9499999999999973,-0.6749999999999967
modoc,MOD010,mass_1hr,1.127807672731188,0.32015185548498176,0.8076558172462063
modoc,MOD010,mass_10hr,1.1280969076765033,0.2051085286684553,0.922988379008048
modoc,MOD010,mass_100hr,0.9937403517502548,0.6624935678335027,0.3312467839167521
modoc,MOD010,mass_cwd_sound,0,3.0501515736777716,-3.0501515736777716
modoc,MOD010,mass_cwd_rotten,0,0,0
modoc,MOD010,total_fine,3.2496449321579486,1.1877539519869413,2.0618909801710075
modoc,MOD010,total_cwd,0,3.0501515736777716,-3.0501515736777716
modoc,MOD010,total_fuel,10.364323931094436,8.337989275529194,2.0263346555652415
modoc,MOD010,duff_load,1.4083768728364392,0,1.4083768728364392
modoc,MOD010,litter_load,5.706302126100049,4.100083749864478,1.6062183762355708
modoc,MOD010,litter_depth_cm,1.6875,1.2125000000000001,0.47499999999999987
modoc,MOD010,duff_depth_cm,0.21875,0,0.21875
modoc,MOD010,fuel_depth_cm,6.474999999999997,1.5,4.974999999999997
modoc,MOD011,mass_1hr,0.14204538381432966,0.04734846127144314,0.09469692254288652
modoc,MOD011,mass_10hr,0.4851807367772732,1.2129518419431837,-0.7277711051659106
modoc,MOD011,mass_100hr,0,0,0
modoc,MOD011,mass_cwd_sound,0,0,0
modoc,MOD011,mass_cwd_rotten,0,0,0
modoc,MOD011,total_fine,0.6272261205916028,1.260300303214627,-0.6330741826230242
modoc,MOD011,total_cwd,0,0,0
modoc,MOD011,total_fuel,4.891186465765525,4.707237981802595,0.18394848396293018
modoc,MOD011,duff_load,1.0085192042852869,0,1.0085192042852869
modoc,MOD011,litter_load,3.255441140888636,3.446937678587966,-0.19149653769932984
modoc,MOD011,litter_depth_cm,1.9125000000000008,2.0250000000000012,-0.11250000000000049
modoc,MOD011,duff_depth_cm,0.17500000000000016,0,0.17500000000000016
modoc,MOD011,fuel_depth_cm,1.4250000000000003,1.9750000000000003,-0.55
modoc,MOD012,mass_1hr,0.33072793234062803,0.052220199843257056,0.278507732497371
modoc,MOD012,mass_10hr,1.9947226358144494,1.259824822619652,0.7348978131947974
modoc,MOD012,mass_100hr,3.667236219048084,4.191127107483526,-0.5238908884354418
modoc,MOD012,mass_cwd_sound,2.4772648690304226,2.5431881773127234,-0.06592330828230075
modoc,MOD012,mass_cwd_rotten,0,0,0
modoc,MOD012,total_fine,5.992686787203169,5.503172129946446,0.4895146572567235
modoc,MOD012,total_cwd,2.4772648690304226,2.5431881773127234,-0.06592330828230075
modoc,MOD012,total_fuel,18.40200788764037,13.02028840089616,5.38171948674421
modoc,MOD012,duff_load,6.05743833237797,0,6.05743833237797
modoc,MOD012,litter_load,3.8746178990288254,4.973928093636997,-1.0993101946081714
modoc,MOD012,litter_depth_cm,1.34375,1.7250000000000003,-0.3812500000000003
modoc,MOD012,duff_depth_cm,0.9375,0,0.9375
modoc,MOD012,fuel_depth_cm,10.58749999999998,1.8750000000000004,8.71249999999998
modoc,MOD013,mass_1hr,0.06382110834023268,0.29175363812677785,-0.22793252978654516
modoc,MOD013,mass_10hr,0.43118269587378916,0.9701610657160251,-0.5389783698422359
modoc,MOD013,mass_100hr,0,0.7059091842926714,-0.7059091842926714
modoc,MOD013,mass_cwd_sound,0,0,0
modoc,MOD013,mass_cwd_rotten,0,0,0
modoc,MOD013,total_fine,0.495003804214022,1.967823888135474,-1.472820083921452
modoc,MOD013,total_cwd,0,0,0
modoc,MOD013,total_fuel,8.141377625029737,10.431692502445472,-2.290314877415735
modoc,MOD013,duff_load,1.0542769928366933,1.9579429866967157,-0.9036659938600224
modoc,MOD013,litter_load,6.592096827979021,6.505925627613283,0.08617120036573844
modoc,MOD013,litter_depth_cm,1.9125000000000008,1.8874999999999997,0.02500000000000102
modoc,MOD013,duff_depth_cm,0.17500000000000016,0.325,-0.14999999999999986
modoc,MOD013,fuel_depth_cm,1.4875000000000012,1.6999999999999993,-0.21249999999999813
modoc,MOD014,mass_1hr,0.27578165745161043,0.04826179005403186,0.22751986739757857
modoc,MOD014,mass_10hr,0.8266626327574382,0.30999848728403906,0.5166641454733991
modoc,MOD014,mass_100hr,0.4864573554167727,1.2972196144447299,-0.8107622590279572
modoc,MOD014,mass_cwd_sound,0,0,0
modoc,MOD014,mass_cwd_rotten,0,0,0
modoc,MOD014,total_fine,1.5889016456258231,1.6554798917828004,-0.06657824615697727
modoc,MOD014,total_cwd,0,0,0
modoc,MOD014,total_fuel,11.839001235816147,15.576253910760414,-3.7372526749442674
modoc,MOD014,duff_load,2.674601955689543,6.648296289856867,-3.9736943341673236
modoc,MOD014,litter_load,7.575497634500781,7.272477729120752,0.30301990538002954
modoc,MOD014,litter_depth_cm,1.875,1.800000000000001,0.07499999999999907
modoc,MOD014,duff_depth_cm,0.4375,1.0874999999999988,-0.6499999999999988
modoc,MOD014,fuel_depth_cm,6.749999999999999,1.9124999999999994,4.8374999999999995
modoc,MOD015,mass_1hr,0.1931405335427656,0.04828513338569123,0.14485540015707438
modoc,MOD015,mass_10hr,1.4631817736620896,0.36579544341552245,1.0973863302465672
modoc,MOD015,mass_100hr,1.2781463784803784,0.8520975856535885,0.42604879282678987
modoc,MOD015,mass_cwd_sound,0.581789007753229,0.474633279998472,0.10715572775475696
modoc,MOD015,mass_cwd_rotten,0,0,0
modoc,MOD015,total_fine,2.934468685685234,1.2661781624548023,1.6682905232304315
modoc,MOD015,total_cwd,0.581789007753229,0.474633279998472,0.10715572775475696
modoc,MOD015,total_fuel,5.543366647036179,3.9909023809467437,1.5524642660894354
modoc,MOD015,duff_load,0,0,0
modoc,MOD015,litter_load,2.0271089535977174,2.2500909384934658,-0.2229819848957484
modoc,MOD015,litter_depth_cm,1.25,1.3874999999999997,-0.13749999999999973
modoc,MOD015,duff_depth_cm,0,0,0
modoc,MOD015,fuel_depth_cm,9.562499999999995,1.2874999999999999,8.274999999999995
modoc,MOD016,mass_1hr,0.23004555780875346,0.301934794623989,-0.07188923681523551
modoc,MOD016,mass_10hr,0.5781484072763299,0.4625187258210646,0.11562968145526525
modoc,MOD016,mass_100hr,1.2268197370173564,0.8178798246782356,0.40893991233912075
modoc,MOD016,mass_cwd_sound,0,0,0
modoc,MOD016,mass_cwd_rotten,0,0,0
modoc,MOD016,total_fine,2.035013702102441,1.5823333451232904,0.45268035697915043
modoc,MOD016,total_cwd,0,0,0
