site,plotid,pre_post_fire,postTime,fuelType,mass_tonAcre
frenchmeadows,fm52,prefire,NA,mass_1hr,0.119894626097561
frenchmeadows,fm52,prefire,NA,mass_10hr,0.486748602439024
frenchmeadows,fm52,prefire,NA,mass_100hr,0
frenchmeadows,fm52,prefire,NA,total_fine,0.606643228536585
frenchmeadows,fm52,prefire,NA,total_cwd,1.10041401899417
frenchmeadows,fm52,prefire,NA,total_fuel,1.70705724753076
frenchmeadows,fm52,prefire,NA,litter_depth_cm,1.7125
frenchmeadows,fm52,prefire,NA,duff_depth_cm,1.7
frenchmeadows,fm52,prefire,NA,fuel_depth_cm,65.625
frenchmeadows,fm53,prefire,NA,mass_1hr,0.268854616097561
frenchmeadows,fm53,prefire,NA,mass_10hr,1.8079233804878
frenchmeadows,fm53,prefire,NA,mass_100hr,1.93688890243902
frenchmeadows,fm53,prefire,NA,total_fine,4.01366689902439
frenchmeadows,fm53,prefire,NA,total_cwd,7.54843078863587
frenchmeadows,fm53,prefire,NA,total_fuel,11.5620976876603
frenchmeadows,fm53,prefire,NA,litter_depth_cm,2.45
frenchmeadows,fm53,prefire,NA,duff_depth_cm,6.8125
frenchmeadows,fm53,prefire,NA,fuel_depth_cm,9.825
frenchmeadows,fm54,prefire,NA,mass_1hr,0.105361944146341
frenchmeadows,fm54,prefire,NA,mass_10hr,1.59931683658537
frenchmeadows,fm54,prefire,NA,mass_100hr,3.04368256097561
frenchmeadows,fm54,prefire,NA,total_fine,4.74836134170732
frenchmeadows,fm54,prefire,NA,total_cwd,10.3255298426371
frenchmeadows,fm54,prefire,NA,total_fuel,15.0738911843444
frenchmeadows,fm54,prefire,NA,litter_depth_cm,3.1875
frenchmeadows,fm54,prefire,NA,duff_depth_cm,14.925
frenchmeadows,fm54,prefire,NA,fuel_depth_cm,19.65
frenchmeadows,fm55,prefire,NA,mass_1hr,0.802930677804878
frenchmeadows,fm55,prefire,NA,mass_10hr,2.29467198292683
frenchmeadows,fm55,prefire,NA,mass_100hr,2.21358731707317
frenchmeadows,fm55,prefire,NA,total_fine,5.31118997780488
frenchmeadows,fm55,prefire,NA,total_cwd,7.44529435570905
frenchmeadows,fm55,prefire,NA,total_fuel,12.7564843335139
frenchmeadows,fm55,prefire,NA,litter_depth_cm,4.78125
frenchmeadows,fm55,prefire,NA,duff_depth_cm,3.96875
frenchmeadows,fm55,prefire,NA,fuel_depth_cm,13.5125
frenchmeadows,fm56,prefire,NA,mass_1hr,0.450513140487805
frenchmeadows,fm56,prefire,NA,mass_10hr,1.46024580731707
frenchmeadows,fm56,prefire,NA,mass_100hr,1.38349207317073
