site,postFire_time,burn_unit,mass_1hr,mass_10hr,mass_100hr,total_fine,total_cwd,total_fuel,litter_depth_cm,duff_depth_cm,fuel_depth_cm
frenchmeadows,prefire ,19D,0.269892664808362,2.10593272891986,2.49028573170732,4.86611112543554,6.93176314854036,11.7978742739759,4.29821428571429,5.84464285714286,15.0339285714286
frenchmeadows,prefire ,19E,0.223439985,1.13574673902439,1.10679365853659,2.46598038256098,2.79120704305391,5.25718742561488,3.21666666666667,3.04791666666667,33.2895833333333
henrycoe,prefire ,"",0.101728773658537,0.978464027351916,0.849859416376307,1.93005221738676,1.0317111597507,2.96176337713746,5.99107142857143,1.57589285714286,9.38839285714286
independence,prefire ,"",0.210547139458141,1.55045404251813,0.822616908371787,2.58361809034806,1.10518857062802,3.68880666097607,3.76807432432432,1.95760135135135,8.63006756756757
klamath,prefire ,"",0.292363366312769,1.42752321219512,2.09965267575323,3.81953925426112,1.94204238844415,5.76158164270527,4.79705882352941,1.64044117647059,15.3830882352941
lonebobcat,prefire ,lbw_A,0.287020468536585,3.30293694512195,2.35193652439024,5.94189393804878,0,5.94189393804878,4.3125,5.65625,13
lonebobcat,prefire ,lbw_B,0.325168758658537,2.46851076951219,1.79853969512195,4.59221922329268,0,4.59221922329268,2.9375,6.0625,13.5625
lonebobcat,prefire ,lbw_C,0.465045822439024,2.38738600243902,1.84465609756098,4.69708792243903,0,4.69708792243903,3.675,4.64583333333333,20.0833333333333
modoc,control immediate,control,0.232068764908537,1.25163926341463,0.830095243902439,2.31380327222561,0,2.31380327222561,5.75625,2.096875,5.7265625
modoc,control immediate,controlB,0.137333844439024,0.292049161463415,0.608736512195122,1.03811951809756,0,1.03811951809756,3.645,0.3125,3.5375
modoc,postfire immediate,10,0.0423869890243902,0.440391592682927,0.41504762195122,0.897826203658537,0.290901531809842,1.18872773546838,1.9125,0.333333333333333,1.74583333333333
modoc,postfire immediate,3000,0.0526809720731707,0.521516359756098,0.553396829268293,1.12759416109756,0.65471859486294,1.7823127559605,2.36875,1.36875,2.15625
modoc,postfire immediate,5,0.0381482901219512,0.591051874390244,0.41504762195122,1.04424778646341,0,1.04424778646341,1.83125,0.25,1.69375
modoc,postfire immediate,910,0.0714523529268293,0.47515935,0.599513231707317,1.14612493463415,0.555993602282538,1.70211853691668,1.74375,0.235416666666667,1.81875
modoc,prefire ,10,0.070241296097561,0.521516359756097,0.599513231707317,1.19127088756098,0.267576674805741,1.45884756236672,1.86458333333333,0.654166666666667,3.81875
modoc,prefire ,211,0.320627295548781,1.56454907926829,2.00606350609756,3.89123988091463,2.99076868836674,6.88200856928138,4.503125,2.9,15.571875
modoc,prefire ,212,0.287020468536585,1.28640702073171,1.93688890243902,3.51031639170732,4.57831448642888,8.0886308781362,5.5875,3.671875,9.23125
modoc,prefire ,3000,0.0726634097560976,0.834426175609756,0.276698414634146,1.183788,0.648633849557522,1.83242184955752,2.325,0.56875,5.8
modoc,prefire ,5,0.228889740731707,0.903961690243902,0.553396829268293,1.6862482602439,0,1.6862482602439,1.71875,0.046875,8.06875
modoc,prefire ,910,0.0339095912195122,0.417213087804878,0,0.45112267902439,0.154072850002698,0.605195529027088,1.7125,0.170833333333333,1.39583333333333
modoc,prefire ,mast1,0.575251993902439,2.20195796341463,2.67475134146342,5.45196129878049,0.317835656904274,5.76979695568476,3.52916666666667,1.25208333333333,9.54583333333333
modoc,prefire ,mast2,0.37966631597561,1.63408459390244,0.691746036585366,2.70549694646341,1.10240373070904,3.80790067717246,3.9875,2.4125,3.35
mountainhome,postfire ,"",0.045579775210643,0.240213596008869,0.553396829268293,0.839190200487805,0,0.839190200487805,0.118181818181818,0.0613636363636364,2.01212121209091
mountainhome,prefire ,"",0.479255555902439,1.85737085756098,2.10290795121951,4.43953436468293,0,4.43953436468293,1.22055555555556,1.79069444444444,5.43851851843889
mountainhome,prefire ,,0.0653970687804878,4.03305984878049,3.87377780487805,7.97223472243902,0,7.97223472243902,1.075,2.85,5.8333333335
