site,plotid,year,pre_post_fire,postTime,fuelType,mass_tonsHA
antelope,antelope12,2020,prefire,"",total_fine,3.56821357625
antelope,antelope12,2020,prefire,"",total_cwd,1.21593705199115
antelope,antelope12,2020,prefire,"",total_fuel,75.8261578169912
antelope,antelope12,2020,prefire,"",duff_load,68.24725333875
antelope,antelope12,2020,prefire,"",litter_load,2.79475385
antelope,antelope12,2020,prefire,"",litter_depth_cm,1.75
antelope,antelope12,2020,prefire,"",duff_depth_cm,8.9625
antelope,antelope12,2020,prefire,"",fuel_depth_cm,10.5375
antelope,antelope13,2020,prefire,"",mass_1hr,0.050523045
antelope,antelope13,2020,prefire,"",mass_10hr,0.436913125
antelope,antelope13,2020,prefire,"",mass_100hr,4.58183583
antelope,antelope13,2020,prefire,"",mass_cwd_sound,1.1527824267146
antelope,antelope13,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope13,2020,prefire,"",total_fine,5.069272
antelope,antelope13,2020,prefire,"",total_cwd,1.1527824267146
antelope,antelope13,2020,prefire,"",total_fuel,21.2128531154646
antelope,antelope13,2020,prefire,"",duff_load,11.51731890375
antelope,antelope13,2020,prefire,"",litter_load,3.473479785
antelope,antelope13,2020,prefire,"",litter_depth_cm,2.175
antelope,antelope13,2020,prefire,"",duff_depth_cm,1.5125
antelope,antelope13,2020,prefire,"",fuel_depth_cm,3.5375
antelope,antelope14,2020,prefire,"",mass_1hr,0.16419989625
antelope,antelope14,2020,prefire,"",mass_10hr,0.76459796875
antelope,antelope14,2020,prefire,"",mass_100hr,3.05455722
antelope,antelope14,2020,prefire,"",mass_cwd_sound,1.55697202848451
antelope,antelope14,2020,prefire,"",mass_cwd_rotten,4.23173613384956
antelope,antelope14,2020,prefire,"",total_fine,3.983355085
antelope,antelope14,2020,prefire,"",total_cwd,5.78870816233407
antelope,antelope14,2020,prefire,"",total_fuel,79.3816754460841
antelope,antelope14,2020,prefire,"",duff_load,66.91467098625
antelope,antelope14,2020,prefire,"",litter_load,2.6949412125
antelope,antelope14,2020,prefire,"",litter_depth_cm,1.6875
antelope,antelope14,2020,prefire,"",duff_depth_cm,8.7875
antelope,antelope14,2020,prefire,"",fuel_depth_cm,19.0625
antelope,antelope15,2020,prefire,"",mass_1hr,0.0252615225
antelope,antelope15,2020,prefire,"",mass_10hr,0.436913125
antelope,antelope15,2020,prefire,"",mass_100hr,0.763639305
antelope,antelope15,2020,prefire,"",mass_cwd_sound,0
antelope,antelope15,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope15,2020,prefire,"",total_fine,1.2258139525
antelope,antelope15,2020,prefire,"",total_cwd,0
antelope,antelope15,2020,prefire,"",total_fuel,17.26046324125
antelope,antelope15,2020,prefire,"",duff_load,13.04027016375
antelope,antelope15,2020,prefire,"",litter_load,2.994379125
antelope,antelope15,2020,prefire,"",litter_depth_cm,1.875
antelope,antelope15,2020,prefire,"",duff_depth_cm,1.7125
antelope,antelope15,2020,prefire,"",fuel_depth_cm,3.7
antelope,antelope16,2020,prefire,"",mass_1hr,0.0757845675
antelope,antelope16,2020,prefire,"",mass_10hr,0.436913125
antelope,antelope16,2020,prefire,"",mass_100hr,0
antelope,antelope16,2020,prefire,"",mass_cwd_sound,3.55771055724557
antelope,antelope16,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope16,2020,prefire,"",total_fine,0.5126976925
antelope,antelope16,2020,prefire,"",total_cwd,3.55771055724557
antelope,antelope16,2020,prefire,"",total_fuel,127.308514158496
antelope,antelope16,2020,prefire,"",duff_load,121.74091634625
antelope,antelope16,2020,prefire,"",litter_load,1.4971895625
antelope,antelope16,2020,prefire,"",litter_depth_cm,0.9375
antelope,antelope16,2020,prefire,"",duff_depth_cm,15.9875
antelope,antelope16,2020,prefire,"",fuel_depth_cm,13.80625
antelope,antelope17,2020,prefire,"",mass_1hr,0.353661315
antelope,antelope17,2020,prefire,"",mass_10hr,0.10922828125
antelope,antelope17,2020,prefire,"",mass_100hr,1.52727861
antelope,antelope17,2020,prefire,"",mass_cwd_sound,0
antelope,antelope17,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope17,2020,prefire,"",total_fine,1.99016820625
antelope,antelope17,2020,prefire,"",total_cwd,0
antelope,antelope17,2020,prefire,"",total_fuel,17.85240371
antelope,antelope17,2020,prefire,"",duff_load,14.94395923875
antelope,antelope17,2020,prefire,"",litter_load,0.918276265
antelope,antelope17,2020,prefire,"",litter_depth_cm,0.575
antelope,antelope17,2020,prefire,"",duff_depth_cm,1.9625
antelope,antelope17,2020,prefire,"",fuel_depth_cm,2.9125
antelope,antelope18,2020,prefire,"",mass_1hr,0.0757845675
antelope,antelope18,2020,prefire,"",mass_10hr,0.436913125
antelope,antelope18,2020,prefire,"",mass_100hr,2.290917915
antelope,antelope18,2020,prefire,"",mass_cwd_sound,6.75838696626106
antelope,antelope18,2020,prefire,"",mass_cwd_rotten,3.48807026548673
antelope,antelope18,2020,prefire,"",total_fine,2.8036156075
antelope,antelope18,2020,prefire,"",total_cwd,10.2464572317478
antelope,antelope18,2020,prefire,"",total_fuel,110.043421539248
antelope,antelope18,2020,prefire,"",duff_load,91.85299786875
antelope,antelope18,2020,prefire,"",litter_load,5.14035083125
antelope,antelope18,2020,prefire,"",litter_depth_cm,3.21875
antelope,antelope18,2020,prefire,"",duff_depth_cm,12.0625
antelope,antelope18,2020,prefire,"",fuel_depth_cm,14.425
antelope,antelope19,2020,prefire,"",mass_1hr,0.23998446375
antelope,antelope19,2020,prefire,"",mass_10hr,1.20151109375
antelope,antelope19,2020,prefire,"",mass_100hr,0
antelope,antelope19,2020,prefire,"",mass_cwd_sound,1.1527824267146
antelope,antelope19,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope19,2020,prefire,"",total_fine,1.4414955575
antelope,antelope19,2020,prefire,"",total_cwd,1.1527824267146
antelope,antelope19,2020,prefire,"",total_fuel,9.3743441329646
antelope,antelope19,2020,prefire,"",duff_load,4.66403823375
antelope,antelope19,2020,prefire,"",litter_load,2.116027915
antelope,antelope19,2020,prefire,"",litter_depth_cm,1.325
antelope,antelope19,2020,prefire,"",duff_depth_cm,0.6125
antelope,antelope19,2020,prefire,"",fuel_depth_cm,2.475
bearmountain,bm1,2019,postfire,immediate,mass_1hr,0.125204850914648
bearmountain,bm1,2019,postfire,immediate,mass_10hr,1.15975166401063
bearmountain,bm1,2019,postfire,immediate,mass_100hr,0.845273131453339
bearmountain,bm1,2019,postfire,immediate,mass_cwd_sound,0
bearmountain,bm1,2019,postfire,immediate,mass_cwd_rotten,0
bearmountain,bm1,2019,postfire,immediate,total_fine,2.13022964637862
bearmountain,bm1,2019,postfire,immediate,total_cwd,0
bearmountain,bm1,2019,postfire,immediate,total_fuel,11.5030426454431
bearmountain,bm1,2019,postfire,immediate,duff_load,1.80749512633059
bearmountain,bm1,2019,postfire,immediate,litter_load,7.56531787273387
bearmountain,bm1,2019,postfire,immediate,litter_depth_cm,1.81875
bearmountain,bm1,2019,postfire,immediate,duff_depth_cm,0.25625
bearmountain,bm1,2019,prefire,"",mass_1hr,0.0751229105487891
bearmountain,bm1,2019,prefire,"",mass_10hr,0.695850998406379
bearmountain,bm1,2019,prefire,"",mass_100hr,1.69054626290668
bearmountain,bm1,2019,prefire,"",mass_cwd_sound,0.350140515140063
bearmountain,bm1,2019,prefire,"",mass_cwd_rotten,0
bearmountain,bm1,2019,prefire,"",total_fine,2.46152017186185
bearmountain,bm1,2019,prefire,"",total_cwd,0.350140515140063
bearmountain,bm1,2019,prefire,"",total_fuel,11.7571738845917
