site,plotid,pre_post_fire,postTime,fuelType,mass_tonAcre
Antelope,Antelope14,prefire,NA,litter_depth_cm,1.6875
Antelope,Antelope14,prefire,NA,duff_depth_cm,8.7875
Antelope,Antelope14,prefire,NA,fuel_depth_cm,19.0625
Antelope,Antelope15,prefire,NA,mass_1hr,0.00294183845166387
Antelope,Antelope15,prefire,NA,mass_10hr,0.112608120865014
Antelope,Antelope15,prefire,NA,mass_100hr,0.112023649649452
Antelope,Antelope15,prefire,NA,total_fine,0.22757360896613
Antelope,Antelope15,prefire,NA,total_cwd,0
Antelope,Antelope15,prefire,NA,total_fuel,0.22757360896613
Antelope,Antelope15,prefire,NA,litter_depth_cm,1.875
Antelope,Antelope15,prefire,NA,duff_depth_cm,1.7125
Antelope,Antelope15,prefire,NA,fuel_depth_cm,3.7
Antelope,Antelope16,prefire,NA,mass_1hr,0.00882551535499161
Antelope,Antelope16,prefire,NA,mass_10hr,0.112608120865014
Antelope,Antelope16,prefire,NA,mass_100hr,0
Antelope,Antelope16,prefire,NA,total_fine,0.121433636220006
Antelope,Antelope16,prefire,NA,total_cwd,0.520405848489668
Antelope,Antelope16,prefire,NA,total_fuel,0.641839484709674
Antelope,Antelope16,prefire,NA,litter_depth_cm,0.9375
Antelope,Antelope16,prefire,NA,duff_depth_cm,15.9875
Antelope,Antelope16,prefire,NA,fuel_depth_cm,13.80625
Antelope,Antelope17,prefire,NA,mass_1hr,0.0411857383232942
Antelope,Antelope17,prefire,NA,mass_10hr,0.0281520302162536
Antelope,Antelope17,prefire,NA,mass_100hr,0.224047299298904
Antelope,Antelope17,prefire,NA,total_fine,0.293385067838452
Antelope,Antelope17,prefire,NA,total_cwd,0
Antelope,Antelope17,prefire,NA,total_fuel,0.293385067838452
Antelope,Antelope17,prefire,NA,litter_depth_cm,0.575
Antelope,Antelope17,prefire,NA,duff_depth_cm,1.9625
Antelope,Antelope17,prefire,NA,fuel_depth_cm,2.9125
Antelope,Antelope18,prefire,NA,mass_1hr,0.00882551535499161
Antelope,Antelope18,prefire,NA,mass_10hr,0.112608120865014
Antelope,Antelope18,prefire,NA,mass_100hr,0.336070948948356
Antelope,Antelope18,prefire,NA,total_fine,0.457504585168362
Antelope,Antelope18,prefire,NA,total_cwd,1.48817596720761
Antelope,Antelope18,prefire,NA,total_fuel,1.94568055237598
Antelope,Antelope18,prefire,NA,litter_depth_cm,3.21875
Antelope,Antelope18,prefire,NA,duff_depth_cm,12.0625
Antelope,Antelope18,prefire,NA,fuel_depth_cm,14.425
Antelope,Antelope19,prefire,NA,mass_1hr,0.0279474652908068
Antelope,Antelope19,prefire,NA,mass_10hr,0.309672332378789
Antelope,Antelope19,prefire,NA,mass_100hr,0
Antelope,Antelope19,prefire,NA,total_fine,0.337619797669596
Antelope,Antelope19,prefire,NA,total_cwd,0.168623812208842
Antelope,Antelope19,prefire,NA,total_fuel,0.506243609878438
Antelope,Antelope19,prefire,NA,litter_depth_cm,1.325
Antelope,Antelope19,prefire,NA,duff_depth_cm,0.6125
Antelope,Antelope19,prefire,NA,fuel_depth_cm,2.475
BearMountain,BM1,postfire,2yr,mass_1hr,0.00588367690332774
BearMountain,BM1,postfire,2yr,mass_10hr,0.197064211513775
BearMountain,BM1,postfire,2yr,mass_100hr,0.112023649649452
BearMountain,BM1,postfire,2yr,total_fine,0.314971538066555
BearMountain,BM1,postfire,2yr,total_cwd,0
BearMountain,BM1,postfire,2yr,total_fuel,0.314971538066555
BearMountain,BM1,postfire,2yr,litter_depth_cm,2.075
BearMountain,BM1,postfire,2yr,duff_depth_cm,0
BearMountain,BM1,postfire,2yr,fuel_depth_cm,1.9
BearMountain,BM1,postfire,NA,mass_1hr,0.0147091922583193
BearMountain,BM1,postfire,NA,mass_10hr,0.281520302162536
BearMountain,BM1,postfire,NA,mass_100hr,0.112023649649452
BearMountain,BM1,postfire,NA,total_fine,0.408253144070307
BearMountain,BM1,postfire,NA,total_cwd,0
BearMountain,BM1,postfire,NA,total_fuel,0.408253144070307
BearMountain,BM1,postfire,NA,litter_depth_cm,1.81875
BearMountain,BM1,postfire,NA,duff_depth_cm,0.25625
BearMountain,BM1,postfire,NA,fuel_depth_cm,
BearMountain,BM1,prefire,NA,mass_1hr,0.00882551535499161
BearMountain,BM1,prefire,NA,mass_10hr,0.168912181297521
BearMountain,BM1,prefire,NA,mass_100hr,0.224047299298904
BearMountain,BM1,prefire,NA,total_fine,0.401784995951417
BearMountain,BM1,prefire,NA,total_cwd,0
BearMountain,BM1,prefire,NA,total_fuel,0.401784995951417
BearMountain,BM1,prefire,NA,litter_depth_cm,1.875
BearMountain,BM1,prefire,NA,duff_depth_cm,0.1625
BearMountain,BM1,prefire,NA,fuel_depth_cm,
BearMountain,BM10,postfire,2yr,mass_1hr,0.0147091922583193
BearMountain,BM10,postfire,2yr,mass_10hr,0.197064211513775
BearMountain,BM10,postfire,2yr,mass_100hr,0.336070948948356
BearMountain,BM10,postfire,2yr,total_fine,0.54784435272045
BearMountain,BM10,postfire,2yr,total_cwd,0
BearMountain,BM10,postfire,2yr,total_fuel,0.54784435272045
BearMountain,BM10,postfire,2yr,litter_depth_cm,2
BearMountain,BM10,postfire,2yr,duff_depth_cm,0
BearMountain,BM10,postfire,2yr,fuel_depth_cm,1.9625
BearMountain,BM10,postfire,NA,mass_1hr,0.00294183845166387
BearMountain,BM10,postfire,NA,mass_10hr,0
BearMountain,BM10,postfire,NA,mass_100hr,0.448094598597808
BearMountain,BM10,postfire,NA,total_fine,0.451036437049472
BearMountain,BM10,postfire,NA,total_cwd,0
BearMountain,BM10,postfire,NA,total_fuel,0.451036437049472
BearMountain,BM10,postfire,NA,litter_depth_cm,1.24375
BearMountain,BM10,postfire,NA,duff_depth_cm,0.075
BearMountain,BM10,postfire,NA,fuel_depth_cm,
BearMountain,BM10,prefire,NA,mass_1hr,0.00294183845166387
BearMountain,BM10,prefire,NA,mass_10hr,0.0563040604325072
BearMountain,BM10,prefire,NA,mass_100hr,0.112023649649452
BearMountain,BM10,prefire,NA,total_fine,0.171269548533623
BearMountain,BM10,prefire,NA,total_cwd,0
BearMountain,BM10,prefire,NA,total_fuel,0.171269548533623
BearMountain,BM10,prefire,NA,litter_depth_cm,1.8125
BearMountain,BM10,prefire,NA,duff_depth_cm,0.3875
BearMountain,BM10,prefire,NA,fuel_depth_cm,
BearMountain,BM11,postfire,2yr,mass_1hr,0.0764877997432606
BearMountain,BM11,postfire,2yr,mass_10hr,0.140760151081268
BearMountain,BM11,postfire,2yr,mass_100hr,0.224047299298904
BearMountain,BM11,postfire,2yr,total_fine,0.441295250123432
BearMountain,BM11,postfire,2yr,total_cwd,0
BearMountain,BM11,postfire,2yr,total_fuel,0.441295250123432
BearMountain,BM11,postfire,2yr,litter_depth_cm,1.2875
BearMountain,BM11,postfire,2yr,duff_depth_cm,0
BearMountain,BM11,postfire,2yr,fuel_depth_cm,1.2
BearMountain,BM11,postfire,NA,mass_1hr,0.0338311421941345
BearMountain,BM11,postfire,NA,mass_10hr,0.0844560906487607
BearMountain,BM11,postfire,NA,mass_100hr,0.112023649649452
BearMountain,BM11,postfire,NA,total_fine,0.230310882492347
BearMountain,BM11,postfire,NA,total_cwd,0
BearMountain,BM11,postfire,NA,total_fuel,0.230310882492347
BearMountain,BM11,postfire,NA,litter_depth_cm,0.76875
BearMountain,BM11,postfire,NA,duff_depth_cm,0.01875
BearMountain,BM11,postfire,NA,fuel_depth_cm,
BearMountain,BM11,prefire,NA,mass_1hr,0.0338311421941345
BearMountain,BM11,prefire,NA,mass_10hr,0.0563040604325072
BearMountain,BM11,prefire,NA,mass_100hr,0.112023649649452
BearMountain,BM11,prefire,NA,total_fine,0.202158852276094
BearMountain,BM11,prefire,NA,total_cwd,0
BearMountain,BM11,prefire,NA,total_fuel,0.202158852276094
BearMountain,BM11,prefire,NA,litter_depth_cm,1.70625
BearMountain,BM11,prefire,NA,duff_depth_cm,0.25625
BearMountain,BM11,prefire,NA,fuel_depth_cm,
BearMountain,BM12,postfire,2yr,mass_1hr,0.0250056268391429
BearMountain,BM12,postfire,2yr,mass_10hr,0.168912181297521
BearMountain,BM12,postfire,2yr,mass_100hr,0.112023649649452
BearMountain,BM12,postfire,2yr,total_fine,0.305941457786116
BearMountain,BM12,postfire,2yr,total_cwd,0
BearMountain,BM12,postfire,2yr,total_fuel,0.305941457786116
BearMountain,BM12,postfire,2yr,litter_depth_cm,3.0875
BearMountain,BM12,postfire,2yr,duff_depth_cm,0
BearMountain,BM12,postfire,2yr,fuel_depth_cm,2.5375
BearMountain,BM12,postfire,NA,mass_1hr,0.0117673538066555
BearMountain,BM12,postfire,NA,mass_10hr,0.337824362595043
BearMountain,BM12,postfire,NA,mass_100hr,0.112023649649452
BearMountain,BM12,postfire,NA,total_fine,0.46161536605115
BearMountain,BM12,postfire,NA,total_cwd,0
BearMountain,BM12,postfire,NA,total_fuel,0.46161536605115
BearMountain,BM12,postfire,NA,litter_depth_cm,1.0125
BearMountain,BM12,postfire,NA,duff_depth_cm,0.00625
BearMountain,BM12,postfire,NA,fuel_depth_cm,
BearMountain,BM12,prefire,NA,mass_1hr,0.0867842343240841
BearMountain,BM12,prefire,NA,mass_10hr,0.422280453243804
BearMountain,BM12,prefire,NA,mass_100hr,1.12023649649452
BearMountain,BM12,prefire,NA,total_fine,1.62930118406241
BearMountain,BM12,prefire,NA,total_cwd,0
BearMountain,BM12,prefire,NA,total_fuel,1.62930118406241
BearMountain,BM12,prefire,NA,litter_depth_cm,2.125
BearMountain,BM12,prefire,NA,duff_depth_cm,0.81875
BearMountain,BM12,prefire,NA,fuel_depth_cm,
BearMountain,BM13,postfire,2yr,mass_1hr,0.0117673538066555
BearMountain,BM13,postfire,2yr,mass_10hr,0.225216241730029
BearMountain,BM13,postfire,2yr,mass_100hr,0.224047299298904
BearMountain,BM13,postfire,2yr,total_fine,0.461030894835588
BearMountain,BM13,postfire,2yr,total_cwd,0
BearMountain,BM13,postfire,2yr,total_fuel,0.461030894835588
BearMountain,BM13,postfire,2yr,litter_depth_cm,0.9875
BearMountain,BM13,postfire,2yr,duff_depth_cm,0
BearMountain,BM13,postfire,2yr,fuel_depth_cm,1.2875
BearMountain,BM13,postfire,NA,mass_1hr,0.0117673538066555
BearMountain,BM13,postfire,NA,mass_10hr,0.197064211513775
BearMountain,BM13,postfire,NA,mass_100hr,0
BearMountain,BM13,postfire,NA,total_fine,0.208831565320431
BearMountain,BM13,postfire,NA,total_cwd,0
BearMountain,BM13,postfire,NA,total_fuel,0.208831565320431
BearMountain,BM13,postfire,NA,litter_depth_cm,0.65
BearMountain,BM13,postfire,NA,duff_depth_cm,0.00625
BearMountain,BM13,postfire,NA,fuel_depth_cm,
BearMountain,BM13,prefire,NA,mass_1hr,0.00735459612915967
BearMountain,BM13,prefire,NA,mass_10hr,0.0844560906487607
BearMountain,BM13,prefire,NA,mass_100hr,0
