site_plotid,sec_plot_x1h,sec_plot_x10h,sec_plot_x100h,sec_plot_x1000h
caples_1,1.02840712593689,1.02668064055716,1.03495415517744,1.04468693254422
caples_10,1.02,1.02,1.03,1.06
caples_100,1.02099964610678,1.02,1.02900035389322,1.05500176946609
caples_100,1.02,1.02,1.03,1.06
caples_101,1.02530904286232,1.02469095713768,1.02,1.01274110868166
caples_102,1.02,1.02,1.03,1.06
caples_102,1.02049111148837,1.02,1.02950888851163,1.05754444255814
caples_103,1.02658787625286,1.02331447547943,1.02777915454107,1.03918756057093
caples_103,1.02628525962443,1.02324669610174,1.02800646799606,1.0404596539933
caples_104,1.03,1.02397567491932,1.0278806991756,1.02572607301967
caples_105,1.02883485457493,1.02,1.02116514542507,1.01582572712535
caples_105,1.02861399491429,1.02,1.02138600508571,1.01693002542857
caples_106,1.02289752460697,1.02006582313936,1.02723412167174,1.04577566952255
caples_107,1.03,1.02127262024651,1.02254524049302,1.01509048098603
caples_108,1.03,1.02232671281402,1.02465342562803,1.01930685125607
caples_109,1.03,1.02,1.02,1.01
caples_11,1.02760121242216,1.02603727850713,1.0344733445921,1.04614305191773
caples_11,1.02735687769395,1.02390174951293,1.03044662133191,1.03882260958198
caples_110,1.0289502184454,1.02,1.01644856534508,1.01180808800283
caples_111,1.03443599018319,1.03443599018319,1.03,1.03834601472522
caples_111,1.03409501842695,1.03350627379839,1.02941125537144,1.03679686615963
caples_112,1.03,1.02,1.01909223742405,1.00909223742405
caples_113,1.03,1.02751151322295,1.03331386881803,1.0360379202068
caples_114,1.03,1.03049116615781,1.03633740827266,1.04035235452384
caples_115,1.02881446292359,1.02771393765801,1.03661341239243,1.04678343601409
caples_115,1.02810033302919,1.02715906280049,1.03621779257179,1.04813458605602
caples_116,1.03,1.02112463887398,1.02220816723326,1.01445744498121
caples_117,1.02184498054739,1.02123330299323,1.03062162543906,1.05570830923595
caples_117,1.02193528769365,1.02115103355101,1.03036677940837,1.05492769573579
caples_118,1.02424181726161,1.02,1.02575818273839,1.03879091369195
caples_118,1.02587638328106,1.0237533395726,1.03163029586415,1.04563144188513
caples_119,1.0240826007956,1.02,1.0259173992044,1.039586996022
caples_119,1.02416307281034,1.02,1.02583692718966,1.03918463594829
caples_12,1.02865100257399,1.02,1.02134899742601,1.01674498713006
caples_12,1.02824825574711,1.02006179299535,1.02144207223773,1.01878926424291
caples_120,1.02529623969122,1.02,1.02470376030878,1.03351880154392
caples_121,1.02,1.02,1.03,1.06
caples_121,1.02,1.02,1.03,1.06
caples_121,1.02,1.02,1.03,1.06
caples_122,1.02488601677254,1.02090914311763,1.02693226946273,1.03920648860783
caples_122,1.02452472602263,1.02089291052992,1.02726109503721,1.04094801200654
caples_123,1.02517691198847,1.02238895252757,1.02704613920463,1.04239382323692
