site_plotid,coef_plot_litter,coef_plot_duff,coef_plot_litterduff
bearmountain_bm24,0.310035325798279,1.538141303193116,1.385963360771576
bearmountain_bm24,0.3270410088540471,1.6061640354161884,1.462391200711867
bearmountain_bm25,0.276,1.402,1.233
bearmountain_bm25,0.276,1.402,1.233
bearmountain_bm3,0.7771900291520328,1.3936808332045385,1.352006946924114
bearmountain_bm3,0.7417584751460458,1.424161870682743,1.3752743746046925
bearmountain_bm4,0.323766712323603,1.593066849294412,1.4476756841210203
bearmountain_bm4,0.33117666569694787,1.6227066627877915,1.4809778883621454
bearmountain_bm5,0.31687520068500485,1.5655008027400195,1.4167034881360563
bearmountain_bm5,0.363,1.75,1.624
bearmountain_bm6,0.363,1.75,1.624
bearmountain_bm6,0.363,1.75,1.624
bearmountain_bm7,0.33366467279022916,1.6326586911609164,1.49215962139057
bearmountain_bm7,0.3352352938793299,1.6389411755173193,1.49921838973354
bearmountain_bm8,0.33811125634833644,1.6504450253933458,1.5121436923241331
blisssp_bliss1,1.05,1.518,1.572
blisssp_bliss10,0.7294415562497936,1.4830441138776305,1.4321944794101396
blisssp_bliss11,0.9002901982968357,1.547054196477302,1.544619749074175
blisssp_bliss12,0.31572853074188945,1.4213476331710917,1.2166759885489054
blisssp_bliss13,0.7987879991905773,1.4894438071349319,1.45774896854146
blisssp_bliss14,0.7944489198741395,1.5062620060213507,1.4685764077513357
blisssp_bliss15,0.5983226703629811,1.5564335507732259,1.443898991683293
blisssp_bliss2,0.7730684271986092,1.5276089972071203,1.4943426081561666
blisssp_bliss3,0.9231864738804957,1.552635486180038,1.5580725029117308
blisssp_bliss4,0.45720196055598195,1.5343361507632305,1.4007923220991971
blisssp_bliss5,0.4186549770623844,1.4693723014023239,1.2983479493478667
blisssp_bliss6,0.567121123317822,1.5019567117158412,1.3841809156623988
blisssp_bliss7,0.5977965854053621,1.5929099071299375,1.47917339542669
blisssp_bliss8,0.9842945752140028,1.5359455567695857,1.564783797277838
blisssp_bliss9,0.7875601343868053,1.475080879886314,1.4372621065283466
bouverie_bouv001,0.363,1.75,1.624
bouverie_bouv002,0.363,1.75,1.624
bouverie_bouv003,0.5454762815712686,1.593019406472623,1.5041702661937197
bouverie_bouv004,0.363,1.75,1.624
bouverie_bouv005,0.864,1.319,1.295
bouverie_bouv006,0.363,1.75,1.624
bouverie_bouv007,0.7037522838725873,1.4568578156704888,1.4002325321475424
bouverie_bouv008,0.363,1.75,1.624
bouverie_bouv009,0.581520469417312,1.5620113326968834,1.4805005300632823
bouverie_bouv010,0.6573818166427773,1.4967493753033194,1.430683397853346
bouverie_bouv011,0.363,1.75,1.624
bouverie_bouv012,0.363,1.75,1.624
burtonsp_burton07,0.717050839461916,1.6237934081871557,1.5813777098071489
burtonsp_burton08,0.9042108766689889,1.5765960130311178,1.6140545548070224
burtonsp_burton09,0.8511191348618297,1.597934809257457,1.6293694803283183
burtonsp_burton1,0.9399226752319322,1.5622426170702426,1.6037530744523272
burtonsp_burton10,0.9984572893464395,1.5320774166380393,1.5663392398704186
burtonsp_burton11,0.8793674714787545,1.5865811508864236,1.621220921688821
burtonsp_burton12,0.584384533588935,1.651436959435679,1.5388677035517182
burtonsp_burton13,0.9214056537581456,1.534528081636299,1.54069182943839
