plotID_fuel,time_fire,mass_tonsHA
bearmountain bm1 mass_100hr,postfire_immediate,0.845273131453339
bearmountain bm1 mass_cwd_sound,postfire_immediate,0
bearmountain bm1 mass_cwd_rotten,postfire_immediate,0
bearmountain bm1 total_fine,postfire_immediate,2.13022964637862
bearmountain bm1 total_cwd,postfire_immediate,0
bearmountain bm1 total_fuel,postfire_immediate,11.5030426454431
bearmountain bm1 duff_load,postfire_immediate,1.80749512633059
bearmountain bm1 litter_load,postfire_immediate,7.56531787273387
bearmountain bm1 litter_depth_cm,postfire_immediate,1.81875
bearmountain bm1 duff_depth_cm,postfire_immediate,0.25625
bearmountain bm1 mass_1hr,prefire_,0.0751229105487891
bearmountain bm1 mass_10hr,prefire_,0.695850998406379
bearmountain bm1 mass_100hr,prefire_,1.69054626290668
bearmountain bm1 mass_cwd_sound,prefire_,0.350140515140063
bearmountain bm1 mass_cwd_rotten,prefire_,0
bearmountain bm1 total_fine,prefire_,2.46152017186185
bearmountain bm1 total_cwd,prefire_,0.350140515140063
bearmountain bm1 total_fuel,prefire_,11.7571738845917
bearmountain bm1 duff_load,prefire_,1.1462164215755
bearmountain bm1 litter_load,prefire_,7.7992967760143
bearmountain bm1 litter_depth_cm,prefire_,1.875
bearmountain bm1 duff_depth_cm,prefire_,0.1625
bearmountain bm10 mass_1hr,postfire_immediate,0.0352995629988959
bearmountain bm10 mass_10hr,postfire_immediate,0
bearmountain bm10 mass_100hr,postfire_immediate,3.06515384988756
bearmountain bm10 mass_cwd_sound,postfire_immediate,3.47504407571457
bearmountain bm10 mass_cwd_rotten,postfire_immediate,0.250716149236543
bearmountain bm10 total_fine,postfire_immediate,3.10045341288645
bearmountain bm10 total_cwd,postfire_immediate,3.72576022495111
bearmountain bm10 total_fuel,postfire_immediate,9.99767107904015
bearmountain bm10 duff_load,postfire_immediate,0.488030060592308
bearmountain bm10 litter_load,postfire_immediate,2.68342738061028
bearmountain bm10 litter_depth_cm,postfire_immediate,1.24375
bearmountain bm10 duff_depth_cm,postfire_immediate,0.075
bearmountain bm10 mass_1hr,prefire_,0.0352995629988959
bearmountain bm10 mass_10hr,prefire_,0.262897802641639
bearmountain bm10 mass_100hr,prefire_,0.76628846247189
bearmountain bm10 mass_cwd_sound,prefire_,3.65775690886555
bearmountain bm10 mass_cwd_rotten,prefire_,0
bearmountain bm10 total_fine,prefire_,1.06448582811242
bearmountain bm10 total_cwd,prefire_,3.65775690886555
bearmountain bm10 total_fuel,prefire_,11.1542536968237
bearmountain bm10 duff_load,prefire_,2.52148864639359
bearmountain bm10 litter_load,prefire_,3.91052231345216
bearmountain bm10 litter_depth_cm,prefire_,1.8125
bearmountain bm10 duff_depth_cm,prefire_,0.3875
bearmountain bm11 mass_1hr,postfire_immediate,0.263987609166893
bearmountain bm11 mass_10hr,postfire_immediate,0.339055577694167
bearmountain bm11 mass_100hr,postfire_immediate,0.8611426359595
bearmountain bm11 mass_cwd_sound,postfire_immediate,2.2896717388918
bearmountain bm11 mass_cwd_rotten,postfire_immediate,0
bearmountain bm11 total_fine,postfire_immediate,1.46418582282056
bearmountain bm11 total_cwd,postfire_immediate,2.2896717388918
bearmountain bm11 total_fuel,postfire_immediate,7.38629409761678
bearmountain bm11 duff_load,postfire_immediate,0.134256421029593
bearmountain bm11 litter_load,postfire_immediate,3.49818011487483
bearmountain bm11 litter_depth_cm,postfire_immediate,0.76875
bearmountain bm11 duff_depth_cm,postfire_immediate,0.01875
bearmountain bm11 mass_1hr,prefire_,0.263987609166893
bearmountain bm11 mass_10hr,prefire_,0.226037051796112
bearmountain bm11 mass_100hr,prefire_,0.8611426359595
bearmountain bm11 mass_cwd_sound,prefire_,0.492152017644152
bearmountain bm11 mass_cwd_rotten,prefire_,0
bearmountain bm11 total_fine,prefire_,1.3511672969225
bearmountain bm11 total_cwd,prefire_,0.492152017644152
bearmountain bm11 total_fuel,prefire_,11.4424104943355
bearmountain bm11 duff_load,prefire_,1.83483775407111
bearmountain bm11 litter_load,prefire_,7.76425342569778
bearmountain bm11 litter_depth_cm,prefire_,1.70625
bearmountain bm11 duff_depth_cm,prefire_,0.25625
bearmountain bm12 mass_1hr,postfire_immediate,0.11999577358539
bearmountain bm12 mass_10hr,postfire_immediate,1.66260437663052
bearmountain bm12 mass_100hr,postfire_immediate,0.634801198961489
bearmountain bm12 mass_cwd_sound,postfire_immediate,7.2706810194463
bearmountain bm12 mass_cwd_rotten,postfire_immediate,0
bearmountain bm12 total_fine,postfire_immediate,2.4174013491774
bearmountain bm12 total_cwd,postfire_immediate,7.2706810194463
bearmountain bm12 total_fuel,postfire_immediate,11.0493412516032
bearmountain bm12 duff_load,postfire_immediate,0.0389885412278417
bearmountain bm12 litter_load,postfire_immediate,1.32227034175169
bearmountain bm12 litter_depth_cm,postfire_immediate,1.0125
bearmountain bm12 duff_depth_cm,postfire_immediate,0.00625
bearmountain bm12 mass_1hr,prefire_,0.884968830192249
bearmountain bm12 mass_10hr,prefire_,2.07825547078815
bearmountain bm12 mass_100hr,prefire_,6.34801198961489
bearmountain bm12 mass_cwd_sound,prefire_,34.0590883521215
bearmountain bm12 mass_cwd_rotten,prefire_,0.642829963974467
bearmountain bm12 total_fine,prefire_,9.31123629059529
bearmountain bm12 total_cwd,prefire_,34.701918316096
bearmountain bm12 total_fuel,prefire_,51.8957887926964
bearmountain bm12 duff_load,prefire_,5.10749890084726
bearmountain bm12 litter_load,prefire_,2.77513528515786
bearmountain bm12 litter_depth_cm,prefire_,2.125
bearmountain bm12 duff_depth_cm,prefire_,0.81875
bearmountain bm13 mass_1hr,postfire_immediate,0.113426683917643
bearmountain bm13 mass_10hr,postfire_immediate,0.845608901187145
bearmountain bm13 mass_100hr,postfire_immediate,0
bearmountain bm13 mass_cwd_sound,postfire_immediate,5.51042252797316
bearmountain bm13 mass_cwd_rotten,postfire_immediate,0
bearmountain bm13 total_fine,postfire_immediate,0.959035585104788
bearmountain bm13 total_cwd,postfire_immediate,5.51042252797316
bearmountain bm13 total_fuel,postfire_immediate,8.80533318370471
bearmountain bm13 duff_load,postfire_immediate,0.0430066664783895
bearmountain bm13 litter_load,postfire_immediate,2.29286840414837
bearmountain bm13 litter_depth_cm,postfire_immediate,0.65
bearmountain bm13 duff_depth_cm,postfire_immediate,0.00625
bearmountain bm13 mass_1hr,prefire_,0.0708916774485266
bearmountain bm13 mass_10hr,prefire_,0.362403814794491
bearmountain bm13 mass_100hr,prefire_,0
bearmountain bm13 mass_cwd_sound,prefire_,2.47739890160956
bearmountain bm13 mass_cwd_rotten,prefire_,0
bearmountain bm13 total_fine,prefire_,0.433295492243018
bearmountain bm13 total_cwd,prefire_,2.47739890160956
bearmountain bm13 total_fuel,prefire_,15.7186410415536
bearmountain bm13 duff_load,prefire_,2.66641332166015
bearmountain bm13 litter_load,prefire_,10.1415333260409
bearmountain bm13 litter_depth_cm,prefire_,2.875
bearmountain bm13 duff_depth_cm,prefire_,0.3875
bearmountain bm14 mass_1hr,postfire_immediate,0.295856568284055
bearmountain bm14 mass_10hr,postfire_immediate,0.552409816339736
bearmountain bm14 mass_100hr,postfire_immediate,0.874966407425256
bearmountain bm14 mass_cwd_sound,postfire_immediate,2.90759416713499
bearmountain bm14 mass_cwd_rotten,postfire_immediate,0.746301942666841
bearmountain bm14 total_fine,postfire_immediate,1.72323279204905
bearmountain bm14 total_cwd,postfire_immediate,3.65389610980183
bearmountain bm14 total_fuel,postfire_immediate,8.3848243592874
bearmountain bm14 duff_load,postfire_immediate,0.135984208759589
bearmountain bm14 litter_load,postfire_immediate,2.87171124867694
bearmountain bm14 litter_depth_cm,postfire_immediate,0.5875
bearmountain bm14 duff_depth_cm,postfire_immediate,0.01875
bearmountain bm14 mass_1hr,prefire_,0.0845304480811587
bearmountain bm14 mass_10hr,prefire_,0.220963926535894
bearmountain bm14 mass_100hr,prefire_,0.874966407425256
bearmountain bm14 mass_cwd_sound,prefire_,0
bearmountain bm14 mass_cwd_rotten,prefire_,0
bearmountain bm14 total_fine,prefire_,1.18046078204231
bearmountain bm14 total_cwd,prefire_,0
bearmountain bm14 total_fuel,prefire_,5.43560469919104
bearmountain bm14 duff_load,prefire_,1.99443506180731
bearmountain bm14 litter_load,prefire_,2.26070885534142
bearmountain bm14 litter_depth_cm,prefire_,0.4625
bearmountain bm14 duff_depth_cm,prefire_,0.275
bearmountain bm15 mass_1hr,postfire_immediate,0.546864471135361
bearmountain bm15 mass_10hr,postfire_immediate,2.01035314839057
bearmountain bm15 mass_100hr,postfire_immediate,2.1267788506275
bearmountain bm15 mass_cwd_sound,postfire_immediate,1.56711039514096
bearmountain bm15 mass_cwd_rotten,postfire_immediate,0
bearmountain bm15 total_fine,postfire_immediate,4.68399647015343
bearmountain bm15 total_cwd,postfire_immediate,1.56711039514096
bearmountain bm15 total_fuel,postfire_immediate,9.82471696898228
bearmountain bm15 duff_load,postfire_immediate,2.17468566340883
bearmountain bm15 litter_load,postfire_immediate,1.39892444027906
bearmountain bm15 litter_depth_cm,postfire_immediate,1.06875
bearmountain bm15 duff_depth_cm,postfire_immediate,0.33125
bearmountain bm15 mass_1hr,prefire_,0.346347498385729
bearmountain bm15 mass_10hr,prefire_,1.60828251871246
bearmountain bm15 mass_100hr,prefire_,0
bearmountain bm15 mass_cwd_sound,prefire_,0.346022550751927
bearmountain bm15 mass_cwd_rotten,prefire_,0
bearmountain bm15 total_fine,prefire_,1.95463001709819
bearmountain bm15 total_cwd,prefire_,0.346022550751927
bearmountain bm15 total_fuel,prefire_,6.61974018997754
bearmountain bm15 duff_load,prefire_,2.50294010316865
bearmountain bm15 litter_load,prefire_,1.81614751895878
bearmountain bm15 litter_depth_cm,prefire_,1.3875
bearmountain bm15 duff_depth_cm,prefire_,0.38125
bearmountain bm16 mass_1hr,postfire_immediate,0.322373912542494
bearmountain bm16 mass_10hr,postfire_immediate,0.682041218656183
bearmountain bm16 mass_100hr,postfire_immediate,4.01698768648378
bearmountain bm16 mass_cwd_sound,postfire_immediate,0
bearmountain bm16 mass_cwd_rotten,postfire_immediate,0
bearmountain bm16 total_fine,postfire_immediate,5.02140281768245
bearmountain bm16 total_cwd,postfire_immediate,0
bearmountain bm16 total_fuel,postfire_immediate,11.9416221306395
bearmountain bm16 duff_load,postfire_immediate,2.87021056345978
bearmountain bm16 litter_load,postfire_immediate,4.05000874949729
bearmountain bm16 litter_depth_cm,postfire_immediate,1.4375
bearmountain bm16 duff_depth_cm,postfire_immediate,0.39375
bearmountain bm16 mass_1hr,prefire_,0.180529391023796
bearmountain bm16 mass_10hr,prefire_,2.27347072885394
bearmountain bm16 mass_100hr,prefire_,4.01698768648378
bearmountain bm16 mass_cwd_sound,prefire_,6.52775988711961
bearmountain bm16 mass_cwd_rotten,prefire_,0
bearmountain bm16 total_fine,prefire_,6.47098780636152
bearmountain bm16 total_cwd,prefire_,6.52775988711961
bearmountain bm16 total_fuel,prefire_,27.0474300250941
bearmountain bm16 duff_load,prefire_,2.77909276779439
bearmountain bm16 litter_load,prefire_,11.2695895638185
bearmountain bm16 litter_depth_cm,prefire_,4
bearmountain bm16 duff_depth_cm,prefire_,0.38125
bearmountain bm17 mass_1hr,postfire_immediate,0.011057874
bearmountain bm17 mass_10hr,postfire_immediate,0.344374848
bearmountain bm17 mass_100hr,postfire_immediate,3.632361678
