site_plotid,qmd_plot_x1h,qmd_plot_x10h,qmd_plot_x100h,qmd_plot_x1000h
caples_115,0.138739711911696,1.261260288088304,16.34643312797181,137.49105380588315
caples_115,0.13771210748668616,1.2622878925133134,16.238762533642824,136.47079325816557
caples_116,0.0879546931472536,1.3121275278821507,12.225907073418034,159.7514535909824
caples_117,0.12125319876303024,1.2787468012369694,14.683034979078274,130.4179200907208
caples_117,0.12031608408246068,1.279683915917539,14.608999134509517,130.9595883113872
caples_118,0.10303273095355685,1.2969672690464433,13.264422090563208,142.22209856800933
caples_118,0.12276784388399634,1.2772321561160036,14.938760803054144,137.83509552565678
caples_119,0.10366959681760379,1.2963304031823963,13.311550164502682,141.65974601005587
caples_119,0.1033477087586285,1.2966522912413714,13.28773044813851,141.943973166131
caples_12,0.08539598970404588,1.3146040102959542,11.959303238099395,157.7953410913275
caples_12,0.08688268398245023,1.3162737080492801,12.073007671096532,156.48617940208288
caples_120,0.09881504123513199,1.301184958764868,12.952313051399766,145.94631858937842
caples_121,0.12,1.28,14.52,127.24
caples_121,0.12,1.28,14.52,127.24
caples_121,0.12,1.28,14.52,127.24
caples_122,0.1068199347332753,1.2931800652667242,13.596496327967571,142.03636082118214
caples_122,0.10815146961891839,1.2918485303810816,13.694104652005297,140.8042235074309
caples_123,0.11346016587707192,1.3044238111572,14.216932511560355,140.44013459049802
caples_124,0.14401410550290566,1.2559858944970945,16.818301523452966,137.80483091480497
caples_125,0.11039228833894704,1.337966309208968,14.64851564088027,171.8801379819923
caples_125,0.1096694808378774,1.3367978754652199,14.59594656754459,171.30518503666565
caples_126,0.10715331325178101,1.2928466867482191,13.790450731396296,152.05942586106127
caples_126,0.09716089216177742,1.3028391078382227,12.96964471328886,155.92363784543835
caples_127,0.10020880588861299,1.3033948426914428,13.642019567084017,158.84322023598364
caples_127,0.09878827187260705,1.3051695467252222,13.590553155763047,161.24251931469075
caples_128,0.09367390606052046,1.32,14.759694018161786,201.78359953460296
caples_128,0.09063614412207935,1.32,14.048857724566567,193.0697794141846
caples_129,0.09943040815003362,1.3005695918499656,13.013191888867269,146.3379849780265
caples_129,0.09959829138345473,1.3004017086165456,13.025046708194662,146.1550930693788
caples_13,0.12,1.28,14.52,127.24
caples_13,0.1183924974137038,1.2816075025862963,14.401044808614083,128.65942478369956
caples_130,0.08004851759266729,1.3291477488374601,11.645796865844158,159.51512523990007
caples_131,0.08,1.32,11.56,162.56
caples_132,0.08325629646487633,1.4605657769252443,12.997895609814249,111.24074333506724
caples_133,0.1268073128351962,1.2809070045389537,16.5741985918504,169.4389304381045
caples_14,0.08,1.32,11.56,162.56
caples_14,0.08,1.32,11.56,162.56
caples_16,0.08689598761612435,1.3144290082338579,12.282302419590167,161.44156486616615
caples_16,0.08543827766545688,1.315578236736392,12.1250748515396,161.5714545999369
caples_17,0.08,1.32,11.56,162.56
caples_17,0.0802505094735888,1.3197494905264113,11.578537701045573,162.3388001348211
caples_19,0.09497938803795442,1.5329631472333773,14.645430363552363,77.4275342051956
caples_19,0.09397810380389116,1.53811260900856,14.596939598502729,76.37089325704913
caples_2,0.1451849955154356,1.260363206318896,16.92189558198073,133.12089864884416
caples_2,0.13860193770184398,1.2649097193693528,16.359078716926096,136.04077022567213
caples_2,0.1474865073600397,1.2525134926399604,17.076245184483692,134.79878952401094
caples_20,0.15,1.25,17.31,135.49
caples_20,0.13109624789295152,1.3375851039477245,16.290867666951073,117.35569079974194
caples_21,0.11395115966275005,1.2860488403372503,14.331112411446512,148.34983120909072
caples_21,0.10971903556843429,1.2902809644315658,13.987784153004117,150.24916807983547
caples_22,0.08,1.32,11.56,162.56
caples_23,0.09752602928255691,1.3024739707174435,12.894445194590242,149.37120214637773
caples_23,0.09522799113362963,1.3047720088663703,12.719687726528251,151.11375599199064
caples_23,0.09538054443819666,1.3046194555618036,12.730178282009724,150.93039171208875
caples_24,0.10876469444943329,1.291235305550567,13.688587389258064,137.1607748011504
caples_24,0.10069761341393615,1.299302386586064,13.091623392631275,144.28400735549437
caples_24,0.11435438412967291,1.285645615870327,14.102224425595795,132.2250788134988
caples_25,0.08225069284607071,1.5984250082202072,14.028997839259706,63.99512400770348
caples_25,0.08149976973190586,1.6022868985216274,13.992631705588016,63.20268557279836
caples_26,0.1214225864445183,1.3697923975947557,15.633647953831701,110.45134083008682
caples_26,0.12163651398939779,1.3682829223902588,15.639604909650298,110.75418060550906
caples_27,0.15,1.25,17.31,135.49
caples_27,0.15,1.25,17.31,135.49
caples_28,0.11583240680986431,1.2841675931901342,14.339263890727157,138.70087852958218
caples_29,0.11828223735953003,1.2817177626404705,14.392885564605225,128.75678441153508
caples_29,0.13293024454384267,1.267069755456158,15.779091106779045,134.2441196572167
caples_3,0.15,1.25,17.31,135.49
caples_3,0.12576441534363422,1.2742355846563658,15.056090626957984,128.8252142194994
caples_3,0.15,1.25,17.31,135.49
caples_30,0.15,1.25,17.31,135.49
caples_30,0.15,1.25,17.31,135.49
caples_32,0.10396214230671295,1.3140287968789794,13.405671169334378,149.44227974681652
caples_32,0.10785393167685142,1.3114878947712512,13.71361520405315,147.35127729477944
caples_33,0.10242872967655568,1.3663871120721043,13.391765600436772,139.3932862844528
caples_33,0.10286457837863325,1.3718434558803865,13.43874888566641,138.7205561892976
caples_34,0.13201908299180326,1.2679809170081966,15.637774718237702,130.5452478227459
caples_34,0.12930440095497353,1.2706955990450264,15.385309288812538,129.79871026261773
caples_35,0.12,1.28,14.52,127.24
caples_35,0.1202419714776261,1.2797580285223744,14.571079727631352,129.04819732927544
caples_36,0.1,1.44,13.39,138.06
