site,plotid,year,pre_post_fire,postTime,fuelType,mass_tonsAcre
antelope,ANTELOPE10,2020,prefire,NA,total_fine,0.4025603515783084
antelope,ANTELOPE10,2020,prefire,NA,total_cwd,3.7858516132267033
antelope,ANTELOPE10,2020,prefire,NA,total_fuel,33.655129727856405
antelope,ANTELOPE10,2020,prefire,NA,duff_load,25.346568420679883
antelope,ANTELOPE10,2020,prefire,NA,litter_load,4.120149342371509
antelope,ANTELOPE10,2020,prefire,NA,litter_depth_cm,6.375
antelope,ANTELOPE10,2020,prefire,NA,duff_depth_cm,8.225
antelope,ANTELOPE10,2020,prefire,NA,fuel_depth_cm,7.325
antelope,ANTELOPE11,2020,prefire,NA,mass_1hr,0.005294639597371866
antelope,ANTELOPE11,2020,prefire,NA,mass_10hr,0.09089329861459243
antelope,ANTELOPE11,2020,prefire,NA,mass_100hr,0
antelope,ANTELOPE11,2020,prefire,NA,mass_cwd_sound,0
antelope,ANTELOPE11,2020,prefire,NA,mass_cwd_rotten,0
antelope,ANTELOPE11,2020,prefire,NA,total_fine,0.0961879382119643
antelope,ANTELOPE11,2020,prefire,NA,total_cwd,0
antelope,ANTELOPE11,2020,prefire,NA,total_fuel,6.259126189931916
antelope,ANTELOPE11,2020,prefire,NA,duff_load,5.007680691015783
antelope,ANTELOPE11,2020,prefire,NA,litter_load,1.1552575607041682
antelope,ANTELOPE11,2020,prefire,NA,litter_depth_cm,1.7875
antelope,ANTELOPE11,2020,prefire,NA,duff_depth_cm,1.625
antelope,ANTELOPE11,2020,prefire,NA,fuel_depth_cm,3.15
antelope,ANTELOPE12,2020,prefire,NA,mass_1hr,0.030669594293808174
antelope,ANTELOPE12,2020,prefire,NA,mass_10hr,0.4862448780857953
antelope,ANTELOPE12,2020,prefire,NA,mass_100hr,0.9271217786321326
antelope,ANTELOPE12,2020,prefire,NA,mass_cwd_sound,0.4920829834039459
antelope,ANTELOPE12,2020,prefire,NA,mass_cwd_rotten,0
antelope,ANTELOPE12,2020,prefire,NA,total_fine,1.4440362510117364
antelope,ANTELOPE12,2020,prefire,NA,total_cwd,0.4920829834039459
antelope,ANTELOPE12,2020,prefire,NA,total_fuel,30.686425664504714
antelope,ANTELOPE12,2020,prefire,NA,duff_load,27.619285041987048
