site,Plot ID,year,species_id,status,lifeform,layer_code,percent,notes
slypark,hcp8,2019,gaap,live,FB,,tr,
slypark,hcp9,2019,gaap,dead,FB,,tr,
slypark,hcp9,2019,gaap,live,FB,,tr,
slypark,spi10,2019,gaap,live,FB,,tr,
slypark,spi11,2019,gaap,live,FB,,tr,
slypark,spi2,2019,gaap,live,FB,,tr,
slypark,spi3,2019,gaap,live,FB,,tr,
slypark,spi6,2019,gaap,live,FB,,tr,
slypark,spi7,2019,gaap,live,FB,,tr,
slypark,spi8,2019,gaap,live,FB,,tr,
slypark,spi9,2019,gaap,live,FB,,tr,
slypark,spi10,2019,gaer,live,FB,,tr,gayophytum
slypark,hcp1,2019,galbol,live,FB,,tr,
slypark,hcp10,2019,galbol,live,FB,,tr,
slypark,hcp11,2019,galbol,live,FB,,tr,
slypark,hcp2,2019,galbol,live,FB,,tr,
slypark,hcp3,2019,galbol,live,FB,,tr,
slypark,hcp4,2019,galbol,live,FB,,tr,
slypark,hcp5,2019,galbol,live,GR,,tr,
slypark,hcp6,2019,galbol,live,FB,,tr,
slypark,hcp6,2019,galbol,live,FB,,tr,
slypark,hcp7,2019,galbol,live,FB,,tr,
slypark,hcp8,2019,galbol,live,FB,,tr,
slypark,hcp8,2019,galbol,live,FB,,tr,
slypark,hcp9,2019,galbol,live,FB,,tr,
slypark,spi10,2019,galbol,live,FB,,5,
slypark,spi11,2019,galbol,live,FB,,tr,
slypark,spi2,2019,galbol,live,FB,,tr,
slypark,spi3,2019,galbol,live,FB,,tr,
slypark,spi4,2019,galbol,live,FB,,,
slypark,spi5,2019,galbol,live,FB,,tr,
slypark,spi6,2019,galbol,live,FB,,tr,
slypark,spi7,2019,galbol,live,FB,,tr,
slypark,spi8,2019,galbol,live,FB,,tr,
slypark,spi9,2019,galbol,live,FB,,tr,
slypark,hcp2,2019,gasp2,live,FB,,tr,
slypark,spi3,2019,gasp2,live,FB,,tr,
slypark,spi4,2019,gasp2,live,FB,,tr,
slypark,spi6,2019,gasp2,live,FB,,tr,
slypark,spi8,2019,gasp2,live,FB,,tr,
slypark,hcp11,2019,gica,live,FB,,tr,
slypark,hcp11,2019,gica,live,FB,,tr,
slypark,hcp7,2019,gica,live,FB,,tr,
slypark,hcp9,2019,gica,live,FB,,tr,
slypark,spi11,2019,gica,live,FB,,tr,
slypark,hcp1,2019,goob,live,FB,,tr,
slypark,hcp2,2019,goob,live,FB,,tr,
slypark,hcp3,2019,goob,live,FB,,tr,
slypark,hcp4,2019,goob,live,FB,,tr,
slypark,hcp6,2019,hairyopengr,live,GR,,tr,
slypark,spi8,2019,hairyopengr,live,GR,,tr,
