site,year,Plot ID,species_id,status,lifeform,layer_code,percent,notes,,,,,,,,,,,,,
bearmtn,2019,BM5,gayspp,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,unkstrawberry,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,unkblackseeds,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,tallgrass2,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,Fgrass,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,longbladegrass,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,quke,live,TR,TSE,,,,,,,,,,,,,,,
bearmtn,2019,BM5,unkflw4,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,stte,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,droopygrass,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,softarrow,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,fbsmellyseeds,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,unkaster,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,unkbushygrass,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,forktoothedfb,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,unkpinkfb,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,diskflw,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,widebladegrass,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,unkthickgram,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,hairythickbladegrass,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,cade,live,TR,TOV,4,,,,,,,,,,,,,,
bearmtn,2019,BM5,quke,live,TR,TOV,2,,,,,,,,,,,,,,
bearmtn,2019,BM5,pipo,live,TR,TOV,3,,,,,,,,,,,,,,
bearmtn,2019,BM5,sasc,live,TR,TRE,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,flat1,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM5,flat2,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM6,chfo,live,SH,SL,,,,,,,,,,,,,,,
bearmtn,2019,BM6,chfo,live,SH,SM,,,,,,,,,,,,,,,
bearmtn,2019,BM6,stephanodry?,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM6,unkflw1,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM6,unkWforb,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM6,arvi,live,SH,SL,tr,,,,,,,,,,,,,,
bearmtn,2019,BM6,arvi,live,SH,SM,tr,,,,,,,,,,,,,,
bearmtn,2019,BM6,stte,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM6,tinyfb,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM6,droopygrass,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM6,unkhairyflr,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM6,tallgrass2,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM6,tallgrass1,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM6,Fgrass,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM6,quke,live,TR,TSE,tr,,,,,,,,,,,,,,
bearmtn,2019,BM6,arvi,dead,SH,SL,,,,,,,,,,,,,,,
bearmtn,2019,BM6,arvi,dead,SH,SM,,,,,,,,,,,,,,,
bearmtn,2019,BM6,tighttopgrass,,,,tr,GR,,,,,,,,,,,,,
bearmtn,2019,BM6,unkfuzzy,,,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM6,cade,live,TR,TOV,10,,,,,,,,,,,,,,
bearmtn,2019,BM6,pipo,live,TR,TOV,tr,,,,,,,,,,,,,,
bearmtn,2019,BM6,cade,live,TR,TSE,tr,,,,,,,,,,,,,,
bearmtn,2019,BM6,tallflower,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,commonforb,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,chfo,live,SH,SL,50,,,,,,,,,,,,,,
bearmtn,2019,BM7,chfo,live,SH,SM,30,,,,,,,,,,,,,,
bearmtn,2019,BM7,araret,live,FB,,tr,,,,,,,,,,,,,,
