site,year,Plot ID,azimuth,slope_percent,1hr_count,10hr_count,100hr_count,duff1_cm,litter1_cm,duff2_cm,litter2_cm,notes
bearmtn,2019,BM21,N,0,2,0,4,0.05,0.05,0,1,
bearmtn,2019,BM21,S,0,23,0,0,2,2,4,5,
bearmtn,2019,BM21,E,0,7,0,0,0,3,0,2,
bearmtn,2019,BM21,W,0,7,1,0,0,0.05,0,2,
bearmtn,2019,BM22,N,0,1,0,1,0.05,6,1,1,
bearmtn,2019,BM22,S,0,9,6,0,1,2,7,3,
bearmtn,2019,BM22,E,0,4,2,1,0,7,0,4,
bearmtn,2019,BM22,W,0,0,7,3,0,0.05,0.05,3,
bearmtn,2019,BM23,N,0,7,8,10,0.05,4,3,2.5,
bearmtn,2019,BM23,S,0,0,3,7,3,3,6,5,
bearmtn,2019,BM23,E,0,2,2,14,1,4,5,3,
bearmtn,2019,BM23,W,0,0,2,5,0.05,1,0.05,3,
bearmtn,2019,BM24,N,0,5,2,0,0.05,2.5,0.05,1.5,
bearmtn,2019,BM24,S,0,22,11,4,0.05,0.05,0,0.05,
bearmtn,2019,BM24,E,0,3,2,0,0,7,0,13.5,
bearmtn,2019,BM24,W,0,1,2,1,0,4,0,4,
bearmtn,2019,BM25,N,0,13,9,0,0,6,0,4,
bearmtn,2019,BM25,S,0,14,6,5,2,4,0,2,
bearmtn,2019,BM25,E,0,7,9,2,0.05,2,1,3,
bearmtn,2019,BM25,W,0,16,13,1,0,1,1,3,
bearmtn,2019,BM26,N,0,4,2,1,1,1.5,0.05,2,
bearmtn,2019,BM26,S,0,2,2,0,0.05,2.5,1,4,
bearmtn,2019,BM26,E,0,12,5,2,0,2,3,2,
bearmtn,2019,BM26,W,0,8,6,1,0,4,0.05,2,
bearmtn,2019,BM27,N,0,7,3,0,0.5,2,0.5,1,
bearmtn,2019,BM27,S,0,5,5,2,0.05,2,0.05,3,
bearmtn,2019,BM27,E,0,0,2,1,0,2,0,2,
bearmtn,2019,BM27,W,0,0,2,1,0,4,0,2,
