plot_id,size,time,mass_mgha,treatment_type
springs3,mass_cwd_sound,consumption,0,control
springs3,mass_cwd_rotten,consumption,0,control
springs3,total_fuel,consumption,0.838988523,control
springs30,mass_1hr,consumption,0,2010rx
springs30,mass_10hr,consumption,0.341141235,2010rx
springs30,mass_100hr,consumption,0.370222479,2010rx
springs30,mass_cwd_sound,consumption,0.021536645,2010rx
springs30,mass_cwd_rotten,consumption,0,2010rx
springs30,total_fuel,consumption,0.732900359,2010rx
springs4,mass_1hr,consumption,0.012963152,control
springs4,mass_10hr,consumption,0.031012839,control
springs4,mass_100hr,consumption,0.493629971,control
springs4,mass_cwd_sound,consumption,0.048793962,control
springs4,mass_cwd_rotten,consumption,0.015751196,control
springs4,total_fuel,consumption,0.602151121,control
