site,year,plot_id,tag,status,species_id,dbh,height,ht_to_crownlive,ht_to_crowndead,crown_class,crown_width,deacy,bolechar,stump_diam,stump_ht,scorch_ht,scorch,torch_ht,torch,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTES
,,,,,,cm,m,m,m,,m,,m,cm,m,m,%,m,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,749,live,abco,30.9,13,2,0.4,IN,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,,stump,abma,,,,,,,4,,18.2,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,748,live,abco,31.4,17,4,,IN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,747,live,abco,37.1,18,4,,IN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,,stump,abco,,,,,,,4,,42,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,,stump,abma,,,,,,,5,,58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,,dead,abma,67,2.5,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,,stump,abco,,,,,,,1,,12.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,435,live,abco,35.8,16,4,0.5,IN,2.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,,stump,abco,,,,,,,1,,19,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,,dead,abco,28.1,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,750,live,abco,71.6,23,6,,CO,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,,stump,abco,,,,,,,2,,45,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,,stump,abma,,,,,,,3,,43,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,,stump,abco,,,,,,,1,,33,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,,stump,abma,,,,,,,2,,37.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,,stump,abco,,,,,,,1,,20,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,751,live,abco,53.1,22,4,,CO,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,,stump,abco,,,,,,,1,,26,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,,stump,abma,,,,,,,4,,43,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,436,live,abma,25.4,11,1.5,0.1,IN,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,437,live,abco,14,6.5,0.2,none,OV,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,438,live,abco,27.3,12.7,2.5,1.5,OV,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,439,live,abco,73.5,27,12,3,CO,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
