site,year,plot_id,azimuth,intersect,large,small,length,decay,notes
,,,,cm,cm,cm,m,,
lakesdistrict,2019,bliss 4,W,11,11,9,0.95,3,
lakesdistrict,2019,bliss 5,N,70,110,30,11.6,4,
lakesdistrict,2019,bliss 5,W,40,40,32,2.75,4,
lakesdistrict,2019,bliss 5,W,50,53,30,10.15,3,
lakesdistrict,2019,bliss 5,E,40,40,37,3,3,
lakesdistrict,2019,bliss 5,E,20,22,18,0.49,1-intact,
lakesdistrict,2019,bliss 5,E,27,27,27,0.7,2,
lakesdistrict,2019,bliss 5,E,28,30,26,2.27,2,
lakesdistrict,2019,bliss 5,E,9,19,9,0.23,4,
lakesdistrict,2019,bliss 5,E,20,20,19,0.64,3,
lakesdistrict,2019,bliss 6,E,38,42,38,2.85,3,
lakesdistrict,2019,bliss 6,E,17.4,20.9,11,3.1,3,
lakesdistrict,2019,bliss 6,E,9,9,9,0.66,3,
lakesdistrict,2019,bliss 6,E,9,12,5.5,1.55,3,
lakesdistrict,2019,bliss 6,W,10,10,10,0.45,3,
lakesdistrict,2019,bliss 6,W,13,13,12,2.45,3,
lakesdistrict,2019,bliss 6,W,70,70,67,2.5,3,
lakesdistrict,2019,bliss 6,W,68,80,68,7.1,3,
lakesdistrict,2019,bliss 6,W,9.1,9.1,8.8,1.75,3,
lakesdistrict,2019,bliss 6,W,13,13,6.1,1.3,3,
lakesdistrict,2019,bliss 6,W,15,15,7.2,1.3,3,
lakesdistrict,2019,bliss 6,N,70,95,55,2.04,2,
lakesdistrict,2019,bliss 6,N,60,72,60,0.6,3,
lakesdistrict,2019,bliss 6,N,85,62,55,1.95,3,
lakesdistrict,2019,bliss 6,N,52,53,42,3.05,3,
lakesdistrict,2019,bliss 6,N,10,10,8,0.6,3,
lakesdistrict,2019,bliss 6,N,15,14,11,1.3,3,
lakesdistrict,2019,bliss 6,S,90,180,90,2.09,5-rotten,
lakesdistrict,2019,bliss7,W,21.5,24,3,7,4,
lakesdistrict,2019,bliss7,W,18,25,11,1.2,4,charred
lakesdistrict,2019,bliss7,W,23,25,9,0.54,3,charred
lakesdistrict,2019,bliss7,W,12.5,19,5,2.8,4,
lakesdistrict,2019,bliss7,N,30,38,30,3.1,5-rotten,
lakesdistrict,2019,bliss7,N,6,6,3,1.5,3,
lakesdistrict,2019,bliss7,S,62,80,58,5.1,5-rotten,
lakesdistrict,2019,bliss7,S,12,19,5,2.8,4,
lakesdistrict,2019,bliss8,W,9,9,9,0.4,3,
lakesdistrict,2019,bliss8,E,10,10,10,0.92,3,
lakesdistrict,2019,bliss8,E,11,11,11,0.3,3,
lakesdistrict,2019,bliss8,E,35,40,35,3,4,
lakesdistrict,2019,bliss8,E,15,15,15,1.5,4,
lakesdistrict,2019,bliss8,S,17,20,7,4.5,3,
lakesdistrict,2019,bliss8,N,15,27,14,3.5,2,
lakesdistrict,2019,bliss8,N,13,14,10,0.4,3,charred
lakesdistrict,2019,bliss9,N,29,30,25,5.9,4,
lakesdistrict,2019,bliss9,N,15,15,10,3.4,4,
lakesdistrict,2019,bliss9,N,40,40,20,1.25,3,
lakesdistrict,2019,bliss9,S,6,9,6,4.3,4,
lakesdistrict,2019,bliss9,W,26,50,26,9.3,3,
lakesdistrict,2019,bliss9,W,31,60,31,12.4,3,
lakesdistrict,2019,bliss9,W,28,36,28,3.9,3,
lakesdistrict,2019,bliss9,W,19,19,10,0.43,4,
lakesdistrict,2019,bliss9,E,25,25,9,7.9,3,
lakesdistrict,2019,bliss9,E,13.2,20,12,4.6,3,
lakesdistrict,2019,bliss10,W,18,18.5,6,0.57,4,
lakesdistrict,2019,bliss10,W,15,21,4,3,2,
lakesdistrict,2019,bliss10,E,28,29,20,1.1,3,
lakesdistrict,2019,bliss10,E,24,25,10,5.6,4,
lakesdistrict,2019,bliss10,E,33,33,21,2.2,5-rotten,
lakesdistrict,2019,bliss10,S,112,120,39,18.9,5-rotten,
lakesdistrict,2019,bliss10,S,11,20,5,1.8,4,
lakesdistrict,2019,bliss10,N,15,15,11,4.34,2,
lakesdistrict,2019,bliss 11,W,17,12,5,1.8,3,
lakesdistrict,2019,bliss 11,N,11,12.5,2.5,1.7,3,
lakesdistrict,2019,bliss 11,N,67,70,5,13.4,4,
lakesdistrict,2019,bliss 11,S,34,34,21,4.84,3,
lakesdistrict,2019,bliss 12,S,43,76,16,25.8,4,
lakesdistrict,2019,bliss 12,S,14,14,2,0.61,4,
lakesdistrict,2019,bliss13,N,11,1,16,2.4,2,
lakesdistrict,2019,bliss13,E,14,70,9,14.8,3,
lakesdistrict,2019,bliss14,E,23,45,12,5.7,2,
lakesdistrict,2019,bliss14,W,34,52,3,8.8,3,
lakesdistrict,2019,bliss14,W,8,9,2,3.8,2,
lakesdistrict,2019,bliss14,W,34,57,7,12,3,
lakesdistrict,2019,bliss14,W,10,12,7,4.2,3,
lakesdistrict,2019,bliss14,W,10,13,7,3.9,3,
lakesdistrict,2019,bliss14,W,38,40,11,12.9,2,
lakesdistrict,2019,bliss14,S,17,18,11,4.05,3,
lakesdistrict,2019,bliss14,S,10.3,29,2.25,8.4,2,
lakesdistrict,2019,bliss14,N,12.2,13,12.5,1.1,3,
lakesdistrict,2019,bliss14,N,5.5,14.6,5.5,1.12,3,
lakesdistrict,2019,bliss15,S,10,13,8.7,4.8,3,
lakesdistrict,2019,bliss15,S,21.6,41,16,9.7,4,
lakesdistrict,2019,bliss15,S,21.8,21.8,7,0.75,2,from pile burn
lakesdistrict,2019,bliss15,S,13,13,12,0.36,4,from pile burn
lakesdistrict,2019,bliss15,S,12,22,12,0.42,2,from pile burn
lakesdistrict,2019,bliss15,W,17,25,11,7.8,4,
lakesdistrict,2019,bliss15,W,36,45,6,7.3,4,
