Site,year,plot_id,tag,status,species_id,dbh,height,ht_to_crown,crown_class,crown_width,stump_diam,stump_ht,decay,scorch_ht,scorch,torch_ht,torch,bolechar_ht,resprout,note
,,,,,,cm,m,m,,m,cm,m,,m,%,m,%,m,,
slypark,2019,spi10,spi-no tag,live,pipo,42.5,21,8,CO,35,,,,,,,,,,
slypark,2019,spi10,spi-no tag,live,pipo,39.5,20,5,CO,4.5,,,,,,,,,,
slypark,2019,spi10,spi-no tag,live,pipo,53.6,21,9,CO,3,,,,,,,,,,
slypark,2019,spi11,spi-no tag,live,pipo,42,23,7,CO,3,,,,,,,,,,
slypark,2019,spi11,spi-no tag,live,pipo,31.8,20,8,CO,3,,,,,,,,,,
slypark,2019,spi11,spi-no tag,live,pipo,33.5,23,7,CO,2.5,,,,,,,,,,
slypark,2019,spi11,spi-no tag,live,pipo,34.6,20,6,CO,4,,,,,,,,,,
slypark,2019,spi11,spi-no tag,stump,unk,52,0.49,,,,,,,,,,,,,stump
slypark,2019,spi11,spi-no tag,live,pipo,32.5,19,5,CO,3.5,,,,,,,,,,
slypark,2019,spi11,spi-no tag,live,pipo,38.7,16,4,CO,4,,,,,,,,,,
slypark,2019,spi11,spi-no tag,live,pipo,32,20,5,CO,3.5,,,,,,,,,,
slypark,2019,spi11,spi-no tag,live,pipo,23.2,15,3,CO,1.5,,,,,,,,,,stump
slypark,2019,spi11,spi-no tag,stump,unk,50,31,,,,,,,,,,,,,
slypark,2019,spi11,spi-no tag,live,pipo,24.1,14,3,IN,7,,,,,,,,,,
slypark,2019,spi11,spi-no tag,live,pipo,26.5,16,6,IN,8,,,,,,,,,,
slypark,2019,spi11,spi-no tag,live,quke,30.8,18,7,IN,12,,,,,,,,,,
slypark,2019,spi11,spi-no tag,live,quke,30,18,8,IN,11,,,,,,,,,,
slypark,2019,spi11,spi-no tag,live,quke,39.7,18,8,IN,16,,,,,,,,,,
slypark,2019,spi11,spi-no tag,live,quke,22.6,18,8,IN,8,,,,,,,,,,
slypark,2019,spi11,spi-no tag,live,cade,49.4,17,5,IN,8,,,,,,,,,,
slypark,2019,spi11,spi-no tag,live,psme,26.9,12.7,1.5,IN,5.5,,,,,,,,,,
slypark,2019,spi11,spi-no tag,dead,unk snag,16.8,,,,,,,5,,,,,,,smag
slypark,2019,spi11,spi-no tag,live,pipo,90,32,,CO,,,,,,,,,,,stump
slypark,2019,spi11,spi-no tag,live,pipo,31,18,5,CO,5,,,,,,,,,,
slypark,2019,spi11,spi-no tag,live,pipo,41.2,14,11,CO,5,,,,,,,,,,
slypark,2019,spi11,spi-no tag,live,pipo,32.4,20,8,CO,4,,,,,,,,,,
slypark,2019,spi2,spi-no tag,stump,pipo,,,,,,14,0.5,1,,,,,,,
slypark,2019,spi2,spi-no tag,live,pipo,35.6,23,11,CO,2,,,,,,,,,,
slypark,2019,spi2,spi-no tag,live,pipo,37.6,24,11,CO,3,,,,,,,,,,
slypark,2019,spi2,spi-no tag,live,pipo,34.1,21,14,CO,2,,,,,,,,,,
slypark,2019,spi2,spi-no tag,live,pipo,30.3,22.5,9.2,CO,2.5,,,,,,,,,,
slypark,2019,spi2,spi-no tag,live,pipo,28.9,23,8.9,CO,2,,,,,,,,,,
slypark,2019,spi2,spi-no tag,stump,pipo,,,,,,22,0.1,2,,,,,,,
slypark,2019,spi2,spi-no tag,live,pipo,34.3,21.6,11,CO,4,,,,,,,,,,
