Site,plot_id,year,Azimuth,intersect,large,small,length,decay,notes
,,,,cm,cm,cm,m,,
frenchmeadows ,FM19-15,2019,W,25,24,5.2,6.6,2,
frenchmeadows ,FM19-15,2019,W,32,32,2.5,1.95,3,
frenchmeadows ,FM19-16,2019,N,15,15,10,1.4,4,
frenchmeadows ,FM19-16,2019,N,18,35,1,7.12,3,
frenchmeadows ,FM19-16,2019,S,17,18,3,7.4,3,
frenchmeadows ,FM19-16,2019,S,11,14,0.5,10.5,2,
frenchmeadows ,FM19-16,2019,S,12,17,1,15.8,2,
frenchmeadows ,FM19-16,2019,S,20,13,3,1.75,4,
frenchmeadows ,FM19-16,2019,W,15,25,6,5.5,3,
frenchmeadows ,FM19-16,2019,W,20,13,3,1.75,4,
frenchmeadows ,FM19-17,2019,E,8,8,8,0.62,5-rotten,
frenchmeadows ,FM19-18,2019,W,18,15,2.5,7.2,3,
frenchmeadows ,FM19-18,2019,W,15,26,16,3,2,
frenchmeadows ,FM19-18,2019,W,22,25,13,5.25,2,
frenchmeadows ,FM19-18,2019,W,22,30,24,3.8,3,
frenchmeadows ,FM19-18,2019,N,15.5,20,5,5.4,2,
frenchmeadows ,FM19-18,2019,S,14,18,7,4.3,3,
frenchmeadows ,FM19-18,2019,S,18,33,18,9.6,4,
frenchmeadows ,FM19-18,2019,S,14,24,14,6.6,4,
frenchmeadows ,FM19-18,2019,S,9.5,9.5,2.5,3.9,4,
frenchmeadows ,FM19-18,2019,S,11,16,12,1.6,3,
frenchmeadows ,FM19-18,2019,S,28,31,22,5.7,4,
frenchmeadows ,FM19-18,2019,S,12,13,9,2.5,3,
frenchmeadows ,FM19-18,2019,S,10,12.5,7,2.6,4,
frenchmeadows ,FM19-19,2019,E,17,15,9,17,4,
frenchmeadows ,FM19-19,2019,E,16,17,5,4,5-rotten,
frenchmeadows ,FM19-19,2019,W,37,60,35,28,5-rotten,
frenchmeadows ,FM19-19,2019,W,13,22,6,4.8,2,
frenchmeadows ,FM19-19,2019,W,10,12,10,1.5,3,
frenchmeadows ,FM19-19,2019,W,70,70,45,4.8,5-rotten,
