site,plotid,year,pre_post_fire,azimuth,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,fuel1_cm,duff2_cm,litter2_cm,fuel2_cm,fuel3_cm,notes,postTime,slope_percent,litter3_cm,duff3_cm,duff_depth_cm,litter_depth_cm,fuel_depth_cm,site_plotid_time_azimuth,sum_d2_1000r_cm2,sum_d2_1000s_cm2,plot_id_time
Antelope,Antelope18,2020,prefire,0,2,2,4,11.3,5,3,0,0,1,1.5,13.5,7,22,,,,0,,,6.75,4,11.75,Antelope_Antelope18_2020_prefire_NA_0,0,1106.5,Antelope18 prefire NA
Antelope,Antelope18,2020,prefire,180,2,2,4,11.3,1,0,0,0,3.5,0.5,56.8,0,38.7,,,,0,,,28.4,1.75,19.6,Antelope_Antelope18_2020_prefire_NA_180,0,0,Antelope18 prefire NA
Antelope,Antelope18,2020,prefire,270,2,2,4,11.3,0,1,3,1,8.5,3,12.7,0.25,10,,,,0,,,6.85,4.375,6.5,Antelope_Antelope18_2020_prefire_NA_270,676,0,Antelope18 prefire NA
Antelope,Antelope18,2020,prefire,90,2,2,4,11.3,0,0,0,0,5.5,1.5,12.5,0,38.2,,,,0,,,6.25,2.75,19.85,Antelope_Antelope18_2020_prefire_NA_90,676,900,Antelope18 prefire NA
Antelope,Antelope19,2020,prefire,0,2,2,4,11.3,6,4,0,0,2,2.7,1.8,0,3,,,,0,,,0.9,1,2.85,Antelope_Antelope19_2020_prefire_NA_0,0,0,Antelope19 prefire NA
Antelope,Antelope19,2020,prefire,180,2,2,4,11.3,2,5,0,0,0.8,0.5,1.1,3.2,1.2,,,,0,,,0.55,2,0.85,Antelope_Antelope19_2020_prefire_NA_180,0,342.25,Antelope19 prefire NA
Antelope,Antelope19,2020,prefire,270,2,2,4,11.3,0,1,0,0,0,2.4,0.8,3.2,4.5,,,,0,,,0.4,1.6,3.45,Antelope_Antelope19_2020_prefire_NA_270,0,0,Antelope19 prefire NA
Antelope,Antelope19,2020,prefire,90,2,2,4,11.3,11,1,0,0.2,1.1,3.7,1,0.3,1.8,,,,0,,,0.6,0.7,2.75,Antelope_Antelope19_2020_prefire_NA_90,0,0,Antelope19 prefire NA
BearMountain,BM1,2019,postfire,0,2,2,4,11.3,0,2,0,2,3,,0,4,,,,immediate,0,,,1,3.5,,BearMountain_BM1_2019_postfire_immediate_0,0,0,BM1 postfire immediate
BearMountain,BM1,2019,postfire,180,2,2,4,11.3,3,3,1,0,0.05,,0.05,1.5,,,,immediate,0,,,0.025,0.775,,BearMountain_BM1_2019_postfire_immediate_180,0,0,BM1 postfire immediate
BearMountain,BM1,2019,postfire,270,2,2,4,11.3,2,1,0,0,1,,0,2,,,,immediate,0,,,0,1.5,,BearMountain_BM1_2019_postfire_immediate_270,0,0,BM1 postfire immediate
BearMountain,BM1,2019,postfire,90,2,2,4,11.3,5,4,0,0,2,,0,1,,,,immediate,0,,,0,1.5,,BearMountain_BM1_2019_postfire_immediate_90,0,0,BM1 postfire immediate
BearMountain,BM1,2019,prefire,0,2,2,4,11.3,0,3,0,0.5,3,,0.05,2,,,,,0,,,0.275,2.5,,BearMountain_BM1_2019_prefire_NA_0,0,0,BM1 prefire NA
BearMountain,BM1,2019,prefire,180,2,2,4,11.3,0,0,2,0.05,0,,0.05,2,,,,,0,,,0.05,1,,BearMountain_BM1_2019_prefire_NA_180,0,0,BM1 prefire NA
BearMountain,BM1,2019,prefire,270,2,2,4,11.3,3,0,0,0.05,2,,0.05,2,,,,,0,,,0.05,2,,BearMountain_BM1_2019_prefire_NA_270,0,0,BM1 prefire NA
BearMountain,BM1,2019,prefire,90,2,2,4,11.3,3,3,0,0.05,2,,0.5,2,,,,,0,,,0.275,2,,BearMountain_BM1_2019_prefire_NA_90,0,0,BM1 prefire NA
BearMountain,BM10,2019,postfire,0,2,2,4,11.3,0,0,2,0.05,2.5,,0,2,,,,immediate,0,,,0.025,2.25,,BearMountain_BM10_2019_postfire_immediate_0,0,0,BM10 postfire immediate
BearMountain,BM10,2019,postfire,180,2,2,4,11.3,0,0,1,0,1.5,,0,0.05,,,,immediate,0,,,0,0.775,,BearMountain_BM10_2019_postfire_immediate_180,0,0,BM10 postfire immediate
BearMountain,BM10,2019,postfire,270,2,2,4,11.3,0,0,0,0.05,1,,0.5,1,,,,immediate,0,,,0.275,1,,BearMountain_BM10_2019_postfire_immediate_270,0,0,BM10 postfire immediate
BearMountain,BM10,2019,postfire,90,2,2,4,11.3,2,0,1,0,0,,0,1.9,,,,immediate,0,,,0,0.95,,BearMountain_BM10_2019_postfire_immediate_90,0,0,BM10 postfire immediate
