plotid,fuel_type,mass_ton_acre,PlotType
VR13,total_fuel,6.439122986,UpperMontane
VR13N,mass_1hr,0.108995115,UpperMontane
VR13N,mass_10hr,1.04303272,UpperMontane
VR13N,mass_100hr,1.383492073,UpperMontane
VR13N,mass_cwd_sound,0.857119848,UpperMontane
VR13N,mass_cwd_rotten,0.204282746,UpperMontane
VR13N,total_fine,2.535519908,UpperMontane
VR13N,total_cwd,1.061402594,UpperMontane
VR13N,total_fuel,3.596922501,UpperMontane
VR14,mass_1hr,0.291435594,MixedConifer
VR14,mass_10hr,1.53975858,MixedConifer
VR14,mass_100hr,0.283315397,MixedConifer
VR14,mass_cwd_sound,0,MixedConifer
VR14,mass_cwd_rotten,0,MixedConifer
VR14,total_fine,2.114509571,MixedConifer
VR14,total_cwd,0,MixedConifer
VR14,total_fuel,2.114509571,MixedConifer
VR14N,mass_1hr,0.188924865,MixedConifer
VR14N,mass_10hr,1.390710293,MixedConifer
VR14N,mass_100hr,0.276698415,MixedConifer
VR14N,mass_cwd_sound,0.000152788,MixedConifer
VR14N,mass_cwd_rotten,5.23439168,MixedConifer
VR14N,total_fine,1.856333573,MixedConifer
VR14N,total_cwd,5.234544468,MixedConifer
VR14N,total_fuel,7.090878041,MixedConifer
VR16,mass_1hr,,MixedConifer
VR16,mass_10hr,,MixedConifer
VR16,mass_100hr,,MixedConifer
VR16,mass_cwd_sound,0,MixedConifer
VR16,mass_cwd_rotten,0,MixedConifer
VR16,total_fine,,MixedConifer
VR16,total_cwd,0,MixedConifer
VR16,total_fuel,,MixedConifer
VR16N,mass_1hr,0.326985344,MixedConifer
VR16N,mass_10hr,5.354234627,MixedConifer
VR16N,mass_100hr,1.660190488,MixedConifer
VR16N,mass_cwd_sound,0,MixedConifer
VR16N,mass_cwd_rotten,0,MixedConifer
VR16N,total_fine,7.341410459,MixedConifer
VR16N,total_cwd,0,MixedConifer
VR16N,total_fuel,7.341410459,MixedConifer
VR19,mass_1hr,0.342553696,MixedConifer
VR19,mass_10hr,1.990678266,MixedConifer
VR19,mass_100hr,1.152778273,MixedConifer
VR19,mass_cwd_sound,3.014211169,MixedConifer
VR19,mass_cwd_rotten,0.412526652,MixedConifer
VR19,total_fine,3.486010235,MixedConifer
VR19,total_cwd,3.426737821,MixedConifer
VR19,total_fuel,6.912748056,MixedConifer
VR1N,mass_1hr,0.269766228,UpperMontane
VR1N,mass_10hr,0.994426336,UpperMontane
VR1N,mass_100hr,2.002722102,UpperMontane
VR1N,mass_cwd_sound,6.699873861,UpperMontane
VR1N,mass_cwd_rotten,3.952107189,UpperMontane
VR1N,total_fine,3.266914666,UpperMontane
VR1N,total_cwd,10.65198105,UpperMontane
VR1N,total_fuel,13.91889572,UpperMontane
VR2,mass_1hr,0.15259316,UpperMontane
VR2,mass_10hr,0.556284117,UpperMontane
VR2,mass_100hr,0,UpperMontane
VR2,mass_cwd_sound,2.042450202,UpperMontane
VR2,mass_cwd_rotten,2.410083694,UpperMontane
VR2,total_fine,0.708877277,UpperMontane
VR2,total_cwd,4.452533896,UpperMontane
VR2,total_fuel,5.161411173,UpperMontane
VR20,mass_1hr,0.265221446,UpperMontane
VR20,mass_10hr,1.321174778,UpperMontane
VR20,mass_100hr,0,UpperMontane
VR20,mass_cwd_sound,0.462512735,UpperMontane
VR20,mass_cwd_rotten,4.364067961,UpperMontane
VR20,total_fine,1.586396224,UpperMontane
VR20,total_cwd,4.826580696,UpperMontane
VR20,total_fuel,6.41297692,UpperMontane
VR20N,mass_1hr,0.239789252,UpperMontane
VR20N,mass_10hr,0.347677573,UpperMontane
VR20N,mass_100hr,0,UpperMontane
VR20N,mass_cwd_sound,0.206025657,UpperMontane
VR20N,mass_cwd_rotten,1.414751383,UpperMontane
VR20N,total_fine,0.587466825,UpperMontane
VR20N,total_cwd,1.62077704,UpperMontane
VR20N,total_fuel,2.208243865,UpperMontane
VR21,mass_1hr,0.15259316,UpperMontane
VR21,mass_10hr,0.973497205,UpperMontane
VR21,mass_100hr,0,UpperMontane
VR21,mass_cwd_sound,0.317647409,UpperMontane
VR21,mass_cwd_rotten,0.65415749,UpperMontane
VR21,total_fine,1.126090365,UpperMontane
VR21,total_cwd,0.971804899,UpperMontane
VR21,total_fuel,2.097895264,UpperMontane
VR21N,mass_1hr,0.501184013,UpperMontane
VR21N,mass_10hr,0.349446433,UpperMontane
VR21N,mass_100hr,0,UpperMontane
VR21N,mass_cwd_sound,0.400957012,UpperMontane
VR21N,mass_cwd_rotten,4.263289072,UpperMontane
VR21N,total_fine,0.850630446,UpperMontane
VR21N,total_cwd,4.664246084,UpperMontane
VR21N,total_fuel,5.514876531,UpperMontane
VR22,mass_1hr,0.095181942,UpperMontane
VR22,mass_10hr,0.700863445,UpperMontane
VR22,mass_100hr,0.276698415,UpperMontane
VR22,mass_cwd_sound,0,UpperMontane
VR22,mass_cwd_rotten,0,UpperMontane
VR22,total_fine,1.072743802,UpperMontane
VR22,total_cwd,0,UpperMontane
VR22,total_fuel,1.072743801,UpperMontane
VR22N,mass_1hr,0.123527797,
VR22N,mass_10hr,0.834426176,
VR22N,mass_100hr,0,
VR22N,mass_cwd_sound,1.215133377,
VR22N,mass_cwd_rotten,1.399138749,
VR22N,total_fine,0.957953973,
VR22N,total_cwd,2.614272126,
VR22N,total_fuel,3.572226098,
VR23,mass_1hr,0.29428681,MixedConifer
VR23,mass_10hr,2.086065439,MixedConifer
VR23,mass_100hr,2.213587317,MixedConifer
VR23,mass_cwd_sound,3.759142047,MixedConifer
VR23,mass_cwd_rotten,0.167500534,MixedConifer
VR23,total_fine,4.593939566,MixedConifer
VR23,total_cwd,3.926642581,MixedConifer
VR23,total_fuel,8.520582146,MixedConifer
VR24,mass_1hr,0.44687997,MixedConifer
VR24,mass_10hr,1.599316837,MixedConifer
VR24,mass_100hr,0.553396829,MixedConifer
VR24,mass_cwd_sound,0.068094249,MixedConifer
VR24,mass_cwd_rotten,1.552492278,MixedConifer
VR24,total_fine,2.599593636,MixedConifer
VR24,total_cwd,1.620586527,MixedConifer
VR24,total_fuel,4.220180163,MixedConifer
VR24N,mass_1hr,0.127160967,Riparian
VR24N,mass_10hr,0.764890661,Riparian
VR24N,mass_100hr,2.490285732,Riparian
VR24N,mass_cwd_sound,0,Riparian
VR24N,mass_cwd_rotten,0,Riparian
VR24N,total_fine,3.38233736,Riparian
VR24N,total_cwd,0,Riparian
VR24N,total_fuel,3.38233736,Riparian
VR25,mass_1hr,0.130794138,MixedConifer
VR25,mass_10hr,1.599316837,MixedConifer
VR25,mass_100hr,1.106793659,MixedConifer
VR25,mass_cwd_sound,0.244460238,MixedConifer
VR25,mass_cwd_rotten,0.331605786,MixedConifer
VR25,total_fine,2.836904634,MixedConifer
VR25,total_cwd,0.576066024,MixedConifer
VR25,total_fuel,3.412970658,MixedConifer
VR25N,mass_1hr,0.214357059,MixedConifer
VR25N,mass_10hr,1.112568234,MixedConifer
VR25N,mass_100hr,0,MixedConifer
VR25N,mass_cwd_sound,0,MixedConifer
VR25N,mass_cwd_rotten,0.095633751,MixedConifer
VR25N,total_fine,1.326925293,MixedConifer
VR25N,total_cwd,0.095633751,MixedConifer
VR25N,total_fuel,1.422559044,MixedConifer
VR25S,mass_1hr,0.130794138,MixedConifer
VR25S,mass_10hr,1.390710293,MixedConifer
VR25S,mass_100hr,0.553396829,MixedConifer
VR25S,mass_cwd_sound,0,MixedConifer
VR25S,mass_cwd_rotten,0,MixedConifer
VR25S,total_fine,2.07490126,MixedConifer
VR25S,total_cwd,0,MixedConifer
VR25S,total_fuel,2.07490126,MixedConifer
VR26,mass_1hr,0.163492672,MixedConifer
VR26,mass_10hr,1.04303272,MixedConifer
VR26,mass_100hr,1.383492073,MixedConifer
VR26,mass_cwd_sound,0,MixedConifer
VR26,mass_cwd_rotten,0,MixedConifer
VR26,total_fine,2.590017465,MixedConifer
VR26,total_cwd,0,MixedConifer
VR26,total_fuel,2.590017465,MixedConifer
VR26N,mass_1hr,0.119894626,
VR26N,mass_10hr,2.433743012,
VR26N,mass_100hr,0.276698415,
VR26N,mass_cwd_sound,9.24e-05,
VR26N,mass_cwd_rotten,0,
VR26N,total_fine,2.830336053,
VR26N,total_cwd,9.24e-05,
VR26N,total_fuel,2.83042848,
VR26S,mass_1hr,0.421447777,MixedConifer
VR26S,mass_10hr,1.94699441,MixedConifer
VR26S,mass_100hr,0.553396829,MixedConifer
VR26S,mass_cwd_sound,0.63454031,MixedConifer
VR26S,mass_cwd_rotten,0,MixedConifer
VR26S,total_fine,2.921839016,MixedConifer
VR26S,total_cwd,0.63454031,MixedConifer
VR26S,total_fuel,3.556379326,MixedConifer
VR29,mass_1hr,0.334251685,UpperMontane
VR29,mass_10hr,1.112568234,UpperMontane
