site,plotid,year,pre_post_fire,postTime,plot_id_time,azimuth,duff_depth_cm,litter_depth_cm,fuel_depth_cm,mass_1hr,mass_10hr,mass_100hr,mass_cwd_sound,mass_cwd_rotten,total_fine,total_cwd,total_fuel,site_plotid_time
slypark,spi3,2021,postfire,1yr,spi3 postfire 1yr,270,0,1.9,1.65,0.0726634097560976,0.556284117073171,4.42717463414634,0,0,5.05612216097561,0,5.05612216097561,slypark spi3 postfire 1yr
slypark,spi4,2019,prefire,"",spi4 prefire NA,0,2.525,0.05,,0.0871960917073171,1.66885235121951,3.32038097560976,0.712694048132959,0,5.07642941853659,0.712694048132959,5.78912346666955,slypark spi4 prefire NA
slypark,spi4,2019,prefire,"",spi4 prefire NA,180,0.05,3,,0.435980458536585,4.72841499512195,2.21358731707317,0.486779624433413,0,7.37798277073171,0.486779624433413,7.86476239516512,slypark spi4 prefire NA
slypark,spi4,2019,prefire,"",spi4 prefire NA,270,3.25,0.05,,0.217990229268293,1.66885235121951,3.32038097560976,0,0,5.20722355609756,0,5.20722355609756,slypark spi4 prefire NA
slypark,spi4,2019,prefire,"",spi4 prefire NA,90,4.025,0.525,,0.261588275121951,3.33770470243902,12.1747302439024,0,0.685811643373624,15.7740232214634,0.685811643373624,16.459834864837,slypark spi4 prefire NA
slypark,spi4,2020,postfire,immediate,spi4 postfire immediate,0,0,0.5,,0.261588275121951,1.66885235121951,2.21358731707317,0,0,4.14402794341463,0,4.14402794341463,slypark spi4 postfire immediate
slypark,spi4,2020,postfire,immediate,spi4 postfire immediate,180,0.5,0,,0,0.556284117073171,0,0,0,0.556284117073171,0,0.556284117073171,slypark spi4 postfire immediate
slypark,spi4,2020,postfire,immediate,spi4 postfire immediate,270,0.25,0,,0.217990229268293,1.66885235121951,3.32038097560976,0,0,5.20722355609756,0,5.20722355609756,slypark spi4 postfire immediate
slypark,spi4,2020,postfire,immediate,spi4 postfire immediate,90,0.25,0,,0.029065363902439,0.556284117073171,1.10679365853659,0,0,1.6921431395122,0,1.6921431395122,slypark spi4 postfire immediate
slypark,spi4,2021,postfire,1yr,spi4 postfire 1yr,90,1.95,2.85,2.6,0.116261455609756,0.834426175609756,4.42717463414634,1.57234686488237,0,5.37786226536585,1.57234686488237,6.95020913024822,slypark spi4 postfire 1yr
slypark,spi4,2021,postfire,1yr,spi4 postfire 1yr,0,0.15,1.3,1.15,0.116261455609756,1.66885235121951,0,0.448616101877833,0,1.78511380682927,0.448616101877833,2.2337299087071,slypark spi4 postfire 1yr
slypark,spi4,2021,postfire,1yr,spi4 postfire 1yr,180,0.5,0.5,0.6,0.029065363902439,0,0,0,0,0.029065363902439,0,0.029065363902439,slypark spi4 postfire 1yr
slypark,spi4,2021,postfire,1yr,spi4 postfire 1yr,270,0,1.15,1.6,0.145326819512195,0.834426175609756,2.21358731707317,0,0,3.19334031219512,0,3.19334031219512,slypark spi4 postfire 1yr
slypark,spi5,2019,prefire,"",spi5 prefire NA,0,6,1.025,,0.697568733658537,5.84098322926829,8.85434926829268,0,0,15.3929012312195,0,15.3929012312195,slypark spi5 prefire NA
slypark,spi5,2019,prefire,"",spi5 prefire NA,180,6,4,,0.435980458536585,1.39071029268293,1.10679365853659,0,0,2.9334844097561,0,2.9334844097561,slypark spi5 prefire NA
